review,date
dün başlamıştı sabah arabaya bindim yine vardı normalde yanmıyordu ilk start tuşuna basında güvenlik sistemleri arıza kullanım klavuzuna bakın diyor,06.10.2023
durumlarda direkt numarayı arayabilirsiniz audi yol yardım servisten birini konferansa alıp direkt ustalardan bilgi alıyorsunuz,06.10.2023
hocam şekil yaptım servise çağırıyorlar aradım ustayla görüştürdüler servise gelin diyor yarın öbürgün ışıklar söner kontrol amaçlı bakalım yine dediler,06.10.2023
review,date
sıktığınız plastik hangisi hocam hani bilelimde ona göre nazik davranalım,23.09.2023
merhaba arkadaşlar bang olufsen ses sistemi olanlar hangi ayarları kullanıyor paylaşabilir misiniz lütfen tiz bass sub surround vs,23.09.2023
tek başıma bir araca bindiğim zaman hissetmek istediğim tek aracın kaliteli sağlam olup olmadığı bunu ince detaylarda hissetmemek zor değil basitinden torpidonun üstüne baskı uyguladığınız araç sallanıyor alman araçlarda göremezsiniz bunu koltuk altındaki plastiklere dokunun sıkın narin yapılmış tabi zaman elinizin gideceği yerler değil pejolar iç tasarım dizaynı multi medya eğlence algısıyla kalite algısının önüne geçiyor binince aa dolu araç uu süper koltuk masajıda var tam uzun yol aracı hmm diyorsunuz pejolar asla kötü değil malzeme kalitesini ben asla kaliteli bulmadım kalite sorunu bin km lere geldiğiniz zaman olası yol güzergahına göre araçtan caf caf sesler duymanız mümkün bunlar trim sesi değil kalitesizlik sesi olacak,23.09.2023
dediğinize kesinlilke katiliyorum aldim ilk uzun yolda yol cok kotu mesela sol havalandirmadan plastik titresim sesi geliyordu senedir j kasa astra sahibiyim bunun bir durumla karsilasmadim astrada debrijay pedali artik serenad yapmaya baslamisti seylere takilirsak arabanin keyfini yasiyamayiz ben aracimida seviyorum astra manuelden otomatige gecincede iyi gecmisim dedim konfor rahatligi guzel,23.09.2023
hayırlı olsun yeni aracınız kazasız belasız sürüşler dilerim,30.09.2023
surroınd kapatın bence tizi ortada bas amfiyi keyfinize göre arttırın unutmayın tamamen kişisel zevkimdir,30.09.2023
sagolun cok tesekkur ederim,30.09.2023
merhaba ben klübe dahil olmuş oldum advanced sportback i̇lk izlenimlerim güzel carplayin devirde hala kablolu olması şaşırttı kablosuzdur tahmin ediyordum,30.09.2023
uğraşma açtır dostum direkt kablolu çekilir dert değil benim aracım güncellemeyle kapattılar geri açtım problem olmuyor tavsiye ederim,30.09.2023
herkese iyi akşamlar ev alma gayesi aracımı satıyorum i̇lgilenenler ilan linkini bırakıyorum i̇lan linki,30.09.2023
geçen ay aldığım paket bangolufsen metalik gri sline paket,03.10.2023
çanakkale avekizmir avekte araç vardı onlar istedilermaalesef genel olarak audilerde bin sokuyorlar camlara film seramik kaplama vs yi ücretsiz yapıyolar d bunlara ek olarak sene garanti uzatma ordan giriyorkısacası adamlar rahat alırsan ekime diyorlar ben şikayet edip paranın peşine düşecektim neyse ortamda araç bulduğumuza dua ediyorum,04.10.2023
arkadaşlar sıfır km audi aldım kırmızı renk premium konfor derece var tfsi bugün işle gittim geldim i̇şten çıktım saat aracın startına basar basmaz bir sürü hata vermeye başladı ilk önce çalışma pre safe denge kontrolü arızası vs birçok çıktı sonra araçtan indim kapadım tekrar açtım yine arıza uyarıları verdi fakat sarı renkte tane hata kaldı sarı üçgen içinde ünlem işareti diğeri hava yastığı simgesi ikisi sarı renkte araç şuan km alalı hafta oldu olacak aracımı gayet sakin kullanırım fakat hatalar anlamadım,05.10.2023
teşekkür ederim sağolun hareket ettikten sonra sönmedi maalesef çıkan hata şunlar simgeler sürüşe herhangi bir etkisi yok fakat sönmüyor trakyada yaşıyorum edirne çorlu servis var bunlardan birine gitmeyi düşünüyorum resime gitmek tıklayın,06.10.2023
gitmeden önce ben olsam telefonda destek alırdım gitmenize gerek kalmayabilir bir arabayı kapatırken saat açmadan beklerdim,06.10.2023
aldım hocam iki servisi aradım ışıklar yarın öbür gün kaybolabilir fakat kontrol amaçlı bakalım dediler son cümlenizi anlayamadım,06.10.2023
