review,date
otoyol sürüş destek sistemleri erken önümüzdeki ay gelebilir dediler ay fransa limanında bekleyen araçlarda kesinlikle yok zaten ekim itibariyle üretilmeye başlayan araçlarda olacak,07.10.2023
merhaba ben denemedim model astra classic aracımda vardı arabanın motorunu kapatıp sinyal kolunu bir tarafa iterseniz tarafın park lambaları açık kalıyordu kitapçığında yazan bir bilgiydi hatırlıyorum sanırım bir çeşit test uygulaması birçok araçta varekleme yazdıktan sonra denedim aracı kapatıp şöför kapısını açın sonra sinyal kolu oynayın oluyor saygılar,07.10.2023
review,date
yılında aldığım shine bold aracımın kapısında dökülme oldu ay önce merkeze bildirdim bugün aradılar boyamak dışında yapabileceğimiz bir yok dediler citroen alırken kere düşünün i̇lgi alaka sıfır hukuki mücadelemiz başladı bir kişi hayırlısı bakalım,04.10.2023
foto paylaşabilirnisiniz üstad,04.10.2023
shine,04.10.2023
aracı uzaktan açtıktan sonra tekrar basılı tutuyorum sn sonra camlar açılmaya başlıyor lerde olmasın mantıksız başka bir çalışma prensibi mi var servise soralım diyeceğimde onlar bizden fransız arabaya,05.10.2023
aynen bunlara rağmen aracı seviyorum sürünce keyif alıyorum,05.10.2023
başardım bir baglanamadim bugun dk uğraştım yok yine bağlanmadi herseyi denedim yok aracı uygulamadan silip tekrar deneyeceğim bakalim,05.10.2023
önce web üzerinden kayıt bıraktımsağdaki otomatik chat yetkiliye bağladı benidurumu anlattım dakika içinde aradılaryurtdışı kaynaklı bir problem varmış güncelleme bekleniyormuşi̇lk girişte i̇ngilizce seçip devam edebilirsiniz geçici çözüm şekilde dedilerhenüz denemedimgüncelleme gelince düzelecekmiş i̇nşallah,06.10.2023
ben denedim ingilizce yapipbi bağlanır oldu kilometreyi güncelledi sonra tekrar iptal,06.10.2023
united kingdom evet,06.10.2023
shine aracım var benzinli genel olarak baya memnunum fiyata iyisi zor yakıt km oldu ortalamalardayım i̇stanbulda gayet iyi yakıyor düşüğü zor sadece bir kere ekranlar gitti siyah oldu akü kablosunu sökünce düzeliyor psa araçlarında bazen yaşanıyormuş peugeot vbde falan güzel fiyat bence alınır ortamda,07.10.2023
eksikleri uzun far asistanı ön park sensörü kör nokta uyarı eco led ön farlar gündüz farları v tarzı imzalı versiyon ön sis farları karartılmış arka camlar kapı kolları gövde rengi krom çerçeveler ekstra hoparlör head display kablosuz car play android auto navigasyon arka kol dayama elektro krom dikiz ayna bulabildiğim eksikleri an citroen bir firmada liste fiyatından bol bol indirimler var bin takas desteğini direk indirim olarak yapıyorlar üzerine fiyat düşüyorlar bin yakıt desteği var cam tavan arada shine bold versiyonda geliyor,07.10.2023
bence önemli farklılar şunlarkablosuz android auto kablosuz şarjperde hava yastıklarıön park sensörü kör noktaarka kol dayamaotomatik kararan dikiz aynasıköpek balığı antenshine boldda sadece bunlara ek cam tavan artısı var kayda değer,07.10.2023
bilgi teşekkürler acc olayı aklımda bugün onuda konuşacağım,07.10.2023
geri dönüşünüz teşekkür ederimevet ters giden bir şeyler var sisteminde bugün yine detaylı denedim profilimi cihazı sildim vs yine değişen bir olmadı ilk bağlantıyı bluetooth üzerinden yapıp wifiye geçerek carplayi aktif ediyortelefon onay talep ediyor bt bağlantısı yapıldıktan sonra carplay wifi bağlantısını açmamı istiyormy citroen bende aşağıdaki gözüküyor bir işe yaramıyor maalesefneyse şimdilik araç yeni herhangi çalışmayan bir özellik yok ilerleyen zamanda bakacağız duruma resime gitmek tıklayın,02.10.2023
shine bold sahibiyim ilk basma sonucu kilitleme sonra tekrar basma sonra cam sunroof kapaniyor acma icinse tam tersi ilk kilit acip sonra camlar vs sekans sekilde,02.10.2023
uzun süre basarsanız açma kapama özelliği mevcut araç kilitlendikten sonra camlar açıkken kilit tuşuna basmaya devam edin hatta kapanıyorken elinizi çektiğiniz yerde duruyor camlar ocak shine aracım,02.10.2023
kapama var açma yok bende shine bold sanirim x lerde özellik yok,02.10.2023
yazılımsal bir fark olabilir saçma bence sunroof mantığını değiştiyor diyeceğimde sunrooflu modelinde kapanıyoraçılıyor demiş üstte bi arkadaş servise bi sormak lazım çalışma mantığı farklıdır uzun bir süre bastığımı tekrar edeyim arkadaşların dediği sn vs değil camlar açıkken aracı kilitledikten sonra tekrar sn basılı tutuyorum,02.10.2023
açmada aracı açtıktan sonra uzunca bir süre basılı tutuyorum dediğim değil asla,02.10.2023
klasik jant icin olculer j jant iki kenar arssi genislik inc iken ideal olan lastik genisligi son olcu taban genisligini artirmak icin lastik yanagindaki direnci degistirmek bence dogru degil kaldi aracın virajlardaki davranisini hepimiz biliyoruz yazlikta standart olculerle devam edip kislikta bir jantla devam ediyorum suruse gore araci degistirmek yerine araca gore surusu degistirmek gunluk kullanicilar icin emniyetli oldugunu dusunuyorum resime gitmek tıklayın resime gitmek tıklayın,02.10.2023
zaman hukuki acidan yapilacak hicbirsey yok ben ocak ayinda araci teslim alirken sozlesmeye donanim listesini zimbalamislardi bayii bile koltuk isitmanin olmadigini bilmiyordu citroen merkezi eksikligi kabul etti cok dusuk saka bir geriodeme teklif etti kabuletmeyerek mahkemeye verdim,03.10.2023
kadar teklif etti hocam,03.10.2023
citroen shine aracım dün çalıştırdım ekranlar simsiyah açılmadı araç çalışıyor ancak göstergeler aktif değil bugün servise gösterdim araç kmde binden sonra bakım ışığı yanmıştı sormak ekran olayı şubatta teslim aldım sene olmadığı bakımı bilgisayara bağlayıp sene haber verecek şekilde güncellediler ekran kararması sanırım akünün kutup başlarını söküp geri taktılar reset bisey yaptılar i̇nsallah bir vermez böyle bir hata,03.10.2023
ekran psa grubunda kronik an dk bir hata olabilir,03.10.2023
açmayı bir türlü yapamadım,03.10.2023
aracın arka difüzör parçası dün serviste garantiden değiştirildi müsait zamanda fotoğraf çekmeye çalışırım,03.10.2023
aracınız neydi,03.10.2023
üstat başıma gelmedi frene yeterince basmayınca oluyor normalonun dışında böyle bir problemle karşılaşmadım bende şekilde bi sıkıntı oluyor yağmur yağdığında yağmur sensörü yavaş çalışıyor seviyeleri arttirsam hızlı yağdığında hızlanma yeterince olmuyor aracın sensörleri mi dandik anlayamadım kör nokta uyarı sisteminin önce haber vermesini isterdim araç neredeyse yanımdan geçerken haberim oluyor sadece,03.10.2023
otomatik silecek zaman yapmıyor onu bazen iyi çalışıyor bazen yağmurun hızlanmasını algılamıyor ayrıca silecek suyu fışkırtmıyor bazen depo dolu olmasına rağmen kanallar tıkanık desen çalışmaması lazım bazen sorun yokmuş tekrardan çalışıyorbende geri görüş kamerası kararıyordu servise götürecektim kendi kendine düzeldi bir sorun çıkarmadıaracın tuhaf huyları var,03.10.2023
teşekkürler geçmiş olsun diyelim civatalar altta kalıyor herhalde görebilmek altına yatmak gerekiyor sanırım kmye gelmeden ara ara kontrol ederim,04.10.2023
açma bende yok feel bold sadece camları kapatıyor basılı tutunca bir şekilde açtıramadım camları,04.10.2023
resime gitmek tıklayın sonunda oldu,30.09.2023
bin civarı,30.09.2023
park sensörü ses çıkarmıyor sizce olabilir,01.10.2023
cok yaklaşınca ses çıkarıyor ekranda uyarı gösteriyor belli bir noktaya kadar,01.10.2023
size açık bir şekilde şunu diyebilirim baglandigimi bilmiyorum hemen hemen hergun aracı telefona bağlamaya çalıştım kablo aldim onla denedim vs yine olmadı artik vazgeçme noktasına gelmiştim sonra bluetooth bağlantımı sildim android oto bağlantımı kestim bluetooth tekrar eşleşme yaptım arada telefonun i̇nterneti kapalıyken denedim bluetooth i̇nternet bağlantısını paylaştım hepsinde ayrı ayrı denedim bi tanesinde bağlandı hangisi olduğunu bilmiyorum mesela kablo bağlıydı karma karışık şekilde bağlandı tahminim sekilde bizde android auto sizde carplay otomatik bağlantısını kesip otomatik bağlantının önüne geçmek gerekiyor sonra bluetooth u silip tekrar eşleştirme yapmak bluetooth bağlantı sağlamak gerekiyor mesela bugün tekrar denedim çalışmadı zamanım yoktu uğraşamadim,01.10.2023
hasan bey ben denemelere devam edeceğim fırsatta pratikte yaptığınız kesin bağlantı durumunu tespit ederseniz bizleri bilgilendirin sizlerden ricamsevgiler selamlarböyle zor olmamalı,01.10.2023
bunun nedeni yazılım sınırlaması olabilir mi feel bold bende olmuyor üst paketlerde vardır peugeot arabadan indiğimde otomatik geliyordu bilgi an ekran güncellemesine baktığımda yok diyor grupta geldiğini yazanlar var,01.10.2023
yazılım sınırlaması olabiliri̇os güvenlik sebep olabilir buna güvenlik sebebiyle almıyordur anlayamadımdenemelere devam edeceğim,01.10.2023
bende shine bold varbende panaromik cam tavanı açıyor ancak camları açmıyorcamlar tavan açıksa ikisini kumandadan kapatıyorcam tavan açılabildiği zannedersem camları açmıyordur düşünüyorumbu arada süre olarak gecikme hasan beyin dediği fazla vw polo vardı sene önce hızlı açıp kapatıyordu camları,01.10.2023
kadar yaklaşsam ses çıkarmıyor bir kaç gündür anlayamadım sebebini,01.10.2023
