review,date
araçta kablosuz android auto özelliği yok var yok micom test wifi aa wifi on yapıyorum yine açılmıyor off konumuna geri dönüyor micom test bölümünde wifi teste giriyorum test yapılıyor müşter temsilcisini aradım çip krizi lerde özellik yok diyorsürümü den a yükselttim yine aynı çözümü bilen var yıl olmuş kablosuz android auto yok şaka,26.08.2023
merhaba benim duster aynı şekilde global forumlarda teyit ettim olan kablosuz android auto wifi chip kullanılmadığından yok micom vs fayda etmiyor yapacak bir yok usb devam edeceğiz,16.09.2023
merhaba hocam bende gün önce extreme paket duster aldım multimedia ekranı i̇ngilizce ayarlardan türkçeyi bulup seçiyorum ok dediğim zaman lütfen bekleyin diyor öylece kalıyor sizde benzer problemler oldu geri vitese taktığım zaman geri vites kamerası zaman açılmıyor,16.09.2023
geri vites kamerası defasında açılması gerek normal bir durum değil bence servise bir sorun,16.09.2023
i̇lçedeyim henüz merkeze gidip baktıramadım servise söyledim ilk fırsatta gidip baktırıcam sefer geri vitese takarsanız birinde kamera açılıyor diğerlerinde bir tepki yoksürüm değişikliği yapmadım onu nereden yapıyorsunuz,16.09.2023
ilginç bir şekilde önce denemiştim olmamıştı bugün wifi tekrar bağlanmayı denedim kablosuz android auto carplayi çalıştırdım çip olmamasına rağmen çalıştı hiçbir fikrim yok gerçekten sevindim beni kablo derdinden kurtardı,01.10.2023
review,date
dodikler su almış alttan matkapla deldimkapıların ucunda su tahliye yeri varmış gördüm,05.08.2023
selamlar kol dayama tavsiye edecek var esseantial pket,12.08.2023
elektronik arıza işaretielektronik arıza işareti sarı renkte yanarsa aracı sürmeye devam edebilirsiniz ancak araçta bir sorun olduğunu bilmelisiniz işaret yanarken başka bir ikaz işareti yanacaktır sorunun olduğunu işarete bakarak tespit edebilirsinizkaynak,26.08.2023
omsa markayı a bir bakınız,26.08.2023
zikzak lambası esp lambası yanıyor herkes farklı bir söylüyor sebebi nedir reno servisine mi götürmeliyim yoksa ustaya,30.09.2023
teşekkür ederim sanırım yetkili servise gitmek iyi olucak sanayiden çıkamaz araba yoksa,30.09.2023
otomatik şehir içi,05.08.2023
henüz yapılmamış bir bakım kimseyi şikayet etmeye gerek yok ayrıca servislerin fiyat politikası müşteriye bakış açısı zamanla değişebilmekte sefer pahalı teklif sunan servis bir sonraki bakımda cazip teklif sunabilir servisleri cepte tutmakta fayda var,23.09.2023
daciada periyodik bakım tl olabilir fiyat normal ben geçen ay dusterın ağır bakımını tl bir fiyata yaptırdım,23.09.2023
fiyata bak,23.09.2023
donanımhaber olarak koltuklu dacia joggerın iğdırda düzenlenen türkiye lansmanına katıldık burada joggerı kısa olsa deneyimleme şansı elde ettik ön inceleme niteliğinde bir çekim yaparak ilk izlenimlerimizi değerli izleyicilerimize aktarmaya çalıştıkbizim kullandığımız otomobil dacia joggerın expression versiyonu otomobilde inç alaşımlı jantlar geri görüş kamerası ön koltuk ısıtma opsiyonel olarak sunulan donanımlar mevcut donanımlar seviyeye göre değişiklik gösteriyor araçtaki litre tce motor hp güç nm tork üretiyor şanzıman olarak ileri manuel tek seçenek beygirlik tam hibrit versiyonla birlikte otomatik şanzıman gelecekdış iç tasarımdacia jogger dışarıdan bakıldığında göze hoş gelen bir tasarıma sahip öndeki y ışık imzalı gündüz ledleri yeni logonun yer aldığı panjur tasarımı modüler tavan rayları arkada volvoyu anımsatan stop lambaları ilk bakışta dikkat çekiyor tasarımın dışında bagaj kapağı oldukça geniş açıldığında epey yüksekte kaldığı rahat bir kullanım sunuyor yükleme eşiği oldukça düşük olduğundan dolayı geniş bagajıyla eşya taşımak pratik bir kullanım sunuyori̇ç tarafta ikinci üçünsü sıra koltuklar katlandığında tam düz bir zemin oluşmuyor ancak videoda gördüğünüz koltukları dik bir şekilde öne dayadığınızda düz alçak bir zemin elde edebiliyorsunuz biraz uğraş gerektiriyor işi acele olanlar fazla pratik değil koltuklar kolay katlandığı arka sıraya erişim oldukça kolay alanda cm boyumla baş mesafesi açısından sorun yaşamadım ancak bacaklar alan fazla olmadığından dizinizi epey kırmak zorunda kalıyorsunuzdacia joggerın ikinci sıra koltukları tiyatro düzenine sahip ön koltuklara göre yüksekte kalıyor kumaş kaplamalı koltukların konforu orta seviyede katlanabilirliği dışında herhangi bir ayarı yok i̇kinci üçüncü sıra koltuklar güç çıkışları dışında sunulan herhangi bir detay yok ön koltuklar oldukça şık yan destekleri oturan kişiyi güzel sarıyor bizim sürdüğümüz modelde bulunan orta kol dayamanın yumuşak yapısı sayesinde rahat bir sürüş deneyimi sağladığını söylemek mümkünsürüş deneyimidacia jogger bir otomobilden fazlasını beklemeyenler uygun bir araç i̇ç mekânda kalite hissiyatı tahmin edebileceğiniz üzere epey düşük konsol ön kapı içlerinin kısımlarındaki yumuşak kumaş malzeme dışında dokunabileceğiniz yüzeyler sert plastik malzemeden yapılmış hâl böyle olunca fazla titreşimli yollarda trim sesi alabiliyorsunuz üç silindirli motorun sesi içeriye fazla yansımıyor i̇lk hızlanmalarda gaz pedalına yüklendiğinizde kulağa oldukça hoş gelen bir sesi var kms hızdan sonra rüzgar sesini almaya başlıyorsunuz ancak pek rahatsız edecek düzeyde litre turbo motor yokuş çıkarken dahi performans konusunda sıkıntı yaratmadı ancak ben otomobilde tek kişiydim lansman olduğu kalabalık bir ailenin kullanacağı şekilde fazla ağırlıkla test etme şansım olmadı ileri manuel şanzımanın vites geçişleri kolay oranları uzun debriyaj pedalı yumuşak olduğu fazla yormuyor araçta startstop sistemi mevcut debriyaja bastığınız anda motoru devreye sokarak görevini başarıyla yerine getiriyor joggerın aks mesafesi uzun nedenle sanderoya göre konforlu bir uzun yol deneyimi sunuyordacia joggerın içine oturduğunuzda keşke biraz kaliteli olsaydı içinizden geçiriyorsunuz giriş seviyesinde multimedya sistemi dahi yok üst seviyede bulunan inç dokunmatik ekran ara sıra ufak takılmalar yaşasa genelde istediğiniz menüye kolayca geçmenizi sağlıyor arayüz yeni bir otomobil biraz demode ses deneyimi orta düzey apple carplay desteği oldukça işlevseldacia jogger ilgili teknik detaylar uzunluk mm genişlik mm yükseklik mm aks mesafesi mm yerden yükseklik mm bagaj hacmi minmaks litre,29.07.2023
yaşamak hüner değil seninle ölmek istiyorum jogger euro ncap yıldız,29.07.2023
gülmeli miyim ağlamalı mıyım,29.07.2023
arabanın fiyatı ulaşılabilir seviyede olsa euro ncap falan bakmam direkt alırımama haliyle bin liraları araçlara bağlamak delilik,29.07.2023
dün jogger expression lpg li versiyon civarı yol yaptıkaraçta inceden bir motor sesi geliyor özellikle araca yüklenince ince tiz bir ses geliyor motordanrüzgar sesini fazla alıyor gibime geldiyokuşlarda vites küçültmeniz civarı vitese geçmenizi istiyor şehir içi vitesle baya bi oynanırmultimedia ekran dokunmatiği güzel car play sorunsuz çalışıyoreller serbest sistemi iyi olmuş arabayaarkadaki koltuklar gayet rahat orta koltukları ön koltuklara yanaştırıp vip havası verebilirsiniz güneşliklerde ayna var arkadaşlar malum dusterlarda yolcu güneşlikte ayna yok hatta sahibi olduğum modelde şoför güneşliğinde ayna yok ruhsat koyma yeri var kadararka koltuk üzerinde aydınlatma lambası dusterda yok otobanda giderken hissettirmiyor kaymak gidiyorkoltuk dayaması güzel fakat biraz fazla ilerde geldi banabardak koyma yerleri saçma sapan koltuk dayamanın altına bardak koyma yeri mi yapılır arkadaşemniyet kemerlerinde yükseklik ayarı yok yada ben göremedim farklı bir teknoloji kullanmış olabilirlerön kısmı stepway küçük geldikaput bölümüşehirlerarası lpg kuruş arası yaktı gidilen bölüm aralığı gidilen bölüm kuruş kadar fark oldulpg li modelde stepne yok arkadaşlar tamir kiti koymuşlarilaç lastik şişirme aparatıçakmaklışimdilik aklıma gelenler bunlar,29.07.2023
farklı bir araç doblo tarzı araç almak istemeyen binek araç konseptli geniş aile aracıaslında mantıklı güzel araç ancak dacia kalitesi benim bildiğim gibiyse param olsa almazdım herhalde,29.07.2023
cmfb platformunda kişilik stepway kişilik jogger uzatmalı yukseltmeli kupa sistemi yıllarında satışa sunulacak olan bigster modellerinde uygulanacakmis bigster camların başlangıcına kadar kaput camurluklar kapilar aynı govde elemanlarını kullanacakmis bigster sadece ön kapı üzerinden baslayacak ufak bir yukseltiyle arka bagaj bölümünde çıkıntı verilerek kisilik forma kavusturulacakmis tabiki amaç kisilik büyük bir suvu düşük maliyetle sunabilmek azından bigsterin çekici tasarımı ilham vereceği icin seneye şık gösterişli bir duster göreceğiz,29.07.2023
bin i an bin civarı,19.08.2023
güvenli bir otomobil üretmek kadar zor olmamalı otomatik cam ayna olmasında güvenli bir otomobil olsun kadar zor anlamış değilim,19.08.2023
ford fiestam vardisatıp jogger aldımher açıdan güzel geldi araçyumuşak vites debriyajatmosferik motorlara göre hissedilir fazla torklpg tl iken liraya dolan depove önemlisi yüksek araç keyfi bambaşkaymış,26.08.2023
arabanın uzun olmasını beklerdim kişilik bir otomobil metre bi uzunluk,26.08.2023
uzunu minibüs oluyor zaten,26.08.2023
gayet yeterli bir uzunluk ön orta arka kısmına oturmakta problem yokbayide inceleyin derim,26.08.2023
aktif güvenlik önemleri yok yaya bisiklet uyarısı şerit takip yok çapraz geri çıkış yok sıra arka sıra araç kişilik emniyet kemeri hatırlatıcısı yokpasif güvenlik olarak kesinlikle yıldızlık olayı yok arabanın sene önceki yıldızlı araçlardan bir farkı yok neredeyse hepimizin yıldız bindiği yaşında aktif güvenlik sunmayan araçlar şuan teste girse değil punto anca sıfır yıldız alırbir an önce euroncapin çıkıp işi yıldız bazından çıkarıp açıklığa kavuşturması lazım aktif güvenlikpasif güvenlik ayırarak aracı neticelendirmeliler herkes sanıyor euro ncapi yıldız alan tank yıldız alan teneke bütün yıldızları belirleyen aktif güvenlik artık çarpışma güvenliği sunmayan araçların devri uzun yıllar önce kapandı renonun son nesil cmfb platformu var zaten araçta yeterli çarpışma güvenliği sunmaması söz konusu olamaz,09.09.2023
bir donanımda perde hava yastığı yok,09.09.2023
merhaba bir iki haftaya aracı alıyorum alırken şuna buna dikkat et mutlaka şunları yap dediğiniz bilgileri paylaşırsanız sevinirim,30.09.2023
ben beğendim,30.09.2023
