review,date
opaklığı yeterli oluyor sıcak havalarda bile,07.10.2023
fener alayı gidiyorsun yollarda,07.10.2023
devamlı takılı abi aracı kapatınca bir süre sonra kapanıyor alet ben bir ısınma yada başka bir sorun yaşamadım orada şarj yapmıyorum göze garaj giriş kartı hgs şeyleri koydum şekilde kullanıyorum,07.10.2023
güzel günlerde binin hocam,07.10.2023
teşekkür ederim sağolun,07.10.2023
koca alanı çöp etmişler azından lt bagaj alanı sadece köpüğü keserek falan alınabilir altta yedek lastik falanda olmayınca yazık boşa köpükle doldurmuşlar orayı pilide aynı şekilde tam ortaya koymuşlar keşke sağa sola koyup diğer tarafı altı boş depolama alanı yapsalarmış köpüğü görünce direk azından arka kısmını kesesim geldi,07.10.2023
elektrik motoru direkt motora bağlı mild hibritlerde sadece elektrikle gitme bir özellik yok malesef,07.10.2023
ön havalandırma ızgaraları donanımlarda açılıp kapanabiliyor bende cool paket var araç ısınana kadar panel kapalı oluyor ısınınca açılıyor,07.10.2023
hocam bi görseli videosu varmı radyatörün önündeki petek biçimindeki ızgaralar kapanıyor kapalı göremedim bendenk gelmedi belkide,07.10.2023
kaputa fare girmiş ana abs kablosunu kemirmiş araç serviste yazık video atamam hafta sabah aracı çalıştırdım ön plakaya bakıyordum piyano black ızgaraların arkasında perde plastikler kapalıydı araçla markete gittim geldim plaka altına tekrar bakayım dedim baktım açıktı motor ısınınca açılıyor anında demek,07.10.2023
senemizi doldurduk araçlahala kullanıyorumtüketim değerleri şehir içi kullanıma göre değişmekle beraber lt şehir dışı litre eco km sabit hızdaaraçdan memnumum herhangi bir sıkıntı kronik sorun yok,07.10.2023
aracın ön kısmında peteğe benzer deliklerin hemen arkasından komple kapatıyor orayı soğuk havalardaaraç çabuk ısınıyorkışın kapatıyor benim gördüğümarabayı stop edince açıyorpremium araç özelliği,07.10.2023
review,date
şöyle zemin malzemesi ortadan hafif bir açı yaparak bir alttaki raya geçebiliyor bagajın yarısı eğimli oluyor ekstra hacim oluyor akünün sağında solunda epeyce boş yer var optimize bir köpükle bagaj fazla olabilir,05.10.2023
tek bir ebatları kadar lipo var gördüğüm kadarıyla güvenli yer orası olmuş olsa gerek çevresel şartlardan korunaklı,05.10.2023
eğimsiz olmuyor gibiydi tekrar bakarım boş vakit bulunca olmazsa,05.10.2023
bir deneyelimbenim eski aracım hyundai tucson orda yedek lastik vardılastik çıkmadan bir alt kademeye inmezdi bunda yedek lastik yokbagajı alt kademe ye indirmek bayağı yer kazandırır bize,05.10.2023
aynı şeye cevap arıyorum ben benim aracım dizel hibrit ondan diyordum kalkışlarda hibrit sistem devreye girmiyor anca ara hızlanmalarda normal modda denemedim bugün deneyeceğim normal modda ekodan yakar saçma olur,06.10.2023
bugün fark ettim eco modda olsa gaza yüklenince bataryadan tekerlere güç aktığını gösteriyormuş ekranda yelken moduna geçtiğini görmedim aracın youtubeta bi videoda aynı araç yelken modunda ilerliyordu önceki etsi leonumda araç sık moda giriyordu sportageda henüz yelken modunu göremedim,06.10.2023
araçta böyle bir özelliği yok,06.10.2023
eco modda ara hızlanmalarda seri kalkışlarda devreye girdiğini görüyordum hibrit takip ekranında normal modda biraz fazla hibrit desteği oldu bunun nedeni normal modda seri hızlanması muhtemelen yumuşak kalkışlarda olmalıydı hibrit desteği kötü pilin doluluğunu görememek kötü ben aracı geçen hafta aldımankaradan samsuna geldim yol boyu seyir modu sık sık devreye girdi seyir modunda hızını koruyorhibrit sistem destek veriyor kısmı kesinlikle hikaye seyir modu yazınca hibrit sistemden tekerlere güç aktardığına dair bir grafik çıkmıyor ayrıca araç hızını koruyamıyor anlaşılan sadece şanzıman motorun bağı ayrılıyor tam boşta ilerliyor,06.10.2023
emre bey merhaba araç benzinli mild hibrit mi,06.10.2023
gece deneme şansım oldu ilk matrix farlı bir araba kullanıyorum hoşuma gitti açıkçası önünde araba olursa karşı şeritten araç gelirse devamlı ledleri kontrol ederek lokal olarak yakıp söndürüyor,06.10.2023
sabah bende ilk yelken modu çıktı ben ilk gördüm animasyonda bişey çıkmıyor akü doluluğunu araç tesliminde görmüştüm ekrandan küsürdü uzun süre çalıştırılmadan beklerse bilgiyi ilk çalıştırma öncesi ekranda gösteriyor düşünüyorum,07.10.2023
selam sunroof perdesi özellikle yazın bol güneşli havalarda iyi kesebiliyor güneşi bana biraz ince geldi bir açık renkli olduğu merak ettim,07.10.2023
quoteorijinalden alıntı tamerinalandroid auto ilgili büyük yenilik apple car play tarafında yokapple kullanıyorum halde alıp geçsem bir kaybetmem sanırım,04.10.2023
