review,date
i̇yi güzel olmuş biraz minibüs duruyor,07.10.2023
review,date
son dönemde ipucu paylaşımlarıyla sık sık karşımıza çıkan yeni nesil skoda kodiaq sonunda resmi olarak tanıtıldı selefine göre uzun bir gövdeyle gelen yeni kodiaq motor gamında şarj edilebilir hibrit gücünü arkasına almış skoda kodiaq özellikleriyle neler sunuyori̇kinci nesil kodiaq mm uzunluğa mm genişliğe mm yüksekliğe sahip bağlamda selefine kıyasla cm uzadığını söyleyebiliriz mmlik aks mesafesinde herhangi bir değişiklik yok ayrıca diğer ölçülere baktığımızda kodiaqın gövdesinin eskisine göre mm daralmış yüksekliğinin mm kadar azalmış olması dikkatleri çekiyordış tasarımyeni kodiaq çekyalı markanın yeni tasarım dilinin ilk tezahürü olarak karşımıza çıkıyor önde bölünmüş far tasarımı dikey çizgilere sahip geniş panjuruyla kimliğini hemen belli eden model kaslı motor kaputu dikey hava girişlerine sahip tamponuyla güçlü sportif bir görünüm sunuyor jant seçenekleri ila inç arasında değişen skoda kodiaqta dokuz dış renk seçeneği mevcut fotoğraflarda gördüğünüz yeni bronx gold isimli metalik renk bunlardan bir tanesiyan tarafta aydınlatmalar arasında uzanan güçlü omuz çizgisiyle dikkat çeken modelin arkasında son dönemde moda haline gelen boydan boya uzanan stoplar karşımıza çıkıyor aydınlatma demişken kodiaq modelinde skodanın yeni nesil matrix led teknolojisinin bulunduğunu belirtelim yüzde oranında iyi aydınlatma sağlayan akıllı aydınlatmalar sportline versiyonunda standart olarak geliyor panjur boyunca uzanan led ışık şeridiyle kombine edilebiliyoryeni skoda kodiaq ailesinin tepesindeki sportline versiyonu gövdesindeki siyah detaylarıyla alt versiyonlardan ayrılıyor tavan rayları cam çıtaları yan ayna kapakları ön panjur çerçevesi arka difüzör logoların siyah olarak tasarlandığı versiyonda ilk d sütunu tamamen siyah olarak karşımıza çıkıyor bunlara ek olarak ön çamurluklardaki sportline armalarıyla dikkatleri üzerine çeken versiyonda inçlik özel jantlar standart olarak sunulurken ekstra ücret inçlik jantlara geçiş yapılabiliyori̇ç skoda kodiaqın iç mekanındaki değişim ilk bakışta kendisini gösteriyor öncelikle vites seçicinin kodiaqda direksiyon kolonuna taşındığını belirtelim durum orta konsol üzerinde fazla depolama alanı sunulmasını sağlamış selefine göre fiziksel düğmeye sahip olan kodiaqda smart dials adı verilen döner düğmeler dikkat çekiyor üzerlerinde inç ekrana sahip olan düğmeler farklı fonksiyonları yerine getirebiliyorsol sağdaki düğmeler sürücü ön yolcunun kabin sıcaklığını koltuk ısıtma havalandırma fonksiyonlarını ayarlamasına imkan veriyor ortadaki düğme multimedya sisteminin ses düzeyinden klimanın fan hızına havanın yönüne kadar birçok fonksiyonu değiştirecek şekilde ayarlanabiliyor düğmenin fonksiyonları isteğe göre multimedya sistemi üzerinden ayarlanabiliyor bunun dışında yeni kodiaqda inç multimedya ekranı standart inç opsiyon olarak sunuluyor inç dijital gösterge panelinin sunulduğu modelde head up display opsiyon listesinde yer alıyorskoda kodiaq beş koltuklu versiyonda arka koltukları yatırmadan litre yüksek bir bagaj hacmi sunuyor eskisine göre litre artış anlamına geliyor arka koltuklar yatırıldığında alan litreye kadar çıkıyor yedi koltuklu versiyonda litre bagaj hacmi mevcut tarafta eskisine göre litre artış söz konusu üçüncü sıra koltuklar katlandığında litre alan ortaya çıkıyor artan bagaj hacminin yanı sıra skoda üçüncü sıradaki yolcular baş mesafesinin mm kadar iyileştirildiğini belirtiyormotor skoda kodiaqın motor seçenekleri aktif silindir teknolojisi hafif hibrit desteğine sahip olan beygirlik tsi motorla başlayıp beygirlik tsi motorla devam ediyor düşük hacimli motor önden çekişli olarak büyük olanda dört tekerlekten çekiş düzenine sahip dizel tercih edenler önden çekiş awd beygirlik seçeneklere sahip olan tdi motor listede motorlarda ileri dsg şanzıman standart olarak sunuluyorayrıca bkzçinli minik elektrikli araba kaiyi shiyue tanıtıldı kmye kadar menzil sunuyorkaputun altındaki seçenekler arasında asıl büyük haber şarj edilebilir hibrit sistemin gelmiş olması diyebiliriz beygirlik tsi motoru temel alan sistem elektrik motorunun desteğiyle hp güç üretiyor kwsalik lityum iyon batarya suv modelin tek şarjla kmye kadar saf elektrikli sürüş menzili sunmasını sağlıyor bataryanın kw ac şarjın yanı sıra kw dc şarj desteğinin bulunması altı çizilmesi gereken noktalardan bir tanesisadece önden çekişli olarak vitesli dsg şanzımanla satılacak olan kodiaq iv isimli şarj edilebilir hibrit versiyonda bagaj hacmi litreye kadar düşüyor suv modelin beş koltuklu standart versiyonuna göre litre düşüş demek ancak km elektrikli sürüş menzili bunun değeceğini düşünüyoruz skoda kodiaq önümüzdeki yılın ilk çeyreğinde avrupada satışa sunulacakyeni kodiaq haziran ayında dizel dahil olmak üzere üç farklı motor seçeneğiyle türkiyede satışa sunulacak,06.10.2023
tiguandan falan güzel duruyor,06.10.2023
nihayet vw dandikliğinden sıyrılıp milyon vermek zorunda kalmadan girince ticari taksiye binmiş hissettirmeyecek vag suvu tasarlayabilmişler grubun diğer markaları vwden kadar uzaklaşırlarsa kadar başarılı oluyorlar,06.10.2023
i̇ç mekan gayet elit duruyor,06.10.2023
ön taraf bmw andırıyor,06.10.2023
sonra begendigim arac olabilir alabilecegim modeller arasinda diger turlu lamborghini urus begendigim,06.10.2023
güzel full une verilir,06.10.2023
hibryt motır gelirse kapış kapış satılır,06.10.2023
mevcut makyajlı tasarım olarak iyi duruyor minibüse dönmüş,06.10.2023
şarjlı küsur milyonbu milyon altına gelirse güzel satış rakamları km saf elektrikle ilerlemesi tam elektrikli düşünenleri bile aklını çelecek kmbu direkt muadili olurtabi ülkemiz,06.10.2023
kodiaq gerek ağırlığı gerekse yol tutuşu açısından güven veren bir araç bana kere sürme şansım oldu epey hızlı kullandım banamısın demedi tabi bir volvo güveni sağlamlığı olmaz başlangıç paketi denk gelir düşünüyorum üst paket bir şeye gelir tamamen neticemden salladığım rakamlar tahmin işte,06.10.2023
keşke koltuklar tam yatabilseydiarka tarafta kişi rahat bir şekilde sabahlardıüstelik motor bile çalışmadan iklimlendirmesini yaparaktan,06.10.2023
kocaman vites kolu gitmis guzel olmus bence,06.10.2023
kesinlikle seat uzaklardan biriydi sportif güzel tasarımları vardı seat dahi vwe döndü son dönemde sırf yüzden cuprayı ayırıp gerçek seat tasarımına oradan devam ettiler,06.10.2023
hadi hayırlısı,06.10.2023
kaderini fiyatı belirler burası net birde kadar para verdikten sonra rakip modellerle kıyaslamalarda avantajını görmek isteriz batarya kapasitesine göre menzil düşük şarj desteği arası olmalıydı şanzıman olsa pahalı olurdu değilde hala aracın rakiplerine göre avantajı marka logosumu olacak vag çizgisinden biraz uzaklaşmaları lazımeksileri artıları olan bir aracın kaderini fiyatı araç paketleri belirler şuan kodiaqtan uzaklaştıran fiyatı umarım aynısı olmaz azından fiyat farkı atmaz diyeyim bari,07.10.2023
resime gitmek tıklayın resime gitmek tıklayın,07.10.2023
bence fiyatı milyondan başlar full paketi milyona doğru gider fazla olabilir açıkçası araç kadar güzel olursa olsun fiyata çıktıktan sonra premium markalar tercih edilir düşünüyorum,07.10.2023
chery tiggo tiggo pro bundan güzel gider onları alırım bunu almam,07.10.2023
piyasada şöyle bir durum var muhtemelen segmentte fazla cd karışımı suv olacağı modeline yada markasına güvenenler kafadan fiyatı zıplatıyor zaten misal aracın fullu etiketli gidin bir kia sorentoya binin sonra gelip kodiaq alırmısınız konuşalım yada sportagea binin baz paket kodiaqı alırmısınız konuşalım parasına göre alırım zaten aşağı yukarı aynı diyorsanız tiggo pro kafadan tek geçilir aracın segmenti fena karışık yüzden şuan yaptıkları paket üstüne paket yapıp aracı alacakları seçim yapmak durumunda bırakırsalar vag şansını zorlamıştır zorlayacak şansını kendisi azaltacak tahminim varsegmentte honda zrv crv var vw tiguan var bir anda ünsüzleşen hyundai tucson var kafası toplu mantıklı etiketle gelen nissan qashqai var toyotanın ü var işi kolay değilçinli firmaları gerçek manada küçümsedikleri fiyat avantajı sebebiyle oluşacak piyasada önümüzdeki aylarda neler göreceğiz merak ediyorum aracı getiren firma olsam boş paketi anlamlandıracak tek bir paket haline getirir yanın birde sipüzerine gelecek custom model satışıyla ilerlerdim,07.10.2023
benim araçta var çıktı güncelleme gelecekmiş zaman geleceği belli değil gelip gelmeyeceği belli değil hatanın olduğu belli değil,02.09.2023
güncelleme geldi şuan benim arabada sorun yok yetkili servise giderek yükletebilirsiniz,01.10.2023
