review,date
hayırlı olsun yeni kasa tanıtıldı sonunda resime gitmek tıklayın,04.10.2023
gene orjinali güzeli duruyor,05.10.2023
yıldır haliyle kullandık bi değişiklik olsun diyorum,05.10.2023
review,date
önce yorumumu yapmıştım şunu eklemek istiyorum konuştuğum bir bayi müdürü ötv muafiyeti bekleyen kişi sayısının olduğunu model sayısının kaldığını tip araçlar stok beklentisine girmememi tavsiye etti muafiyetle gelenden para kazandığını ekledi bir sana satmam dedi kısacası,09.09.2023
arabayı almış olduğum doğan trend deki satış elemanı arkadaşa sordum servise sordu bunun güvenlikle alâkalı olduğunu kapatilamadigini söyledi artık öndeki araca yaklaşırken hafif fren yapıyorum böylece freni algılıyor ani durmuyor sanırım,16.09.2023
yüksek evet tek karınız garanti bitti yıl garantı olayı devam edecek serviste bakım yaptırdıkça dışarıda yaptırsanız te fiyatına geliyor garanti olmuyor yı yi düşünüp ona göre karar verin ben dışarıda yaptırıyorum yıldır garanti yok artık şans işi biraz,16.09.2023
valla yok maalesef ben zaten kendi ustam var markaya bakan ona güvendiğim ona gidiyorum sadece bosch servise götürebilirsin azından sanayiden bir tık güvenli sonuçta arkasında bosch firması var,23.09.2023
bende adanadaki servisten randevu aldım tl geçen sene civarıydı sanırım garantiyi bozmamak ayrıca kafam rahat oluyor yüzden servise bırakıyorum aracın fiyatı olmuş parçalar pahalılaştı ayrıca hibrit olmasından dolayı ek parçalar var araçta tanıdık ustalar var ben yinede güvenemiyorum bir sorun yaşadığında usta hayatta tazmin etmez üzerine bile almıyor direk sana patlıyor geçmişte usta hatası yüzünden trigeri patlatıp yolda kaldık ustadan bir alamadık götürdük serviste yaptırdık aracı araçların kadar pahalı olduğu bir dönemde ben ustalara emanet edemiyorum ayrıca garantinin sona ermesi cabası,23.09.2023
benim satış fiyatı yazma sebebim araçların sıfır fiyatları yükseldi milyon luk bir şeyi ustaya teslim etmek istemiyorum yazma sebebim buydu eldeki fiyatını düşünmedim alırken araçtan genel olarak memnunum,23.09.2023
aracın elini düşünen zaten suzuki almaz,23.09.2023
ben bir zaman başkası araba almadım swifti aldığımda cahil ön yargılı arkadaşlarım burun kıvırdı zaman beğendiğim aracı bütçem dahilinde aldım piyasa arabaları bana göre değil jeografik olarak burada doğsamda burada yaşayan insanlar düşünmüyorum,30.09.2023
katılıyorum aynen öyle,30.09.2023
i̇mzamı atarım,30.09.2023
arkadaşlar merhaba swift aracım var arka taraftan bozuk yollardadönüşlerde çıt çıt tık tık metal sesi geliyor dingil burçları değişecek dediler yurtdışından parça sipariş ettim geldi değiştirdim ses hala devam ediyor yabancı kaynaklarda araştırdım arka dingili komple değişmesi lazım diyorlar başına böyle gelen varmı parçasında zor bulunuyor aracın pahalıda youtubeda swift rear axle noise yazınca çıkıyor sesin aynısı adam komple arka dingili değişiyor,01.10.2023
kaliteli marka yanlız dikkat edin hibrit hava filtresi normal olan aracın hava filtresi farklı,02.10.2023
facebook grubunda net bilgi alabilirsiniz,02.10.2023
zenginsen para havadan geldiyse dediğin swift keyif alınır sıkılınca düşükten satıp üstüne bir swift parası koyup yenilersin renkler zevkler tartışılmaz meselesibu arada cahil olan arkadaşların değil bilesin,03.10.2023
aylardır yazıp duruyorsun bir sıkıntın var belliki zengin olsam swiftle işim var senin hayata olan bakışın tam türk bakışı erol mütercimin dediği türkler parayı sever ben kafada değilim i̇nsanın odak noktası para olmayınca cahil olmaz arkadaşlarım arada otomobil cahili tam olarak piyasa araçlarına bir koyun edasıyla para sevdasıyla kapılmak tam bizim milletin işidir fırsatı değerlendireyim aman fırsatta kaçmasın para kazanayım vs benden uzak dursun zamanı geldiğinde paranın bir halta yaramadığını birebir yaşamış bir insanım yüzden dünyadaki bütün paralar senin olsun ben mutlu olayım yeter elalem bir almak benim tarzım değil bunun zengin olmana gerek yok sadece keyif alman gerekli ben kendimi onlardan senin düşünce tarzından farklı görüyorum suç değil sonuç olarak,04.10.2023
kesinlikle alınırşu an kurtarabiliyorsun seneye zamanlar olacak sonra olacak değiştir kurtul derim,30.09.2023
merhaba beyler swift imi değiştirdim pas pasları boşa çıktı almak isteyen olursa mesajlardan konuşabiliriz herkese kazasız surusler,30.09.2023
hayırlı olsun güle güle kullanın,30.09.2023
