review,date
aynı sorunu ben ekim ayı sonunda yaşadım yurtdışı volvo sitelerinden avrupayı indirdiğim halde yükleyemedim size verilen cevabın aynısın verdi müşteri temsilcisi bana saçma geldi diğer markalar yapıyor diyorsunuz volvo türkiyeye konuda baskı yapmak lazım demek,12.08.2023
herkese merhaba nisanda çıkacağı söylenen güncelleme nisanda çıktı ben yükledim versiyon oldu bir değişiklik yok yıl önce açılan koskoca otoyol hala yok benim evin oralar hala dutluk görünüyor enteresan olanı km doğumuzda yeni yapılan bir site boyutlu olarak yeralıyor bizimki yoki̇şe yaramayan bir günelleme boşuna zahmet edip yüklemeyin internet kotanızı bitirmeyin,26.08.2023
geçen hafta başı versiyon yayınlandı yurt dışında idim hafta yükleyebildim bizim site gene yok site bahçesindeki tenis basket sahası artık güncellemeye girmiş güncellemeyi yapanın hangi kafada olduğunu gerçekten merak ediyorum koca site yok tenis kortu var,16.09.2023
merhabasitenizin hala haritalarda gözükmüyor olması ilginç haritalamayı yapan şirketçalışan sizi siteyi görmezden geliyor olabilir d tenisi sevdiği aşikar ben aracıma sim kart taktığımdan beri araç kendi kendine bireyler yüklüyor güncelleme yapıyor türkiyede umarım sim kart meselesi çözülür araçlar internete erişebilir duruma gelirsaygılarımla,16.09.2023
merhaba yurtdışında araç içindeki sim kart aracılığıyla kendi kendine kadar güzel güncellemelerini yapıyordu ankarada iş manuele döndü balkondan kablosuz erişim noktası cihazını sarkıtıp otoparka geçici kablosuz yayın yaptım aracımın harita sürümünü yükselttim yaklaşık hafta sonra tarihinde yeni bir sürüm geliyormuş onu aynı şekilde camdan vereceğim kablosuz erişim yaparım usb program indirmekten kolay arada binalarlar boyutlu çizilmiş hoşuma gittti eskiden benim yurtdışında yaşadığım yerde binalar boyutlu idi saygılarımla resime gitmek tıklayın resime gitmek tıklayın resime gitmek tıklayın,07.10.2023
merhaba arkadaşlar bugün telefonumun internetini araç paylaştığımda haritada güncelleme geldiğimi gördüm normalde hafta sonra gelmesi gerekiyordu sefer erken paylaşmışlar sürüm numarası saygılarımla resime gitmek tıklayın,07.10.2023
review,date
normalde şubat yazıyordu ben kontrol etmiyordum bugün tesadüfen farkettim websitesinde ocakta geçen hafta harita güncellemesi gelmiş versiyonu arabada çıkmıyor akşam evde indirip usb yükleyeceğim,05.08.2023
konu ölmüş canlandırayım biraz cc önümüzdeki hafta teslim alacağım inşallah,02.09.2023
ccnin phev olanı gelse muhteşem olurdu tereddütsüz alırdım,02.09.2023
gelse süper olur bize düzü zor geliyor zor gelir,23.09.2023
merhaba lütfen kusura bakmayın buraya girmemişim uzun zamandır arabayı mayıs başında teslim aldım an kmyü geçmiş durumdayım model bmw geçtim araçla kıyaslayabilirim elimde skoda karoq var aracı yıl kullandım araba kıyas yapabilirim ancak yazabileceğim fazla var aklıma gelmez şimdi gelenleri yazayım diğerleri aklıma geldikçe eklerim konforu cidden iyi göre oldukça iyi diyebilirim arka koltukta oturanlar rahatsız olmuyor kasis geçişleri vs yumuşak polestar yazılım var bg araba motor olunca performans ciddi manada iyi yazılım vardı idi ilk sn gaza bassan hızlı hareket etmiyordu başarılı yerden yüksekliği yola tutunması iyi viraj performansı dehşet diyebilirim koltuk soğutma başarılı direksiyon inanılmaz yumuşak rahat otonom sürüş başarılı orta ekrandaki navigasyon google maps öndeki hayalet ekranın ortasına geliyor güzel bir arkadan bir araç hızlı geliyorsa araba otomatik seni yan şeride atıyor yaptı baba güzel bir özellik offroad sürüş yaptım başarılı diyebilirim trabzonun yaylalarında sıkıntı yaşamadan kullandım taş toprak çimen vs harman kardon ses sistemi iyi camlardan ciddi ses geliyor geçince rüzgar sesi skoda karoqtan bile diyebilirim bmwde çift cam vs var bmw giderkenki sesi bandında almaya başlıyorum orta ekran güzel içinde android var sebeple kablosuz carplay yok i̇phone carplay kablo takılması lazım bence saçma orta ekrandaki haritalarda canlı trafik görmek telefonun interneti paylaşılmalı bunu bazen otomatik yapıyor bazen yapmıyor arabaya bindiğinizde ayarlara girip bağlantıyı tekrar kurmanız gerekebiliyor can sıkıcı bir durum koltuklar bmw kadar rahat değil bence kişiye göre değişir cam suyu haznesi küçük kullanana sık uğraşması gereken bir durum problem oluşturmuyor yakıtı şehir dışında lt şehir içinde lt civarında geçinde lt eklemek lazım bmwde değerler düşüktü yüksek hızlarda düşüktü hızlarda tl uzun süre gittiğimi bilirim bmwde hayalet ekranda hiçbir değiştirilemiyor örneğin dinlediğin radyo gözükmüyor konuda iyi skoda i̇stediğin görüntüyü yapabiliyorsun değişiklik yapamayınca hayalet ekran diyor insan kolçak sabit hareket edebilir değil buda biraz konforsuzluğa sebebiyet veriyor kolçak ucuna dirsek denk geliyor konforlu bir hal almıyor açıkçası hareket edebilir ileriye geriye şeklinde olsaydı başarılı olurdu şimdi yazmaya başlayınca birden aklıma gelmiyor ekleyeceğim zamanla sizlerin özel olarak sormak istedikleri varsa cevaplayabilirim,30.09.2023
aracınızı güzel günlerde kullanınızvolvo önceden saint gobain sekurit marka mobil araç camında dünyanın bir numarasıdır lamine cam kullanırdı ön camda değil sadece sedanların arka camı hariç heryerde önceden standart olan camlar şimdi piyasada akustik cam anılıyor bir süredir ön cam hariç çoğu modelde temperli cam kullanıyor lamine cam opsiyon paketine girdi çoğu aracındaki cam çinli üretici fuyaoya ait sonuç gürültü alan bir kabin oluyor ülkemizde test sürüşlerinde kabine giren ses işi konuşulur nedense kimsenin aklına dönüp camlara bakmak kıyas yapmak gelmez,30.09.2023
bendeki hangi cam bilmiyorum ses konforu aracın kötü,23.09.2023
şimdiden hayırlı olsun kazasız belasız kullanınbence konseptinde yakışıklı arabayı satın almışsınız kullanıyorum kapadokyaya gittim uzun yol konforundan memnun kaldım kapodakya arazi bölgelere gittim epey of road diyebiliriz tam sıra cc olsaydı harika olmazmıydı dedim içimden uuzn yol karizmatik duruşu gerekltiğinde hafif of road sürüşlerinde harika bir aile arabası,05.10.2023
online bağlantıyı bluetoth internet bağlanırsan araca girdiğin internete bağlanıyor sebeple carplay aramıyorum istersen bunu deneekrana katılıyorum orta ekran büyük ekran biraz araç hakkında bilgiler vermeli,05.10.2023
volvonun piyasaya süreceği ilk premium elektrikli mpv modeli artık resmiyet kazandı volvo adını taşıyacak model marka tarafından hareket halindeki i̇skandinav oturma odası olarak nitelendiriliyor yeni kasımda resmi olarak tanıtılacak aynı tarihte çinde ön siparişe açılacakönümüzdeki haftalarda yeni volvo ilgili fazla bilgi paylaşılacak ancak şimdilik ilk ipucu olarak paylaşılan kuşbakışı görüntü yetinmek zorundayız premium modelin tavanında sürücü ön yolcu sunulan küçük sunroof detayı mevcut ancak volvo arka yolcular büyük bir cam entegre etmeyi ihmal etmemiş buna ek olarak pratik kullanımı artıran kayar arka kapılar dikkat çeken özellikler arasındayeni volvo arkasında t şekilli led stoplar ortada aydınlatılmış volvo yazısı dikkat çekiyor i̇ç mekan şimdilik belli değil ancak üstteki panoramik sunroof vasıtasıyla ikinci sıradaki konforlu kaptan koltukları görebiliyoruz volvonun ilk mpv modeli silüet olarak üç sıra koltuk düzenine sahip olabilecek kadar uzun görünüyor yeni yüksek ihtimalle kardeş markaya ait zeekr modelini temel alacak zaten detaylara baktığımızda tavandaki sunroof kapı kolları yüzgeç anten yan aynalar detayların aynı olduğu hemen dikkat çekiyorayrıca bkzçin devlet başkanının kullandığı lüks suv hongqi türkiyede satışa sunuluyorteknik detaylar henüz belli değil ancak konuda zeekr baz alabiliriz çinli model mm uzunluğa mm genişliğe mm yüksekliğe mm etkileyici bir aks mesafesine sahip geelynin sea platformunu kullanan dört altı kişilik oturma kapasitesiyle tercih edilebiliyor i̇ki elektrik motorundan toplam hp güç alan elektrikli mpv kwsalik büyük bataryası sayesinde çindeki cltc ölçümlerine göre kilometreye kadar sürüş menzili vadediyorkaynak,30.09.2023
şerefsizim benim aklıma gelmişti bagajdaki volvo amblemini ışıklı yapmıyorlar diyordum yapmışlar galiba,30.09.2023
resime gitmek tıklayın,30.09.2023
gerçekse mükemmel,30.09.2023
elektrikli cenaze arabası,30.09.2023
değerli arkadaşlar ürün elimizde bulunmaktadırvolvo aydinlatmayan farlarin mercek deği̇şi̇mi̇ yapılabilmektediri̇ster halojensarı yanan olsun ister xenon olsun kararmış mercekleri olan eski farlarınızı yenisine tl vermeden yenileyebilirsiniz halojen mercekli araçlarınızı orijinal xenonlu hale getirebilirsinizmontajı kendiniz yapabilir ulaştırmanız durumunda tarafımızdan yapılabilmektedirdaha onlarca aracın merceği değiştirilmiş memnuniyetleri ifade edilmiştir mercekler orijinal bosch marka olup memnuniyet garantilidir aşagıdaki linkten ürünleri inceleyebilir den whatsaptan irtibata geçebilirsiniz,16.09.2023
arkadaşlar takım orjinal merceğimiz müşterilerimize gönderildi elimizde son çift kaldı almak isteyen arkadaşlar nolu telefondan irtibata geçebilir yukarıdaki linkten ürünü inceleyebilir herkese kazasız belasız sürüşler dilerim,23.09.2023
çift mercek takımı müşterilerimize gönderdik aydınlatma sorunları ekonomik olarak çözüldü sizde aynı sorunu yaşıyorsanız irtibata geçmeyi unutmayın i̇yi sürüşler,23.09.2023
değerli arkadaşlar mercekli farlarınız iyi aydınlatmıyorsa merceklerinizın içi kararmış yanmış demektirvolvo aydinlatmayan farlarin mercek deği̇şi̇mi̇ yapılabilmektedir i̇ster halojensarı yanan olsun ister xenon olsun kararmış mercekleri olan eski farlarınızı yenisine tl vermeden yenileyebilirsiniz halojen mercekli araçlarınızı orijinal xenonlu hale getirebilirsiniz montajı kendiniz yapabilir ulaştırmanız durumunda tarafımızdan yapılabilmektedir onlarca aracın merceği değiştirilmiş memnuniyetleri ifade edilmiştir mercekler orijinal bosch marka olup memnuniyet garantilidir aşagıdaki linkten ürünleri inceleyebilir den irtibata geçebilirsiniz,23.09.2023
geçen gün bursadan dönüşte yolda şanzıman arızası verdi araç ford b max powershift şanzıman afyondaki servise götürdüm bin masraf çıktı sadece kavrama ücreti kadar arabanın binde değişen kavraması binde tekrar değişti powershift yazık pişmanlık diğer araçların bin civarı kavrama fiyatı varken bunun binden başlıyor,16.09.2023
bir anda aracımız otomatik marş start stop arzıası yaşıyor yolda giderken motor duruyor,16.09.2023
arkadaşlar bende zor var bana sorarsanız iyisi kona gerçekten şuan hava şartlarına göre menzili iyi rejen i kulakçıklardan rahat ayarlamanız buna büyük etken yol tutuşu kadar iyi değilvolvo yüksek hızlarda bile yol tutuşu iyi oto pilot iyi güvenli bir araç tartışmasız menzil malesef biraz düşük kw lardazoe bence tam bir şehir içi arabası yüksek hızlar yapmıyorsanız süper bir araç büyük artısı kw olan şarj desteği saat batarya yi dolduruyorsunuz verimli bir araçbu arada elimde fazladan electolise destekli şarj istasyonu var metre kablo üzerinde yazlığı sattığımız boşa çıktı fiyat bin tl almak isteyen olursa özelden yazabilir yer i̇stanbul,26.08.2023
model kullanıyorum bir yıldır yıllık bakımı yapıldı dün bin km olsa yıl doldu i̇lk parti araçlardan olduğu yıl kaskoyol yardımservis bakımı hediye edilmişti listede toplam tl civarı yazsa herhangi bir ücret ödemedim yapılan işlemler polen filtresi değişimi yazılım güncellenmesi lastik basınç kontrolleriydi sadece servise verirken ikame araç talep etmiştim verdiler kullanıp geçince gerçekten teknolojik olarak çağ atlamış hissettiriyor sessizliği konforu ivmelenmesi vs herşeyiyle elektrikli araç farklı,26.08.2023
yazılım olarak gözüküyor şekilde güncellemişler serviste otomatik indirme açık düşmemiş öyleyse sisteme,26.08.2023
benimki serviste olarak geçiyor pixel mevcut,02.09.2023
aci̇l kdvli fatura kesi̇lecek i̇lk günkü gi̇bi̇ hatasiz i̇lan no,16.09.2023
aracımı ay içerisinde teslim alacağım bende ısı pompası mevcut değil umarım eksikliğini fazla hissetmemşehiriçinde kafamda hiçbir soru işareti yok ancak şehirlerarası iyi bir şarj planlaması yapmak gerekecek muhtemelen yukarıdaki bir paylaşımda şehirlerarası seyahatte tüketimin seviyesine vardığı söylenmiş durumda menzil km dolayında bir rakama inmiş oluyor sakin bir kullanımla rakamların düşük olacağımı umuyorum deneyimlerimi sizlerle paylaşıyor olacağımşarj konusunu kapalı otoparkımda şimdilik araç gelen şarj cihazı yapacağım hesabıma göre saat şarj ortalama menzil sağlayacak kısa mesafeler kullandığım yeterli gözüküyor i̇htiyaca göre yüksek kapasiteli bir şarj araştırabilirim,12.08.2023
şehirler arası geçmeden trafikte one pedal maksimum menzil oluyor hızlandıkça hava soğudukça menzil düşüyor günlük kullanımda yetsede uzun vade wallbox rahat ettirir birden yerde şarj gerekliyse yazlık git gel vs goe yada i̇smail çınarın yerli üretim muadili düşünülebilir i̇stanbul çevresi hava aşırı soğumadığı ısı pompası şart değil yola çıkmadan şarj ön iklimlendirme menzili uzatabilir,12.08.2023
