review,date
hocam onceki mesajlarima bakin donanim eklenip kodlaninca geliyor ekrandakiler,06.10.2023
aydır kullanıyorum aracı özelliği denemedim sağdaki tuş özelliği açıyor,06.10.2023
doğru söylüyosunuz hocam diğer aracımda öyle olmuştu cevap teşekkürler,06.10.2023
beyler arka silecekler calısınca rahatsız edici bir ses geliyor orijinal silecekler sizdede böyle bir sorun var bir arkadasım vw lerde kronik demisti bazen ön silecekte yapıyor yağmur yağması önemli değil türlü yapıyor arkadaki sesi,07.10.2023
selamlarkadran renginden sonra direk şeklini değiştirme ilgili bir kaç deneme yaptım sıkıldıkça değiştiririm artık bir max hız göstergesini falan değiştirebiliyormuşuz standardı bilmiyorum ben öyle bıraktım,07.10.2023
bende son şekilde bıraktım resime gitmek tıklayın,07.10.2023
arabanın silecekleri iprenç leş ötesi hatta bk yetkili serviste aldıktan ay sonrasında değiştirttim yine aynı yine aynı öyle kullanıyom artık kredisi bitsin kurtulurum kıytırık araçtan,07.10.2023
review,date
tamam müsait olunca eklerim,02.10.2023
serbest surus modunda genellikle asagi yukari civarinda arac benzin tuketimine devam eder bunu gormek icin tiguanda ayagimi cok hizli gaza dokundurup kaldiriyordum tuketim kismina bakarsaniz vitesteyken bir sure yakar dogru mevzu kinetik enerji uzun yol katetmek trafigi iyi takip edip kimin fren yapacagi sadece ondeki degil onun onundeki trafigin akisinin kontrolu tanidik yol yol kadar egimli egime gelmeden mt kadar once ayagi gazdan cekersem serbest surus devreye girip egimle birlikte epey yol goturur parametreler bir sure sonra alisinca otomatiklesiyor dusunmeden yapiliyor bahsettigim degerlere geliyor ltkm hesabi,03.10.2023
calisiyor hocam sagdaki dugme varsa pla vardir,03.10.2023
deki troc style araca acc şerit takip montajımızaraçta iq light far donanımı olduğu matrix far özelliğini ekledik resime gitmek tıklayın resime gitmek tıklayın resime gitmek tıklayın,03.10.2023
yalnızca orta ekrana aldığınız tüketim verileri ekranında görünüyor,03.10.2023
matrix ozelligi iq light farli araca serit takip kamerasi takildiginda kodlamayla geliyoryoutubedan vw matrix far nasil calisiyor izleyebilirsiniz,04.10.2023
