review,date
"Sürekli aktif evet . Dediğiniz gibi büyük ihtimal ondan yapıyor olabilir . Autohold’u devreden çıkarmak için dokunmak yetiyor.Dün denedim, durduğu zaman hafif gaza dokununca devam ediyor sistem.                ",16 sa.
review,date
Sabah işe giderken yaklaşık 30km güneşi karşıdan alarak gidiyorum ve bu sürede arabanın güvenlik donanımları devre dışı kalıyor :) çok sinir bozucu ama artık alıştım ben                ,6 gün
"Eryaman'ın en sevmediğim yanlarindan biri de o hocam. Sabah doğuya doğru sürdüğün için işe giderken güneş vuruyor, alsam eve dönerken batıya doğru sürdüğün için yine güneş vuruyor  ",6 gün
Bir önceki araçlarımda sadece sensörden mesafe kontrolü sağladığı için böyle bir uyarı ve sorunla karşılaşmamıştım. Yağmurlu havalarda ya da güneşli havada bir çok kez kendisinin frenlemesi ile yavaşladığım zamanlar oldu. Böyle bir arıza ışığı yaktığı durumda çarpışma önlemenin çalışmayacağını düşünüyorum . Bu bir sorun olduğunu gösterir. Bu araçların testleri yapılıyor sonuçta her hava şartlarında. Böyle problemle karşılaşmamak için alternatif çözüm üretebilirlerdi.                ,6 gün
"Belirtildiği gibi güvenlik sistemi taşıt, yaya ya da baska bir engel olduğunu belirledikten sonra bir karar veriyor. Örneğin bir yöne doğru dönerken yaya kaldirimdan adımını atar atmaz uyari alıyorum. Çok daha agresif davranıyor.   Bu tip tam otonom sistemler biraz daha erken devreden çıkıyor. Tonale de ise beklediğimden biraz daha erken meydana geliyor.   Afs sistemi içinde ayni durum söz konusu. Uzun yolda matrix var sistemi otomatik uzun modunda kamera bilgisi ile başka araçları rahatsız etmeden sürekli maksimum düzeyde alanı aydınlatmaya çalışıyor ve bu bilgiyi kamera dan okuyor.   Daha ilkel bir çarpışma önleme sistemine sahip Citroen Berlingo aracım var. Devre dışı kaldığını hiç görmedim. Ama sadece radar dan engel tarıyor. Sürekli devreye girip engel uyarısı veriyor herhangi bir görüntü işleme yok.   Vw grubu araçlarda da aynı sistem var otonom olmayanlarda. Kardan radar kapanana kadar sistem çalışıyor.                ",5 gün
yaya konusunda belirttiğiniz durumu ben de çok yaşıyorum 🤦🏻‍♂️ Yaya benim araca doğru yöneldiği gibi araç nükleer tehdit almış gibi bağırıyor. dediğiniz gibi daha ilkel araçlarda böyle bir problem yokken daha gelişmişinde bir zahmet olmasın istiyorsunuz. vw grubu araçları 6 7 sene kullandım . Dediğiniz gibi karda tamamen kapanacak ki o zaman uyarı ile karşılaşıyordum.                ,5 gün
Bu konuda Tesla çok başarılı. Yoğun yagista dahi sistem çalışmaya devam ediyor. Tucson un sistemi yağış artınca devreden çıkıyor. Diğer araçlarda nasıl bilmiyorum.   Ama tonale de erken devreden çıktığı kesin. Yazılım la düzeltilebilir birşey.                ,5 gün
toyotanın sistemide çok başarılı hem corollo cross hemde normal corollada denedim.  Acc kurunca araç ışıklarda önünde araç ona göre durup. Hareket ediyor bile tonalede 50 km altında herşey  iptal oluyor                ,5 gün
Merhaba.   Seviye 2 otonomda dur kalk özelliği de var tonale de.                ,5 gün
Arac durduktan sonra gaza bir kez dokunmak gerekiyor. Sonra tekrar aktive oluyor sistem.   Dizel versiyonda gelen 1. Seviye otonom opsiyonunda belirli bir hizin aldinda sistem devreden çıkıyordu ya da devreye alınamıyordu.                ,5 gün
Benimki dizel  ,5 gün
Teşekkürler bilgi için ben de çözememiştim :)                ,5 gün
Olması gerekeni yapıyormuşum  . teşekkürler. Otonom sürüş perfomansı zaten yeterince iyi bence. Şeriti ortalayıp gidiyor.                ,5 gün
Tarif ettiğiniz den şerit ortalama devre disi kalmista serit takip asistani çalışıyormuş gibi anladım.    Benim başıma hiç gelmedi bu durum. Gerçi uzun süreler boyunca kullandığım olmadı.                ,4 gün
"Durum buyken yapıyor daha doğrusu yapabiliyor, her zaman değil bazen. < Resime gitmek için tıklayın > ",4 gün
Sistem cuvalliyor galiba. Bahsettiğiniz sekilde ben de denemeye çalışayım yarın.                ,4 gün
Belirttiğiniz gibi yüksek hızlarda olabilir. Ben 80 ve 90 km/s hizlarla denedim ikinci harekette seriti ortaladi.                ,3 gün
"Bugün biraz daha uzun soluklu kullanabildim aracı;   -Sola çekme sorunum zaten hallolmuştu,  -Direksiyonun sola dönük durma sorunu halloldu, hatta çok düşük hızlarda hafiften sağa dönük şu an, son ayarı ben yaptırdım. Hızlanınca direksiyon dümdüz duruyor,  -Titreme sorunu geçti ama yüksek hızlarda yine de istediğim pürüzsüzlük yok,  -Bozuk yollarda direksiyonu bırakınca direksiyonun sağa sola kıvrılma eğilimi devam ediyor ancak aracın gidiş yönü değişmiyor  -Aracı artık tek elle daha rahat kullanabiliyorum. Sürüş keyfi artmış durumda   İşlemleri tekrar yazıyorum; sırasıyla rot, direksiyon açısı ayarı, rot ve balans. Balans (350tl) dışındaki kalemler garantiden karşılandı ama güncelleme ile beraber toplamda 2 günüme maloldu, tekinde ikame araç alabildim.   Araç yaklaşık 1 haftadır ilanda, ilk gün dışında talep hiç olmadı. En ucuz sayılabilecek fiyatta. Satmayı eskisi kadar düşünmüyorum o sebeple fiyat kırmayacağım.                ",2 gün
review,date
"1.5 benim aracım , aynı sıcaklık artışı bende de mevcut 102 103 dereceleri gördüğüm oldu. hatta kaputu açtığınızda bakış yönünüze doğru sol taraftaki antifriz kaynıyordu. Ne kadar normal bir durum bilmiyorum. Soldaki antifriz yüksek sıcaklık sistemi soğutma sıvısı, sağdaki motor soğutma sıvısı diye geçiyor.< Resime gitmek için tıklayın >-- 	Vag grubunda evet 90'a sabitliyordu hareket etmiyordu. Çok gözüme batmasın diye takip etmiyorum :) . çok ısındığında mutlaka kendisinin haber vereceği bir teknoloji koymuşlardır diye düşünüyorum.                ",geçen hafta
"Aracım henüz 700 km'de. Yaşadığınız sorunları görünce üzülüyorum. Diğer taraftan da bende bunlara bayağı takan birisiyim, yaşarsam araçtan soğurum düşüncesindeyim. Çok yükseltmeden satsam mı diye düşünmüyor değilim.                ",geçen hafta
Bana da usta durumun normal olduğunu söyledi. Çok takilmamak lazım dediğiniz gibi demek ki.                ,geçen hafta
Ben 5000 km dizel 3000 km phev modelini kullandım ve bir sorun yaşamadım. Her yeni araçta elbette hatalar sorunlar ortaya çıkabilir. Ama çıkan sorunların cok basit aksamlarla alakalı olmasına rağmen çözüme ulasamamasina ben de cok şaşırıyorum.                ,geçen hafta
Satarsanız bu ortamda zararınız çok olur hocam. Ben 2.el aldığım için rahat davranıyorum bakmayın bana :) Olur da sorun görürseniz en azından elinizde bazı bilgiler olacak. Biz birbirimize yaza yaza öğrendik çoğu şeyiBu direksiyon problemleri düşündüğümüz gibi basit çözümlü değil aslında. Opelde sorun yaşan çok oldu mesela son dönemlerde. Hatta bir arkadaşım dava açtı crossland aracının sağ çekme problemini çözemiyor servis. Umarım benim problemlerim tamamen çözülmüştür ve tekrarlanmaz zira 2 tam günümü harcadım bu işler içinForumdaki arkadaşlar 2. el kaygısı yaşadığı için araçlarındaki problemleri çok ifade etmiyorlar. İnanın diğer markalarda da çok sorunlar var premiumlar dahil. Detay arttıkça risk artıyor herhalde. Motor şanzıman sorunu olmasın da bi şekilde çözülür elbet diğer sorunlar                ,geçen hafta
İşin şakası bir yana elbette 300 400 e yakın zararımın olacağını düşünüyorum. Araçtan memnunum . Yol tutuşu güven veriyor . Konforu bence 19” jant olmasına rağmen üst seviyede.sürüş pozisyonunda tek takıldığım konu iç dikiz aynası. Araç içindeyken dışarıda yukarıya doğru bakmak istediğim zaman eğilmem gerekiyor 😀 o garip geldi sadece. iç ve dış tasarıma söz etmeye bile gerek yok. Ama alüminyum tavan barları olsaydı biraz saha güzel gözükebilirdi. Ekstra almak gerekiyor.                ,geçen hafta
Sorununuz rot kolları değişimi ile çözüldü değil mi                ,geçen hafta
"Sırasıyla rot, direksiyon açısı ayarı, rot ve balans yapıldı hocam, parça değişimi yok                ",geçen hafta
Selamlar aracınızdakş titreme sorunu  geçti mi merak ettim test ettiniz mi  beni aracaım hala parça bekliyor rot başı ve rotlar değişecek yurtdışı sipariş dendi  2 hafta dendi 1 hafta geçti  bakalım. Bu hafat gelir herhalde tak çıkar sok ayar filan. Bence benim 10 gün daha  bar bu kadar beklemeye bakalım degecek mi. Allahtan ikame araç verdiler o da renegade ona biniyorum                ,6 gün
Sizin aracınız ile diğer aracı farklı ustalar bakmıştır artık bence bıkkınlık olmuş  insanlardan gelen şikayetleri  dinle bazı ustalar iplemiyor bana ne benlm aracım mi diyerek ugraşmak istemiyor onların için yağ değiş. Bakım yap arıza ışığı kırmıız renk değilse sarı filansa reset güncelle git yazık alfa tonale renegade bildiğiniz egea cross aynı paltform araçlar                ,6 gün
"Çok fazla kullanamadım hocam ama geçti gibi. Balans kaynaklı diye düşünüyorum, umarım öyledir. Renegade de kötü araç ya bana da vermişlerdi ikame :))                ",6 gün
Bende sorun diğerr arkadaşın bahsettiği gibi 120 lerdem sonra  stabil düz yolda olan durum uzun yol giden biri olarak batıyor. Şehir içi kullanışta anlanmaz  sadece sehir içinde rahatsızlık direksiyonun Yolu acayip  hissettirmesi  sanki  direksşyon direk yola bağlı gibi  bu yüzden   ,6 gün
Otobanda  yamalı yerler olsun yada asffalt kalitesinin farklı  noktalarda  olsun her yolda direksyonu  farklı bir his veriyor sanki  yol yapısı. Ney se  ben onu hissedeyim  diiye araç buna özel yapılmış gibi  bazan diyorum direksyon yerinden çıkacak da  gidecek gibi geliyor                ,6 gün
"O durumda bende var hocam, diğer arkadaşlar ne der bilmiyorum. Tek elle kullanmak bu yüzden zor oluyor                ",6 gün
gecen hafta  cheery omoda 5. Citroen c4x  corolla cross kullandım  hiçbirinde böyle  bir direksiyon husursuzluğu yok  huzursuz direksiyon sendromu  yaşıyoruz  kullanımı torpülüyor istediği.  Kadar.  Baska şeyi iyi  olsun. Kullanım hissi tatmin etmiyorsa   ,6 gün
Benzer şeyleri bende yaşıyorum. Bütün araçlarda olan kronik problemler belli ki. Genel olarak güzel bir araba ama bu tarz şeyler yüzünden keyif kaçırıyor.                ,6 gün
