review,date
Dün başlamıştı bu sabah arabaya bindim yine vardı normalde hiç yanmıyordu  ilk start tuşuna basında güvenlik sistemleri arıza kullanım klavuzuna bakın diyor                ,dün
Bu gibi durumlarda direkt şu numarayı arayabilirsiniz. 444 28 34   Audi yol yardım.   Servisten birini konferansa alıp direkt ustalardan bilgi alıyorsunuz.                ,dün
Hocam o şekil yaptım servise çağırıyorlar aradım ustayla görüştürdüler servise gelin diyor yarın öbürgün ışıklar belki söner ama kontrol amaçlı bakalım yine dediler                ,dün
review,date
"O sıktığınız plastik hangisi hocam, hani bilelimde ona göre nazik davranalım🥲                ",2 hafta
"Merhaba arkadaşlar,  Bang olufsen ses sistemi olanlar hangi ayarları kullanıyor paylaşabilir misiniz lütfen ( tiz bass sub 3d surround vs.)                ",2 hafta
"🙂  tek başıma bir araca bindiğim zaman hissetmek istediğim tek şey o aracın kaliteli ve sağlam olup olmadığı.. bunu da ince detaylarda hissetmemek zor değil. En basitinden torpidonun üstüne baskı uyguladığınız da araç sallanıyor 😅(alman araçlarda göremezsiniz bunu) ya da koltuk altındaki plastiklere dokunun ve sıkın, çok narin yapılmış. Tabi her zaman elinizin gideceği yerler değil ama pejolar iç tasarım dizaynı ve multi medya eğlence algısıyla kalite algısının önüne geçiyor.. siz de binince aa ya ne dolu araç uu süper.. koltuk masajıda var tam uzun yol aracı hmm diyorsunuz. Pejolar asla kötü değil ama malzeme kalitesini ben asla kaliteli bulmadım. Ve bu kalite sorunu da 20 bin km lere geldiğiniz zaman olası yol güzergahına göre araçtan caf caf sesler duymanız çok mümkün.. bunlar trim sesi değil, kalitesizlik sesi olacak 🥲                ",2 hafta
"Dediğinize kesinlilke katiliyorum, 408 aldim ilk uzun yolda, yol cok kotu ise mesela sol havalandirmadan plastik titresim sesi geliyordu. 10 senedir J kasa 1.6 Astra sahibiyim daha bunun gibi bir durumla karsilasmadim. Ama astrada da debrijay pedali artik serenad yapmaya baslamisti. Bu gibi seylere takilirsak arabanin keyfini yasiyamayiz ben 2 aracimida seviyorum, astra manuelden 408 otomatige gecincede iyi ki gecmisim dedim. Konfor ve rahatligi guzel.                ",2 hafta
"Hayırlı olsun yeni aracınız, kazasız belasız sürüşler dilerim.                ",geçen hafta
3d surroınd kapatın bence . tizi ortada bas ve amfiyi keyfinize göre arttırın. Ama unutmayın tamamen kişisel zevkimdir :)                ,geçen hafta
Sagolun cok tesekkur ederim                ,geçen hafta
Merhaba. Ben de bu klübe dahil olmuş oldum. 2022 advanced sportback ile. İlk izlenimlerim güzel ama carplayin bu devirde hala kablolu olması şaşırttı. Kablosuzdur diye tahmin ediyordum.                ,geçen hafta
Hiç uğraşma açtır dostum direkt kablolu çekilir dert değil. 2021 benim aracım 2 3 güncellemeyle kapattılar ama hep geri açtım problem de olmuyor. Tavsiye ederim.                ,geçen hafta
Herkese iyi akşamlar. Ev alma gayesi ile aracımı satıyorum. İlgilenenler için ilan linkini bırakıyorum.   İlan Linki ,geçen hafta
geçen ay aldığım teklif;2.040.0002 paket + bangolufsen + metalik gri sline paket                ,4 gün
"çanakkale avekizmir avekte de araç vardı. onlar 2.050.000 istediler.maalesef genel olarak bu audilerde 50 bin sokuyorlar, camlara film, seramik kaplama vs. yi ücretsiz yapıyolar :D , bunlara ek olarak 1 sene garanti uzatma yani 17bin de ordan giriyor.kısacası adamlar çok rahat, alırsan; ekime diyorlar. ben şikayet edip paranın peşine düşecektim de. neyse bu ortamda araç bulduğumuza dua ediyorum.                ",3 gün
