review,date
"Hocam iyi akşamlar,  Ben 9 ayı devirdim, henüz taksitleri de bitmedi. Ancak aracınıza çok önem veriyorsanız kaliteli bir ppf yaptırmanızı tavsiye ederim. Kaliteliden kastım da adının çok duyulmasından ziyade mikron değerleri.   Aracımı aldıktan sonra kaput, çamurluklar, yan kapılar ve kapı eşikleri (yani neredeyse tamamı) adı epey duyulmuş bir markanın 5-10 yıllık garantili filmleriyle kaplandı. Bir gün fark ettim ki h.sonu kaplama olmayan sol arka çamurluk bel hizasında 3-5 mm kadar boya kalkmış, belli belirsiz göçük oluşmuş. Servise gittim rötuş boya sürüldü ama maalesef dikkatli bakınca kaldı izi. Kapılardaki ppf’lerde 4-5 çatlama var kapı üstüne yakın çıkıntı çizgide. Muhtemelen başka araçların kapıları çarpınca ppf çatlamış. Sol aynanın önüne doğru ppf neredeyse yırtılmış, beyazlaşma ve hafif göçük var. Umarım boyaya gelmemiştir diye beklemedeyim ppf’i yeniletene kadar. Dün fark ettiğimse ön yolcu tarafında kapı eşiğinde göçük var. Perşembe günü yıkatmıştım aracı, etrafını şöyle bir dolandım ama kapı eşiğine bakmak aklıma bile gelmemişti. Demem o ki eğer kendinize ait park alanlarında, kapalı garajda veya güvenli yerlerde bırakmayacaksanız aracı mutlaka ppf kaplatın. Seramik kesinlikle yetersiz olurdu yaşadığım duumlarda. Bu yaşadığım şeylerde en ufak bir hatam bile yok ama 9 aylık aracın üç göçüklü görüntüsü insanı haliyle sinirlendiriyor. Diğer gruba yazıklarınızı da gördüm, eski bir f20 kullanıcısınız sanırım. O kasanın sağlamlığından eser yok. Tamam güzel araç, sürmesi keyifli, teknoloji açısından çok güzel ama f20’de bu yaşadıklarımın zerresini yaşamadım.                ",dün
"Bu arada oturdum bir yarım saat araç yıkanırken kayıt alan kameranın görüntüsünü izledim. Herhangi bir takırtı, bir şeyin çarpması sesini duysam diyeceğim ki yıkamacıda olmuş ama yok. Kapı eşiğine de ppf parça yaptırdım sırf inerken binerken ayakkabı sürtüp boyası zarar görmesin diye. Ppf’in üstüne dokunuyorum hala pürüzsüz. Sivri keskin bir şey düşmemiş çarpmamış.    Bu arada bütün bunlar benim yaşadığım. Aynı dönemde araç aldığımız, benden önce aracına kavuşan arkadaşlar var forumda. Belki onlar hiç yaşamadı böyle şeyler.   Maksadım sadece seramik kaplama yazdığınız için yaşadığım şeylerden bahsetmekti. Şahsi fikrimi sorarsanız aracınıza kalitesiz de olsa ppf kaplatın. En kötü ihtimalle iki üç sene içinde yeniletirsiniz. Yeter ki bilen biri uygulasın, sökümünü yapsın. Boyaya da zarar vermez. Eski aracımda sanayi malı markasız ppf vardı kaputta. Kaputa izmarit atmışlar balkondan Tunalı’ya gittiğimde park yerinde. İzmarit filmin üstünde yanıp sönmüş. Film sararmıştı ama sökünce boyada sıfır hasar vardı. Yine de Allah korumuş yani komple de yanabilirdi araç.                ",38 dk.
review,date
Maalesef dün sizinle konuştuktan sonra kendi aracıma baktım akşam. Orta ekranda harita olmasa da cadde/sokak ismi yazıyor orada.   Kapı kilidi ile ilgili ayarlar Kullanım kılavuzu 105-106’ncı sayfalarda anlatılıyor.   Sadece şoför kapısının açılması bence iyi bir özellik hocam özellikle kalabalık şehirlerde. Muhtemelen hırsızlık olaylarının önüne geçmek için.    < Resime gitmek için tıklayın > ,2 ay
kapılarla ilgili bayağı bi ayar seçeneği var ama benim istediğim ya yok yada ben yapamadım.normalde kapılar kilitli.sürücü yada yolcu kapısı içeriden açıldığından arka kapılarında otomatik açılması gerekir mantık olarak.benim golf aracım vardı onda öyleydi.arkada çocuklar var.güvenlik açısından araçtan inip arka kapıları açabiliyor olmamız gerekir diye düşünüyorum.                ,2 ay
Hocam araç çalışır vaziyette iken şöför kapısını açtığında güvenlik amaçlı diğer kapılar kilitli kalır. Tamamının açılması için aracın stop ettirilmesi gerekir.                ,2 ay
anladım teşekkür ederim.                ,2 ay
Balata değişecekse ön arka Balat’a 13.000 tlye değiştirdim 2 hafta önce.                ,4 hafta
Araç kaç km bende de her ikisi Balata değişimi için uyarı vermeye başladı. Önümüzde ki hafta değişim görünüyor bana da                ,4 hafta
26..000 km değiştirdim ama bende tarihten ötürü çıktığını düşünüyorum. Ön için gittim arkanında bittiğini söylediler Onuda değiştirttim                ,4 hafta
Balatanın tarihle ilgisi yok asbest karışımları olmayınca balatalar inanılmaz çabuk bitmeye başladı. G20 aracım her 14.000km de arka balata değişiyor. F40 aracım da 24.000km Şuan ön arka balata zamanı gelmek üzere maalesef. Bu dönemde bu maliyetler 😏                ,4 hafta
1 ay önceden bana ikaz vermeye başladı araba o yüzden tarih dedim. Evet maliyetler çok yüksek. 3 farklı yerden fiyat aldım. Otomol sadece ön Balat’a için 9000 tl istedi. İstanbulotoda 13e ikisini değiştirdim                ,4 hafta
Bende size bir soru sorıyım. Balatayı değiştirdikten sonra araçta çizik sesi gelmeye başladı. Yaptırdığım yere geri götürdüm temizlik yapalım geçer dediler. İlk zamanlar geçti ama halen devam ediyor. Ayağım gazda değilken düşük hızda sanki birşey sürtüyor sebebi nedir sizce.                ,4 hafta
Merhaba böyle birşeyle karşılaşan oldumu   < Resime gitmek için tıklayın > ,4 hafta
"Bilgi güncellemesi yapmak istiyorum arkadaşlar. 6 Yıllık f20 deneyimimden sonra -ki aracımdan son derece memnundum- yakın bir zamanda f40 deneyimine adım atacağım. Güncellemem ise şu şekilde; siparişini vermiş olduğum M Sport aracımda, bana verilen özellik listesini kontrol ettiğimde kablosuz şarj özelliğinin, paketin dışına çıkarılmış olduğunu farkettim.Yani çok büyük bir ihtimalle standart paketlerde artık bu özellik yok. Maalesef. Sanırım araç fiyatlarını 2 nin altında tutabilmek için mecburen yapıyorlar bunu, biliyorsunuz ikinin üzerindeki araçlara banka kredisi çıkmıyor.benim güzel ülkemin güzel tuhaflıkları.. ",geçen hafta
"Standart m sportta zaten bahsettiğiniz opsiyonlar yok ve zaten bu haliyle iki milyonun az altında tutabiliyorlar rakamı.Ha, ben hem sabırlıyım hem de aracım geldiğinde çıkacak rakama razıyım derseniz, işte o zaman standart paket dışında tutulan bu opsiyonları ( ki artık bu ekstralara kablosuz şarj da dahil edildi ne yazık ki) alabilme şansınız oluyor.                ",6 gün
"Selamlar, hiç bunun üzerine düşünmemiştim )) Çerçeveli olarak kullanıyorum                ",5 gün
review,date
"ekradan video oynatma,elle komut                ",2 ay
bunlarıda kaldırmışlar galiba                ,2 ay
"Ekrandan video oynatma zaten yok, yazılımla falan açıyorlar diye biliyorum. 2022 de teslim ettikleri araçlarda elle kontrol yok diye biliyorum. Çok da önemli bir özellik olduğunu düşünmüyorum                ",2 ay
aracın menüsünde  tanıtım videosu var.onu izleyebiliyorum.oda hareket halinde kesiyor.sadece sesi geliyor.telefonu bağladığımda herşey ekrana yansıyor fakat youtube yok.bu arada benim aracım 2023 haziran teslim                ,2 ay
