review,date
"Merhaba arkadaşlar, 2012 aveo 1.3D ltz kullanıcısıyım. Yağ pompasını değiştireceğim, Hatay'da yaşıyorum ve parça bulmak bu aralar malum nedenlerden ötürü sıkıntı olduğu için internetten sipariş vereceğim. Sorum şu; aracıma uygun yağ pompası bakarken şase no ile sorgulama yaptırdım ve sensörlü olan modelin uyumlu olduğu gözüktü. fakat aracı bıraktığım usta araçtaki yağ pompasının sensörsüz olduğunu söylüyor. Bu aracın yağ pompası orjinalinde sensörlü mü sensörsüz mü bunu bilen bir arkadaş cevaplayabilirse sevinirim. Şimdiden teşekkür ederim.                ",10 sa.
review,date
2023 yılındayız ben de bu araçtan almak istiyorum ama önerir misiniz paarça vs sıkıntısı yaşar mıyız                ,2 ay
review,date
"Merhaba, @Belice Fren hidroliği değiştirdikten sonra düzeldi demişsiniz. Bunu yazalı 1 sene olmuş ama sonrasında sorun tekrar oluşturmu yoksa tamamen düzeldimi. Aracımdada aynı sorun var ve bir çok usta sorun hakkında hiç bir fikir yürütemiyor.                ",4 ay
Merhaba Arkadaşlar. Yeni Kasa Aveo Otomatik sahibiyim yeni birşey başıma geldi bilen yardımcı olursa sevinirim.Aracı yaklaşık 1-1 buçuk saat kullandıktan sonra yavaşladığımda bir anda stop ediyor ve bir daha çalışmıyor taa ki aradan 20-30 dk geçene kadar. sonra hiç birşey yokmuş gibi sürüşe devam ediyorum. Aşırı sıcaklar başladıkdan sonra bu başıma gelmeye başladı. Gaz gelebeği kirli dedi bir usta temizledi sorun düzelmedi devam ediyor. Her stop ettiğinde Klima açıktı. Bu arada araç hiç bir arıza ışığı yakmıyor. Birde araç 84 Bin Km'de. Yağ bakım zamanı geldi alakası varmı bilmiyorum Motor üst conta kısmında hafif yağ terlemesi yapıyor bunlardan bişey çıkar mı bilemedim yazdım. Arabada LPG yok                ,3 ay
review,date
Konuyu Hortlatıcam malesef. Yeni Kasa Aveo Otomatik sahibiyim. Araç normal seyir halinde giderken yavaşladığımda stop ediyor hiç bir arıza ışığı yakmıyor hararet vs herşey normal. fakat araç tekrar çalışmıyor aradan 20-30 dk geçiyor tekrar çalışıp uzun bir süre devam edebiliyorum. sebebi nedir anlamadım. Boğaz kelebeğiz pis dediler temizlendi sorun devam ediyor. Birşey dikkatimi çekti klima açıkken yapıyor gibi geldi bana ne alaka bilemedim.                ,3 ay
review,date
Merhaba arkadaşlar bir konu hakkında tecrübelerinize sığınmak istedim dün Aveo aldım dooble teyp takmış LS paket bu aracın yol bilgisayarı yok sanırım km de ne yaktığı felan ltz paketlerinde mevcut degilmi yoksa benmi bilmiyorum                ,3 ay
review,date
Hocam yüksek devir problemini nasil cozdunuz bende de ayni sorun var cozemediler                ,3 ay
review,date
Merhaba aynı sorun bende de oldu çözüm bulamadım. Satan arkadaş varsa alabilirim                ,10 ay
Merhaba aynı parçayı arıyorum yardımcı olabilir misiniz                ,3 ay
Arkadaşlar e mailden yazarsanız. e mailinize yollayabilirim. Selamlar.                ,3 ay
review,date
2005 Benzinli kaput tavan bagaj orjinal lpg yok 185binde kazasız alınırmı sizce.                ,4 ay
"Kesin olarak kazasız ise eğer, alınır diyorum ben hocam.                ",4 ay
Adamla görüştüm motorda yağ kaçağı varmış. Ustası ile görüşmüş 15 20k arası masraf varmış.                ,4 ay
review,date
Merhaba herkese hayırlı akşamlar arkadaşlar 2011 model Chevrolet yeni kasa 1.4ltz bir aveo aracım var sıkıntısını bulamadığımız enteresan bir arızamız var bilen yardımcı olursa sevinirim.Aracımın beyin soketinin sadece bir tanesine belirli aralıklarda yağ geliyor ve biraz vakit geçtikten sonra mesela 3-4 gün kadar sonra motor arıza lambası yakıyor.Soketi yerinden söküp balata spreyi ile temizleyip hava tutup soketi yerine takıyorum arıza lambası sönüyor bir türlü çözüm uretemedik bilgisi olan varsa yardımcı olur ise çok sevinirim.                ,5 ay
review,date
Arı iş Opel servisi Ümraniye ama bizzat tecrübe etmedim hocam                ,9 ay
review,date
"
merhaba arkadaşlar,babamın aracı olan Aveo 2011 1.4 LS benzinli için ana fren merkezi aramaktayım. tercihim sıfır parça ama çıkma parça da işimi görür.yardımcı olabilirseniz sevinirim. şimdiden teşekkür ederim. ",9 ay
review,date
Merhabalar chevrolet curuze 2012 aracım 2.vitese e geçerken çok zor geçiyor diğer viteslerde soruyor neden olabilir                ,10 ay
Selenoid valf tikalidir ya da şanzıman dislisindendir.iyi bir sanzimanciya göstermelisin                ,10 ay
review,date
"Merhaba,Benzer sorunu birkaç sefer yaşayan birisi olarak ilk bakılması gereken yer Isıtma Bujisidir. Önce bilgisayar ile arızalı ısıtma bujisini yeri tespit edilir ( no1 veya no3 vs )  ve ısıtma bujisi değişir. Bulabilirseniz Beru marka ile değiştirmenizi tavsiye ederim. Üzerindeki orjinal GM ısıtma bujisini de Beru üretiyor.Bir not daha;Kısa mesafede start/stop kullanıyor olmak bu parçaların ömrünü de çabuk yitirtiyor. Bilginize.Saygılar.                ",10 ay
