review,date
Otoyol sürüş destek sistemleri en erken önümüzdeki ay gelebilir dediler.  Bu ay Fransa limanında bekleyen araçlarda kesinlikle yok.  Zaten 1 Ekim itibariyle üretilmeye başlayan araçlarda olacak.                ,13 sa.
"Merhaba,   Ben denemedim ama 2010 model Astra Classic aracımda vardı, arabanın motorunu kapatıp sinyal kolunu bir tarafa iterseniz o tarafın park lambaları açık kalıyordu, kitapçığında yazan bir bilgiydi diye hatırlıyorum. Sanırım bir çeşit test uygulaması, birçok araçta var.Ekleme: Yazdıktan sonra denedim. Aracı kapatıp, şöför kapısını açın sonra sinyal kolu ile oynayın, oluyor.   Saygılar.                ",2 sa.
review,date
2021 yılında aldığım c4 shine bold aracımın kapısında dökülme oldu. 1 ay önce merkeze bildirdim. Bugün aradılar boyamak dışında yapabileceğimiz bir şey yok dediler. Citroen alırken 2 kere düşünün. İlgi alaka sıfır. Hukuki mücadelemiz başladı bir çok kişi gibi hayırlısı bakalım.                ,3 gün
Foto paylaşabilirnisiniz üstad.                ,3 gün
C4x 2023 shine                ,3 gün
"Aracı uzaktan açtıktan sonra tekrar basılı tutuyorum. 7-8 sn sonra camlar açılmaya başlıyor. c4x lerde neden olmasın mantıksız ama başka bir çalışma prensibi mi var acaba, servise soralım diyeceğimde onlar bizden de Fransız arabaya  ",2 gün
Aynen ama tüm bunlara rağmen aracı seviyorum 😀 sürünce çok keyif alıyorum.                ,2 gün
1 kez başardım ve bir daha baglanamadim. Bugun 20 dk daha uğraştım. Yok yine bağlanmadi. Herseyi denedim ama yok. Aracı uygulamadan silip tekrar deneyeceğim bakalim                ,2 gün
"Az önce web üzerinden kayıt bıraktım(sağdaki otomatik chat, yetkiliye bağladı beni)Durumu anlattım ve 15 dakika içinde aradılar.Yurtdışı kaynaklı bir problem varmış, güncelleme bekleniyormuş.İlk girişte İngilizce seçip devam edebilirsiniz, geçici çözüm bu şekilde dediler.(Henüz denemedim)Güncelleme gelince düzelecekmiş. (İnşallah  )                ",dün
Ben denedim ingilizce yapip.Bi bağlanır gibi oldu. Kilometreyi güncelledi. Sonra tekrar iptal.                ,dün
United kingdom  evet                ,dün
"2022 shine aracım var benzinli genel olarak baya memnunum bu fiyata daha iyisi zor, yakıt 11000 km oldu 6.6 ortalamalardayım İstanbul’da gayet iyi yakıyor daha düşüğü zor, sadece bir kere ekranlar gitti siyah oldu  akü kablosunu sökünce düzeliyor. O da psa araçlarında bazen yaşanıyormuş Peugeot vbde falan. 1250 çok güzel fiyat bence alınır bu ortamda                ",23 sa.
"Eksikleri;   Uzun far asistanı  Ön park sensörü  Kör nokta uyarı  Eco led ön farlar  Gündüz farları v tarzı imzalı versiyon   Ön sis farları   Karartılmış arka camlar  Kapı kolları gövde rengi  Krom çerçeveler  Ekstra hoparlör   Head display  Kablosuz car play android auto  Navigasyon   Arka kol dayama  Elektro krom dikiz ayna   Bulabildiğim eksikleri, şu an citroen ve bir çok firmada liste fiyatından bol bol indirimler var. 50 bin takas desteğini direk indirim olarak yapıyorlar üzerine de daha da fiyat düşüyorlar 25 bin de yakıt desteği var.    Cam tavan bu arada shine bold versiyonda geliyor.                ",21 sa.
bence önemli farklılar şunlar:kablosuz android auto ve kablosuz şarjperde hava yastıklarıön park sensörü ve kör noktaarka kol dayamaotomatik kararan dikiz aynasıköpek balığı antenshine boldda sadece bunlara ek cam tavan artısı var kayda değer.                ,20 sa.
Bilgi için teşekkürler acc olayı aklımda  bugün onuda konuşacağım                ,15 sa.
review,date
"Geri dönüşünüz için teşekkür ederim,Evet ters giden bir şeyler var C4X sisteminde, bugün yine detaylı denedim, profilimi, cihazı sildim vs ama yine değişen bir şey olmadı. ilk bağlantıyı bluetooth üzerinden yapıp wi-fi'Ye geçerek carplay'i aktif ediyor(Telefon onay talep ediyor BT bağlantısı yapıldıktan sonra, carplay için wi-fi bağlantısını açmamı istiyor)My Citroen bende aşağıdaki gibi gözüküyor ve hiç bir işe yaramıyor maalesef.neyse şimdilik araç yeni, herhangi çalışmayan bir özellik yok, ilerleyen zamanda bakacağız duruma.< Resime gitmek için tıklayın > ",5 gün
c4 shine bold sahibiyim. ilk basma sonucu kilitleme sonra tekrar basma 3.sn sonra cam ve sunroof kapaniyor. Acma icinse tam tersi ilk kilit acip sonra camlar vs. Sekans bu sekilde.                ,5 gün
Uzun süre basarsanız hem açma hem kapama özelliği mevcut. Araç kilitlendikten sonra camlar açıkken kilit tuşuna basmaya devam edin. Hatta kapanıyorken elinizi çektiğiniz yerde duruyor camlar... Ocak 2023 C4 shine aracım...                ,5 gün
Kapama var ama Açma yok bende. 2023 C4x shine bold. Sanirim X lerde bu özellik yok                ,5 gün
Yazılımsal bir fark olabilir ama saçma bence... Sunroof mu acaba mantığını değiştiyor diyeceğimde c4'ün sunroof'lu modelinde de kapanıyor-açılıyor demiş üstte bi arkadaş. Servise bi sormak lazım çalışma mantığı farklıdır belki. Ama uzun bir süre bastığımı tekrar edeyim arkadaşların dediği gibi 3 sn vs değil. Camlar açıkken aracı kilitledikten sonra tekrar 5-10 sn basılı tutuyorum...                ,5 gün
Açmada da aracı açtıktan sonra uzunca bir süre basılı tutuyorum dediğim gibi 3sn değil asla                ,5 gün
"Klasik 18"" jant icin olculer 18 J6.5 4x108 ET26. J (jant iki kenar arssi genislik) 6.5 inc iken ideal olan lastik genisligi 195-205mm. 215 son olcu. Taban genisligini artirmak icin lastik yanagindaki direnci degistirmek bence dogru degil. Kaldi ki aracın virajlardaki davranisini hepimiz biliyoruz.  Yazlikta standart olculerle devam edip, kislikta 215 60 17 ve J7 ET32 bir jantla devam ediyorum. Suruse gore araci degistirmek yerine araca gore surusu degistirmek gunluk kullanicilar icin daha emniyetli oldugunu dusunuyorum.< Resime gitmek için tıklayın >< Resime gitmek için tıklayın > ",5 gün
"O zaman hukuki acidan yapilacak hicbirsey yok. Ben ocak ayinda araci teslim alirken sozlesmeye donanim listesini zimbalamislardi. Bayii bile koltuk isitmanin olmadigini bilmiyordu. Citroen merkezi eksikligi kabul etti ama cok dusuk, saka gibi bir geriodeme teklif etti. Kabuletmeyerek mahkemeye verdim.                ",4 gün
Ne kadar teklif etti hocam                ,4 gün
"Citroen c4x shine aracım dün çalıştırdım ekranlar simsiyah hiç biri açılmadı araç çalışıyor ancak göstergeler aktif değil, bugün servise gösterdim araç 11000 km’de 10 binden sonra bakım ışığı yanmıştı hem sormak için hem de ekran olayı için.   Şubatta teslim aldım 1 sene olmadığı için bakımı bilgisayara bağlayıp 1 sene 15000 de haber verecek şekilde güncellediler, ekran kararması için de sanırım akünün kutup başlarını söküp geri taktılar yani reset gibi bisey yaptılar. İnsallah bir daha vermez böyle bir hata.                ",4 gün
Ekran Psa grubunda kronik her an her dk bir hata olabilir.                ,4 gün
Açmayı bir türlü yapamadım                ,4 gün
Aracın  arka difüzör parçası dün serviste garantiden değiştirildi. Müsait zamanda fotoğraf çekmeye çalışırım.                ,4 gün
Aracınız neydi acaba                ,4 gün
Üstat hiç başıma gelmedi. Frene yeterince basmayınca oluyor. O da normal.Onun dışında böyle bir problemle karşılaşmadım. Bende de şu şekilde bi sıkıntı oluyor. Çok yağmur yağdığında  yağmur sensörü  yavaş çalışıyor. Seviyeleri arttirsam da hızlı yağdığında hızlanma yeterince olmuyor.  Aracın tüm sensörleri mi dandik anlayamadım. Kör nokta uyarı sisteminin de daha önce haber vermesini isterdim. Araç neredeyse yanımdan geçerken haberim oluyor sadece.                ,4 gün
"Otomatik silecek her zaman yapmıyor onu, bazen çok iyi çalışıyor, bazen ise sanki yağmurun hızlanmasını algılamıyor. Ayrıca silecek suyu da fışkırtmıyor bazen, depo dolu olmasına rağmen. Kanallar tıkanık desen hiç çalışmaması lazım, bazen hiç sorun yokmuş gibi tekrardan çalışıyor.Bende de geri görüş kamerası kararıyordu, servise götürecektim, kendi kendine düzeldi ve bir daha sorun çıkarmadı...Aracın çok tuhaf huyları var  ",4 gün
"Teşekkürler, geçmiş olsun diyelim. Civatalar altta kalıyor herhalde, görebilmek için altına yatmak gerekiyor sanırım. 5000 km'ye gelmeden ara ara kontrol ederim.                ",3 gün
Açma bende de yok 2021 Feel Bold. Sadece camları kapatıyor basılı tutunca. Ama hiç bir şekilde açtıramadım camları.                ,3 gün
review,date
"
< Resime gitmek için tıklayın >   Sonunda oldu 😀                ",geçen hafta
5 bin civarı                ,geçen hafta
Park sensörü ses çıkarmıyor sizce neden olabilir                ,6 gün
Cok yaklaşınca ses çıkarıyor. Ekranda uyarı gösteriyor belli bir noktaya kadar.                ,6 gün
Size açık bir şekilde şunu diyebilirim. Nasıl baglandigimi bilmiyorum. Hemen hemen hergun aracı telefona bağlamaya çalıştım. Kablo aldim. Onla denedim vs yine olmadı. Artik vazgeçme noktasına da gelmiştim. Sonra bluetooth bağlantımı sildim. Android oto ile bağlantımı kestim ve bluetooth ile tekrar eşleşme yaptım. Arada telefonun İnterneti kapalıyken  de denedim. Bluetooth ile İnternet bağlantısını da paylaştım. Hepsinde ayrı ayrı denedim ve bi tanesinde bağlandı. Hangisi olduğunu bilmiyorum. Mesela kablo da bağlıydı. Karma karışık şekilde bağlandı. Tahminim şu sekilde: Bizde android auto sizde carplay otomatik bağlantısını kesip otomatik bağlantının önüne geçmek gerekiyor. Sonra bluetooth  u silip tekrar eşleştirme yapmak.. ve bluetooth  ile bağlantı sağlamak gerekiyor. Mesela bugün tekrar denedim çalışmadı 😀 zamanım yoktu uğraşamadim.                ,6 gün
"Hasan Bey ben de denemelere devam edeceğim her fırsatta, eğer pratikte yaptığınız kesin bağlantı durumunu tespit ederseniz bizleri de bilgilendirin sizlerden ricam.Sevgiler, selamlar...Böyle zor olmamalı ",6 gün
"Bunun nedeni yazılım sınırlaması olabilir mi feel bold ve bende de olmuyor. Belki üst paketlerde vardır.    Ama Peugeot 308 de her arabadan indiğimde otomatik geliyordu bu bilgi. Şu an ekran güncellemesine de baktığımda yok diyor, ama grupta geldiğini yazanlar var.                ",6 gün
"Yazılım sınırlaması olabilir.İos güvenlik de sebep olabilir buna, belki güvenlik sebebiyle almıyordur anlayamadım.Denemelere devam edeceğim.                ",6 gün
Bende Shine Bold C4X var...Bende panaromik cam tavanı açıyor ancak camları açmıyor.Camlar ve tavan açıksa ikisini de kumandadan kapatıyor.Cam tavan açılabildiği için zannedersem camları açmıyordur diye düşünüyorum.Bu arada süre olarak gecikme Hasan Bey'in dediği gibi fazla VW Polo vardı 3 sene önce çok hızlı açıp kapatıyordu camları.                ,6 gün
Ne kadar yaklaşsam da hiç ses çıkarmıyor bir kaç gündür. Anlayamadım sebebini                ,6 gün
3 saniye bekliyoruz devreye girmesi icin bir de camlar kapanana kadar elimiz basılı kalmak zorunda.. Elimizi çekince açık bırakıyor. Cam tavanin acilabilmesi ve kapanabilmesi kaynaklı dediğiniz gibi.                ,6 gün
Haber vereceğim. Çok gıcık  bi durum bakalim denemeye devam :)                ,6 gün
Arka park sensörü. Peki dediğiniz gibi telefon bağlantısını iptal edip deneyeceğim.                ,6 gün
arkadaşım ben açıklık getireyim. araçta wifi çaşılışıyor otamatik bağlanıyor araca telefon bununla carplay ve auto yu kablosuz kullandırıyor. ama bağlandığı wifi noktasından internet almıyor araç. bağlantılarda wifi açılsa oradan bağlantı gerçekleşse telefondaki interneti de araç alacak ve harita yazılım v.s güncellemelerini yapacak. servis bunun için yazılım çıkacağını söylüyor şimdilik bekleyin diyor                ,5 gün
2022 c4 ler içinde yazılım çıkarmı onlarda kablosuz Android auto yok                ,5 gün
C4x icin 18 jant + lastik alan oldumu yardimci olabilecek varmi  Ölçüleri    -215/55R18 95H	7Jx18 ET30 boyle gözüküyor ama jant olayini anlayamadim                ,5 gün
review,date
"Servise götüreceksiniz, arıza kodu verdiyse sorun belli olacaktır.                ",geçen hafta
"Ben dikkat etmedim C4X'te var mı diye ama VW'lerde Mercedeslerde vs var, sinyali hangi tarafta bırakırsanız o tarafın park lambaları yanıyor.                ",geçen hafta
Bugün ben de wi-fi bağlantısını denedim. Tuşa basınca önce açılıyor sonra tekrardan kapalı moda geri dönüyor.Kullanma kılavuzu 259. sayfada aşağıda yazan duruma da dikkat edip telefon Mirror Screen bağlantısını da kaldırıp denedim ama olmadı.Yarın USB bağlantısı ile(type-c tarafı) tekrardan deneyeceğim.< Resime gitmek için tıklayın > ,geçen hafta
Bende vidanın bir tesi düştü servise gidicem                ,geçen hafta
"Yarın deneyeceğim, sinyali sağa verip arabayı kapatacağım sonrasında aynı şey olursa sıkıntı yok o zaman. Yorumunuz için çok teşekkür ederim.                ",geçen hafta
Wifi bağlanmıyor. Ne yaptıysam da baglayamadım.my citroen Programa da baglayamadım arabayı. Güncelleme felan da olmuyor. Citroen in 5 para etmez sistemi..                ,geçen hafta
Araca gelen güncellemeleri ücretsiz yaptırıyorsunuz servise.                ,geçen hafta
Hem Kayseri hem de Mersin servislerini aradım ikisi de şase numaramı istediler ve kendileri tarafinda bir güncelleme görünmediğini dolayısıyla güncellemeyi bizim yapmamız gerektiğini söylediler.                ,geçen hafta
geleen güncellemenin sürümü ne                ,geçen hafta
Bugüne kadar yaptığım güncellemeler ile arayüzde hiçbir değişiklik olmadı. Arka planda birşey değiştiriyorlar mı bilemiyorum ama UI'da ufak tefek değişiklikler olsa en azından güncelleme yapmak için bir hevesimiz olurdu. Bana gelen update'in adı 44.06.44.22_NAC-r0 yabancı forumlara baktığımda güncellemeyi yaptıklarını fakat gözle görünür hiçbir değişikliğin olmadığını yazmışlar. Acele etmiyorum o yüzden ben artık güncelleme geldi diye.                ,geçen hafta
Psacode ekibi ile görüşün bir çok özelliği aktif hale getiriyorlar. Hiç bir servis sizin bu talebinizi gerçekleştirmez zaten tüm markalar için konuşuyorum.                ,geçen hafta
Shine bold aracimda kumandadan cam kapatmada çok bekletiyor. Peugeot 308 aracimda bile camlar ve kapılar kendiliğinden kapaniyordu. Ya da anahtara 1 sn basılı tutunca kapaniyordu. Bunda 3 saniye tutuyorum bazen kapatmıyor. Kodlamacilara yaptırmak lazım. Kumandadan cam Açma yok mesela.                ,geçen hafta
"Teşekkürler. Olmamasının imkansız olduğunu düşünüyorum çünkü fiziki olarak araçta herşey var, yazılım olarak tetikleyecek sadece camları                ",geçen hafta
Ford ve WV de 3 saniye basılı tutunca kapatıyor                ,geçen hafta
"Bende shine var, kumandadan kapanıyor ama açılmıyor böyle yarım koymuşlar özelliği                ",geçen hafta
review,date
yetkili servis çok çıkarır. özel servislerde bakım yaptırırım ama ne kadar derler hiç bilmiyorum. bu arada cam tavan tabiiki çok iyi olrudu özellikle sunroof kullanan birisi olarak ama fiyatfarkı var malesef kısmet belki denk gelir                ,geçen hafta
"Lpgli bir araç ne yakar bilmiyorum, izmir ortalaması şehir içi 6.9 Lt Ankarada bu ortalamalar da olacaktır. Konfor olarak artısı olacaktır citroenin size.    Özel bakım dediğiniz yetkili olmayan yerlerde bakım her yerde ucuz zaten. Sıfır araç alıp garantiyi bozup sokabilirsiniz aynı fiyatlara. Servis ücretleri 3500 civarında olacaktır. Ortalama bakım km 15 bin km 1 sene şeklinde.    Şu an kampanyalar mevcut liste fiyatının altında tüm araçlar sıkı pazarlık ile shine bold bulup almanız daha iyi. V2 olarak geçen aracı arayın v1 olanı Acc özelliği yok.                ",geçen hafta
"Merhabalar,C4  Shine Bold liste fiyatı ( 1.479.700-TL), şu anda bu fiyattan konuşuyor bayi. Ancak eklenen aksesuar ve yapılan uygulamalara göre üzerine çıkabilir bir miktar. Ereğli Bayisi bu konuda çok aç gözlü değildi açıkçası. Ben zaten dışarıda yaptıracağım uygulamaları/aksesuarları onlar yaptığı için razıydım.Belki şu anda fark vs dahi istenmiyordur.Benim aracım 3 zam aldı ve çok gecikti.(10 Temmuz'da kapora ödemiştim)Açıkçası Stellantis, Citroen Türkiye ve Fransa merkezlerinde ulaşabildiğim her yöneticiye ve her yere yazdım, Citroen ertesi gün aracımı gönderildi bayiye. Cimer'e de başvurdum.Öğrendiğim kadarıyla araç sevkiyatı çok fazlaymış Fransa'dan, ilk gelen ilk çıkmıyor sevkiyata, eski araçlar arkada kaldığı için gecikmeler çok fazla oluyor. Sizin aracınızdan sonra gelen araçlar teslim edilebiliyor yani.                ",geçen hafta
V2 gelmiyorsa almak mantıklı değil 2024 Ab normlarına göre çoğu standart olacak güvenlik önlemleri için ekstra paralar vermek mantıklı olmuyor. Şahsi görüşüm. Birde para verip normalde olan donanımları alamıyor olmak daha kötü.                ,geçen hafta
Evet zaten aracın özelliklerini kismasalardi  şuan bizde bircok yönüyle memnun olabilirdik.Az önce uyandigimda rüyamda c4x satip 408'e geçmişim 😀 O derece takmışım konuya  yani                ,geçen hafta
408 için de Gt olmalı gerçi onda da baya indirimler başladı. En mantıklısı şu sıra C5A ondan sonra grandland donanım ve rakam anlamında.                ,geçen hafta
"Hocam selam, Muhtemelen görünüyordur, çözüm olarak kelebek somun yerine perçin kullanılıyormuş tamir esnasında... O sebepten isterseniz kelebek somunları bir kontrol edebilirsiniz yada aracı servise götürüp kontrol ettirebilirsiniz.                ",geçen hafta
"Versiyon 1 ve versiyon 2 olanları var C4X’lerin. Acc adaptive cruise control açılımı, aracı almadıysanız iyice araştırıp almanızı öneririm test sürüşlerinde.   V1 de acc ve şerit ortalama yok.                ",geçen hafta
"Ben de aracın ödemesini yaptıktan sonra burdan öğrendim  v1 versiyon ve Acc nin olmadığını. Ama önemsemiyorum , çünkü belli başlı otobanlarda kullanabileceğiniz , şehir içinde ise pek işinize yaramayacak bir ozellik. Sıkça uzun yol yapanlara bir şey diyemem. Aracı 1 haftadır kullanıyorum ve özellikle konforunu oldukça sevdim. Bakalım ilerleyen zamanlarda ne olacak.                ",geçen hafta
Bence yaniliyorsunuz. Ocak ayindan beri c4x kullaniyorum ve sehiricinde bile acc yi kullaniyorum. ozellikle sikisik trafikte dur-kalk cok konforlu oluyor.                ,geçen hafta
Ocak ayinda teslim aldigimda c4x aracda koltuk isitma cikmadi. Mahkemeye verdim. Eksik donanim arac teslim alanlar nicin mahkemeye vermiyorsunuz. Hakkinizi arayin                ,geçen hafta
Daha önce acc kullanmadınız sanırım yorumunuzdan çıkarımım. Acc sadece otoban sürüşlerde konforu arttırmaz sıkışık şehir içi trafiğinde arkanıza yaslanın ve direksiyonu tutun sadece. Çünkü acc ile birlikte şerit asistanı da birlikte çalışarak size başlangıç otonom sürüşü sunar.    Büyük şehirlerde yoğun iş giriş çıkış trafiğinde bulunmaz nimettir.                ,geçen hafta
Dediğiniz gibi biraz alışkanlık meselesi olabilir. Ben aracın kendi kontrolumde olmasına alışığım sanirim o yüzden dert etmedim.                ,geçen hafta
"Herkese merhaba,Citroen genel müdürlüğüne durumu bildirdim, bir gün sonra parçaların garanti'den değişeceğine dair onay verildiğini ve servise bilgi yollandığını belirtiler. Servisi aradım, onay geldiğini teyit ettiler. Pazartesi gününe servisten randevu alabildim, serviste garantiden değişimini yaptıktan sonra buraya bilgi geçerim. Hala serviste sorun çıkarabileceklerini düşünüyorum.                ",geçen hafta
Çok teşekkür ederim. Start & Stop'a alışmaya başladım ancak otomatik şeritte tutma özelliğini direkt kapatıyorum. Virajlı yollarda kaza yaptırabilme potansiyeli var gibime geldi.                ,geçen hafta
"Garantinin karşılamasına sevindim, mümkünse yaptırdıktan sonra perçinli halinin fotoğrafını paylaşabilirseniz diğer kullanıcılar için de örnek teşkil eder.                ",geçen hafta
review,date
"6 ay olmadan bayi sizden normal koşullarda alamaz, dışarıya satmanız gerekir. Sıfır C5A ortalama 1650/1680 bandına alanlar mevcut.                ",geçen hafta
herhangi bir bayiye de mi satamıyoruzkanunu bilmiyorum kusura bakmayın                ,geçen hafta
"
< Resime gitmek için tıklayın >En alt kisimda                ",geçen hafta
