review,date
Araçta kablosuz android auto özelliği yok 2022de var 2023de yok micom test ile wifi ve AA wifi on yapıyorum yine açılmıyor off konumuna geri dönüyor micom test bölümünde wifi teste giriyorum 5g ve 2.4g test yapılıyor Müşter temsilcisini aradım çip krizi 2023 lerde bu özellik yok diyorSürümü mn4 9.0.9.8 den 9.0.9.9 a yükselttim yine aynı Çözümü bilen var mı Yıl olmuş 2023 kablosuz android auto yok şaka gibi                ,6 ay
"Merhaba,   Benim 2023 Duster da aynı şekilde. Global forumlarda da teyit ettim. 2022 de olan kablosuz android auto wifi chip kullanılmadığından 2023 de yok. Micom vs de fayda etmiyor. Yapacak bir şey yok, USB ile devam edeceğiz.                ",3 ay
Merhaba hocam bende 2 gün önce 1.3 Extreme paket Duster aldım. Multimedia ekranı İngilizce ayarlardan Türkçeyi bulup seçiyorum OK dediğim zaman lütfen bekleyin diyor ve öylece kalıyor sizde de benzer problemler oldu mu. Geri Vitese taktığım zaman geri vites kamerası her zaman açılmıyor.  ,3 ay
"Geri vites kamerası her defasında açılması gerek, normal bir durum değil. Bence servise bir sorun.                ",3 ay
İlçedeyim henüz merkeze gidip baktıramadım ama servise söyledim ilk fırsatta gidip baktırıcam. 10 sefer geri vitese takarsanız birinde kamera açılıyor diğerlerinde hiç bir tepki yok.Sürüm değişikliği hiç yapmadım onu nereden yapıyorsunuz.                ,3 ay
Çok ilginç bir şekilde daha önce de denemiştim olmamıştı ama bugün Wi-Fi ile tekrar bağlanmayı denedim ve kablosuz Android Auto ve Carplayi çalıştırdım çip olmamasına rağmen nasıl çalıştı hiçbir fikrim yok gerçekten ama çok sevindim beni kablo derdinden kurtardı :)                ,6 gün
review,date
dodikler su almış. alttan matkapla deldim.kapıların en ucunda da su tahliye yeri varmış gördüm.                ,9 ay
selamlar kol dayama tavsiye edecek var mı esseantial pket için                ,8 ay
Elektronik arıza işaretiElektronik arıza işareti sarı renkte yanarsa aracı sürmeye devam edebilirsiniz ancak araçta bir sorun olduğunu bilmelisiniz. Bu işaret yanarken başka bir ikaz işareti daha yanacaktır. Sorunun ne olduğunu o işarete bakarak tespit edebilirsiniz.Kaynak: https://arizaisaretleri.com/dacia-duster-gosterge-panelindeki-ikaz-isiklari-anlamlari// ,6 ay
Ge&#231;meli ise OMSA markayı &#246;neririm.omsaline.com a bir bakınız.                ,6 ay
Zikzak lambası ve esp lambası yanıyor herkes farklı bir şey söylüyor sebebi nedir acaba reno servisine mi götürmeliyim yoksa ustaya mı                ,geçen ay
Teşekkür ederim sanırım yetkili servise gitmek iyi olucak sanayiden çıkamaz bu araba yoksa                ,geçen ay
review,date
1.3 2021 4x2 otomatik : 9LT-10LT şehir içi.                ,9 ay
review,date
Henüz yapılmamış bir bakım için kimseyi şikayet etmeye gerek yok. Ayrıca servislerin fiyat politikası ve müşteriye bakış açısı zamanla değişebilmekte. Bu sefer pahalı teklif sunan servis bir sonraki bakımda daha cazip teklif sunabilir. Tüm servisleri cepte tutmakta fayda var.                ,2 hafta
"Dacia'da periyodik bakım 5000 TL olabilir, fiyat normal. Ben geçen ay Duster'ın 200000km ağır bakımını 12800 TL gibi bir fiyata yaptırdım.                ",2 hafta
fiyata bak ya....                ,2 hafta
review,date
