review,date
Evet öyle kumandadan 4 cam açıp kapatmada yok.                ,2 hafta
Ford focus ta eskiden yazılım ile ekleniyordu. Kapı açma düğmesine basılı tutunca açıyordu 4 camı                ,2 hafta
Arkadaşlar öncelikle cevaplarınız için çok teşekkür ederim    Aracıma LPG taktırmak istiyorum ama servis 23.000 tl para istedi bana sanki çok gibi geldi    Şu an aracım 7.3 ortalama gösteriyor   LPG de 10 litre yakar mı   23.000 tl yi çıkarmak için baya km yapmak lazım   Yılds 12-15 bin km yapıyorum.    Siz ne dersiniz değer mi arkadaşlar.   Selamlar.                ,2 hafta
"Bende merak ediyorum. Yıllık 15 bin km yapıyorum. LPG ye yüklü zam gelebilir mi, sonuçta değer mi acaba                ",2 hafta
"Araç ile ilgili bir değişik şey daha buldum. belki bana değişik geldi bilmiyorum. Aracın farları otomatik yandıktan sonra bir daha sönmüyor :)) yani gündüz bir alt geçide girdiniz sonra farlarınız yandı, sonra da alt geçitten çıktınız farlar öyle kalıyor, far kolundan müdahale de işe yaramıyor.  bunun ne gibi bir eksisi olabilir derseniz; multimedya ekran gece moduna geçiyor ve ekranda bir şey görünmüyor :))                ",geçen hafta
"LPG'de 8.5-9 Litre yakar. Km'de 1.1 Tl'ye yakın fark oluşturuyor, 2 senede amorti eder kendini. Tabi üstüne muayene ücreti, LPG bakımı filan eklenecek onları da katarsak 2.5-3 senede amorti oluyor. Uzun vade binecekseniz taktırın ama satarım diyosanız benzine devam. Perşembe günü 2 TL indirim geliyor galiba zaten benzine.                ",geçen hafta
Teşekkür ederim cevabınız için.                ,geçen hafta
Egea Cross'lara zam gelmiş. En ucuz model 825 ile 835 bin olmuş . Renk farkı da 5000 bin olmuş. Başka bir masraf var mı bilmiyorum ama genel olarak artmış.                ,2 gün
Arkadaşlar selam  Egea cross 1.4 urban paket var.  17 jant yazlık 215 55 17 lastik var.   Ben kışlık için 16 inç teneke jant alıp ona lastik almak istiyorum.  Bugün lastikçi 215 60 16 alman lazım dedim bu cross diye. Dogrumudur. Ara ölçü sanırım bu.                ,dün
"Evet, 16 inç street lerin orijinal lastik ölçüsü 215 60 R16.                ",dün
Teşekkür ederim                ,dün
"Hocam bilgiler için teşekkür ederim,1-	Kablosuz CarPlay özelliği için cihazı almak saçma geldi bana, ben konsolda kablo olmaması için kablosuz kullanmak istiyorum zaten. Belki USB'nin oradan torpido içerisine kablo çekilerek gönderdiğiniz kutuları torpido içerisinde gizli tutarak işlevsel hale getirieblir. Bu sayede kablo gizlenmiş olur ama garanti durumundan emin değilim.2-	Modül olayı güzelmiş, takılıp çıkarılabilen birşey gibi algılıyorum bu sayede araca herhangi müdahelede olmayacak demektir.3-	Bu konu üzdü maalesef, çünkü bazen yola çıkmadan 2 gün önce depoyu doldurmuş ve TripA'yı sıfırlamış oluyorum. yola çıkmadan tekrar Trip A'yı sıfırladığımda görmek istediğim veriyi bozmuş olacağım zaten.Tekrar teşekkür ederim.                ",7 sa.
review,date
Ben memnunum hocam. Bana bagajı büyük araba lazımdı. O yüzden Cross Wagon tercih ettim. Bence tipi de güzel. Megane da çok iyi araba. Hele de icon sa çok iyi donanım. Egea sedan mı Megane sedan mı derseniz Megane tabiki. Ama ihtiyacınız zevkinize göre Cross veya Cross Wagon kasayı tercih edebilirsiniz. Bir de şunu bilin ki Egea sedan kasa ve diğer kasalar arasında gerçekten fark var. Cross Wagon genelde Avrupa için üretildiğinden bunu ikisini de kullanınca anlıyorsunuz                ,4 hafta
Aynen katılıyorum bu dediğinize cross ve cross wagon yurtdışı ihraç ağırlıklı araç olduğu için kalite farkı var.                ,4 hafta
"Teşekkür ederim. Şirket aracı olarak egea cross kullanıyorum. 2023 logue + güvenlik paketi, 1.6 dizel otomatik. Öncesi 2018 Megan touch otomatik dizel kullandım. Megan bana daha  rahat geldi. İkisi arasında tercih yapacağım.                ",4 hafta
Dizel olacak bluehdi. Touch kullanırken ort 5.5 lt idi. Benzin 7 lt olur tahminim.                ,4 hafta
"Şimdiden hayırlı olsun hocam, bence BlueDci ekonomi olarak daha mantıklı bir motor.                ",4 hafta
Teşekkür ederim. Şu an için düşünüyorum. Kısmet 👍                ,4 hafta
