review,date
"Ben de iki model arasında kalarak Honda HRV tercih ettim. Honda'nın Cross a göre artıları,Toyotacılar alınmasın ama Honda araç insana bir tık daha üst segment araç kullanıyor hissi veriyor. Kullanılan malzemeler ve gösterge panellerinin şıklığı çok güzel.Arka koltuk diz mesafesi Honda'da daha geniş bu aynı zamanda ferahlık hissi de veriyor.Hybrit teknolojisi tam olarak aynı mı bilmiyorum ama 1.5 motorun vergi avantajı var. Ayrıca Cross da nasıl bilmiyorum ancak batarya full doluysa gaz pedalına basma şiddetiniz düşükse yüksek hızlarda dahi elektrikli sürebiliyorsunuz.Yerden yükseklik noktasında Honda biraz daha yüksekNegatif yönleri iseCam Tavan veya sunroof olmaması,bagaj hacminin daha az olması ",geçen ay
Hayır bu eski kasalarda oluyor.                ,4 hafta
bir çözüm yok  şimdilik dimi.. uygulama ekleme veya iphone uzerınden  youtube felan için                ,4 hafta
Merhaba bakımı yeni yaptırdım. 5020 tl tuttu. İçinde ön düzen ayarı yok onu dışarda yaptırdım.                ,2 hafta
"İsteğe bağlı lastikler ve balans ayarları ile ilgili bir müdahale, ben genelde dışarda yaptırıyorum.                ",2 hafta
"Anladım Tşkkrler,                ",2 hafta
"Arkadaşlar,10k bakımını  ne zaman yaptırmak gerek,  aracı kasımda almıştım. şimdilerde yeni fark ettim 10400 olmuş.. ama  şehir dışındayım. ne zamana yada kadara kadar tolerans var.. bakıım için tşkrler                ",dün
"Ben bu hafta 10800de gittim, problem yok, 6000 tl tuttu yetkili serviste.                ",dün
review,date
Ses Yalıtımı yapacaksanız kesinlikle SubiGarage tavsiye ederim. ( instagram dan kontrol edebilirsiniz firmayı )Google yorumlardaki HRV'yi full ses yalıtımı yaptıran kişiyim.Tavsiye ederim.Bayi'ye ASLA Yaptırmayın.                ,4 ay
"Merhaba,50.000TL yaptırdım. ( Piyasaya göre farklı olabilir )Malzeme ve işçilik çok iyi.Araç içini komple sokup zemin, tavan ve kapılarının hepsine yaptırdım.                ",4 ay
Selamlar Ankarada olsaniz cidden 50k nin farkini hissetmek isterdim. Zaten cok sesiz calisan bir arac bu uygulama ile nasil oluyor cidden hissetmek isterdim.                ,4 ay
"Güle güle kullanın, çok ciddi bir paraymış                ",4 ay
"Merhaba ,İstanbul'da oturuyorum. Burda olsanız tabiki bakardık. Çok Keyifli bir araç oldu.                ",4 ay
Bunun için start stop tuşuna iki kere basmak gerekiyor sanırım. Kullanım kılavuzunda vardı. Bu sesler park halinde bende de ilk aldığımdan beri geliyor. Sanki el frenini çekmeye unutmuşum gibi. Acaba bir sistemden dolayı mı yapıyor bilmiyorum. Özellikle elektrik modu devredeyse duyuluyor.                ,3 ay
"Video işini apple’da jailbreak ile çözebilirsiniz ancak zor iş, her telefona olmuyor vb.                ",3 ay
"Merhabalar,Araça tekrar bir zam daha gelmiş dün....                ",3 ay
"Merhaba, çalıştı ama artık çok geçti, daha erken tepki vermesini beklerdim. Ekranda da etkinleştirildi diye bildirim geldi esasen.                ",3 ay
2- soruna tüm modellerinde android/iphone  kablosuz var...                ,2 ay
"selamlar ,Bende Ankaradayım...  Bursadan Inallardan aldım . Ekstra bişiy iteleme işine girmediler... sadece   sigorta ve kaskoyu kendılerınden zorladılar.. corolla crosu tip olarak çok beğenemedim..  hrv de donanım olarak en düşük pakette bile artıları cross tan fazladır sanıyorum.süspansiyon  olayının bağımsız olup olmamasının etkisini şehir içinde hissedemem sanırım.. bilgi arkadaşlar cvp verirler sanıyorum.hbirit motor olarak ikiside aynı sanıyorum...  yanlız coroola da  1.8 motor oldugu ıcın daha fazla vergi vs verirsiniz.. bunuda hesaba katınız                ",geçen ay
review,date
"Yapıldı, o civarda bişey ödedim.                ",5 ay
