review,date
"
Popüler Ioniq serisiyle Hyundai, Tesla'nın Kuzey Amerika Şarj Standardını (NACS) kullanmak üzere imza atan büyük otomobil üreticileri listesine şimdiye kadar kaydolmamıştı. Şimdi ise Koreli otomobil üreticisi, 2024 yılının 4. çeyreğinden itibaren ABD'de, 2025'in ilk yarısında da Kanada'da olmak üzere Kuzey Amerika'da NACS'yi benimsemek için Tesla ile bir anlaşmaya varıldığı duyurdu.Hyundai de Tesla dediHyundai'nin NACS bağlantı noktasına sahip elektrikli araçları, Kuzey Amerika genelinde 12.000'den fazla Supercharger'a erişim sağlayarak müşterilere sunulan DC hızlı şarj istasyonlarının sayısını iki katına çıkarmış olacak. Ioniq 5, Ioniq 6 ve yakında çıkacak olan Ioniq 7 de dahil olmak üzere NAC'lerle donatılmış gelecek Hyundai elektrikli araçları, 2024'ün sonlarında şarj cihazlarına erişim kazanacak. Şirket, yeni ve eski CCS şarj cihazı donanımlı araçların bir adaptör aracılığıyla 2025'in ilk çeyreğinde bunları kullanabileceğini söyledi.Tesla'nın ağına erişimin yanı sıra Hyundai, en az 30.000 şarj istasyonuna sahip bir Kuzey Amerika ağı kurmak için BMW, GM, Honda, Hyundai ve Mercedes ile işbirliği yapıyor. ABD'deki ilk istasyonların 2024 yazında açılması, Kanada'daki şarj istasyonlarının ise daha sonraki bir tarihte açılması planlanıyor.Ayrıca Bkz.2024 Skoda Kodiaq tanıtıldı: Yeni teknolojiler ve şarj edilebilir hibrit sistemHızlı şarj istasyonlarının eksikliği elektrikli araçların benimsenmesi önünde büyük bir engel teşkil ettiğinden, çoğu otomobil üreticisi Tesla'ya en azından geçici bir çözüm olarak başvurmak zorunda kaldı. Şimdiye kadar Tesla'nın Supercharger ağını kullanmak için kaydolan büyük otomobil üreticileri arasında Hyundai, Fisker, Ford, GM, Honda, Jaguar, Mercedes-Benz, Nissan, Polestar, Rivian ve Volvo bulunuyor. Halen görüşme halinde olanlar arasında Stellantis ve Volkswagen'in de bulunduğu bildiriliyor.Kaynak:https://www.engadget.com/hyundai-evs-will-support-teslas-nacs-charging-starting-in-q4-2024-120517284.html ",dün
Olması gerek buydu baştan beri Avrupa da keşke bu standart benimsense CCS in kaba ve hantallığından kurtulsak ama o tarafta geçti iş                ,23 sa.
Gelecek Tesla'da bunu otomobil markaları da çok iyi bildiğinden dolayı Tesla'nın şarjlarını kullanmaya geçiyorlar normal bir durum. Şaşıracak bir şey yok                ,12 sa.
Markaların ortak hareket etmeleri güzel ama bir firmanın teknolojisine bağımlı olmak ileride sıkıntı olabilir. Bu yüzden bir konsorsiyum çatısı altında birleşip bu işin standartları için çalışsalar daha iyi olur diye düşünüyorum.                ,8 sa.
Tabiki geçecek Amerika’da satması için bunu yapması gerekliydi                ,6 sa.
review,date
Reklamın kötüsü olmaz demişlerdir.                ,dün
"Allah razı olsun ,bari mertçe doğru söylemış,insanların hayalleriyle oynayıp reklem vs.peşinde koşanlar inşaallah ,umduklarını bulamazlar.                ",dün
"Tabi Çin'in önü tıkalı,Yerli cepheside şimdilik ağır aksak,adamlar meydanı boş buldu.Olan da millete oldu.İnşaallah Çin neyapar ne eder,Avrupa veya Türkiye de üretim yapar,Çarşı bi karışir.                ",dün
"yıllardır mazda 3 kullanıyorum, hiç o bahsettiğiniz rakamları ödemiyorum.  verdiğiniz rakamlar, yaptığınız karşılaştırmalar gerçekçi değil.   İngiltere'de adam iş günlerinde Edinburgh - Londra arasında geziye gidemez, cunku çalışıyor. Aynısı İstanbul için de geçerli. Cuma akşamı İstanbul akın akın Anadoluya gezmeye, ailesine, memleketine gider, pazar gecesi pzts sabahı döner. Bataryalı araçla gidiyorsa, o Cuma günü o akşam saatinde şarj ihtiyacı olacaktır.    Elektrik fiyatı işin en önemsiz kısmı. kWh'ı 2TL veya 20TL olsun, ödenir ancak şarj başında 1 saat beklenmez heleki kuyrukta başkasının 1 saatleri kesinlikle beklenmez. Bu sorunu benim dışımda birçok başka kişi dile getiriyor.   İstanbul'da bu yaz Yunan, Bulgar ve Romanya plakalı bataryalı birkaç Tesla gördüm fakat Almanya plakalı görmedim. Almanya plakalı gördüklerim sadece benzinli Porsche, Audi, Mercedes vs'ydi.                ",dün
