review,date
"Merhaba, aldıysanız yorumlarınıza çok memnun olurum. Bütçemin üzerinde ama oralara çıkmadan güzel bir araç alamayacağım gibi. Ciddi ciddi düşünmeye başladım. Şimdiden teşekkürler.                ",8 ay
"Merhaba. Almadık, içi çok kalitesiz malesef bu paketin.                ",8 ay
"Merhaba,Antalya Birmot Jeep-Alfa Romeo- Maserati bayisinden ben Ali Kaya...Temsilcisi olduğum markalarla ilgili teknik bilgi ve satış konusunda size destek olmak isterim...Bu ayın kampanyalı araçlarını aşağıya ekliyorum...Telefon Numaram:0539 527 84 00Jeep Renegade 1.5 130HP Limited Edition benzin+elektrikli aracımıın kampanyalı fiyatı:1.600.000 TL< Resime gitmek için tıklayın > ",2 hafta
review,date
"WLTP değerlerinde oynamak üreticiler için sıkıntı bildiğim kadarıyla.  Eskidendi, koy lifte, sabitle 90'a , yaz tüketim değerini. Karşılaştırdığınız c4 ile arada 200 kg fark var, dolayısıyla buradan bir fark olacaktır.  4-5 KW da pil farkı olsa, 400 km gitmesi imkansız gelmedi bana. 100 km'de 13 kw harcasa yaklaşık 400 km yapar zaten, Kona 10-11 ile gezebiliyor şehir içinde.                ",4 ay
Ekim ayı içinde gelme ihtimali varmış. ST öyle söyledi. Ama başka hiçbir bilgi yok.                ,3 hafta
Hiç gelmesin 400 km menzil çok ama çok az . Ancak şehir içi kullanım için 2. araç olabilir.                ,3 hafta
"Almanyada 27bin euro, %10 ötv ile gelecek. Eğer şişirmezlerse fiyatı 1 milyon tl civarı olacak, benim radarımda                ",3 hafta
Bu aracın 1 milyon TL ye satılacağına gerçekten inanıyor musunuz hocam . Benim hiç umudum yok .                ,3 hafta
"Size uymayabilir, benim için 400 km menzil çok iyi. Şehirler arasında da 300 km yeter.                ",3 hafta
400 km menzil düşük kalıyor ve hocam. Artık 1000 km menziller falan konuşuluyor. Ama arkadaşın dedigi gibi fiyatı 1 milyon olursa  çok satar                ,3 hafta
Bu sarı sitede ki fiyatı umarım gerçek değildir. Araç gerçekten bu fiyatlara piyasaya girerse ölü doğar bence.                ,3 hafta
Benzinlisine bakmışım ben evet. 37bin euroluk versiyon yaklaşık 1.2 milyona denk geliyor                ,3 hafta
"Yok hocam kim alır o fiyatlara, zaten küçük bir araç, Renegade'den bile küçük ve kısa yanlış hatırlamıyorsam.                ",3 hafta
