review,date
Aşırı sağlam bir araba. Yaklaşık 22 yıldır kullanıyorum. Hiç yolda bırakmadı. Taş gibi cidden. Çok da yakmaz. LPG'li kullanmaktayım.                ,geçen hafta
review,date
Bende bugün 323 1993 model 1.6 GLX paket aldım araç trafiğe çıkış tarihi 2002 de gayet temiz sorunsuz gibi gözüküyor. İnşallah sorun çıkartmaz ümidi ile aldım ancak bundan sonraki tüm alışlarım gücüm oldukça japon arabası olacak parçası vs umrumda bile değil. Aracın sadeliği ve güzelliği beni çok etkiledi. caner bey size gelecek olursak benim aracında km 308 binde ama japon arabalarında bakımlı ise km bakmayacaksın hocam 1 milyona kadar gideri var. İyi günler                ,2 hafta
review,date
Sıfır Mx-5 bayilerde mevcut. Mazda.com.tr sitesinde fiyat listesi diye aratırsanız güncel liste de orada yer almakta.                ,8 ay
"Baktım. 7 Aralık fiyatları var. Ama fikir verir. MX-5'lerde AT yazan yok, sanırım manuel hepsi, ve hepsi 1.5. Zatan AT sadece 2.0 motordaydı yanılmıyorsam. Teşekkürler.                ",8 ay
"Bayilerde araç yok, en erken mart sonu diyorlar                ",8 ay
Satmıştım.   Güzel düşük km bir 100.yıl paket görünce dayanamadım yine aldım.                ,7 ay
"Bunların hepsi aynı, ha bayi, ha spotçu-galerici, aynı b.kun laciverti…  Bayilerden 0 araç almam o farkı vererek, bari spotçu yesin ekmeğini. Bayi sizden 300 fark isterken spotçudan 100 istiyor, her halükarda o farkı vereceksem ( ki gene de fark vermek mantıklı) bayi yerine spotçuya veririm… Ben almadım, karar değiştirdim, arabamı ilana koydum (cls350d), satılırsa 5.20i 50.yıl alacağım…                ",4 ay
teşekkür ediyorum hocam. Muhtemelen bende değiştireceğim kararımı. Hayırlısı olsun sizin adınıza.                ,4 ay
"
< Resime gitmek için tıklayın >   Mx5 imi satalı 1 hafta oluyor. 2022 cx5 aldım. Mx5 i her ölümlü tatmalı.. Çok zevkli makine cidden.. O kadar araç aldım sattım. Kullandığım en uzun süreli araç mx5 oldu. 2,5 sene kullandım.                ",4 ay
Merhaba. Evet bulunuyor hocam.                ,3 ay
şu anda iyisi malum sitede minimum 1.5 milyon.daha önce arabası olup satarak hazır fon elde edecekler dışında hayalini kurmak imkansız oldu.allah belasını versin bu ülkenin. gençliğimiz yitip gitti be.......                ,2 ay
review,date
"
Mazda CEO'su Masahiro Moro, şirketin elektrikli araçlarının (EV) üretimini 2028 yılından itibaren Kuzey Amerika'da gerçekleştirmeyi düşündüğünü söyledi.Ayrıca Bkz.Skoda, güncellenen Kamiq ve Scala modellerini duyurduBununla birlikte Mazda, gelecekteki EV tesisinin yeri olarak ABD yerine Meksika'yı tercih etmeye daha istekli. Şirket daha önce, 2030 yılına kadar elektrikli araç üretimi için 10,6 milyar dolarlık bir iş planı sunmuştu. 2028 yılı Mazda'nın önceki CEO'su Akira Marumoto'nun öngördüğünden biraz daha geç. Marumoto elektrikli araç üretiminin en geç 2027 yılında başlayacağını tahmin ediyordu.Tamamen elektrikli Mazda modelleri yoldaMazda'nın birkaç çeşit tamamen elektrikli model piyasaya sürmeyi planladığı da biliniyor. Bunlardan biri, hibrit güç aktarma organları ve içten yanmalı güç ünitelerinin kullanımını sağlayan mevcut mimari temelinde üretilecek. Bir diğer elektrikli araç ise özel bir EV platformu olacak.Mazda her iki varyantı da 2025 ile 2027 yılları arasında üretimin ikinci aşamasında sunmayı planlıyor. Şirketin şu anda satışta olan bir elektrikli aracı var: MX-30 Crossover. Mazda, elektrikli araçların 2030 yılında küresel satışların yüzde 25 ila 40'ını oluşturmasını bekliyor.Kaynak:https://www.just-auto.com/news/mazda-eyes-evs-from-mexico/ ",3 ay
