review,date
Aküsü nerde ya bulamıyorum                ,10 ay
Bir yerde okumuştum sanırım koltuğun altında                ,10 ay
Arkadaşlar benim aracımda F hatasına geçiyor ama bilgisayara bağladığımızda hata kodu olarak P1889 arızası yazıyor kulelerden midir ustalar hep şanzıman inecek diyorlar yardımcı olursanız sevinirim   < Resime gitmek için tıklayın > ,4 ay
"Öncelikler tüm Vaneo sürücülerine ve herkese selamlar. Bugün itibariyle yıllardır aklımda olan Vaneo'ya 2002 model 1.9 Ambiente gri renk ile kavuştum.Donanım olarak yılına göre gerçekten benzersiz bir araç. Gözüme ilk takılanlar olarak cam açma kapama tuşları kırıktı, japonla yapıştırılmış ama yerlerine oturmamışlar. Cam tavanın iç mekan tarafındaki lastiği atmış, aşağıya doğru sarkıyor, silecek mekanizması yağsız gibi sürtünme sesi çıkarıyor, arka koltuklardan çiftli olanı öne doğru dik konumda katladım, şimdi tekrar açamıyorum, araçta D'ye, R'ye falan alırken böyle arkadan hafif vurulmuş gibi öne atılmalar, titremeler oluyor, sürüşte bir sıkıntı yok şükür. Bakalım sırayla hepsi elden geçecek inşallah. Kullanım kılavuzunu bulamadım internette, araçtan çıktı beni bayağı sevindirdi. Herkese keyifli sürüşler.                ",geçen ay
Merhaba yeni gördüm sorun üzerinden zaman geçmiş benim aracımda bu cuma yaptı f arızasasını giderebildiniz mi çözüm nasıl oldu cumartesi günü çekici ile şanzımancı'ya gitti ama daha bakmadılar                ,3 gün
review,date
"Mercedes Türkiye Sayfasında yeni GLC listeye çıktı... 3 Ay sonra teslim seçeneği ile listeye girdi. 3.350.000₺ lik AMG paketi ile görücüye çıkıyor...Bakalım neler oalcak... Bu fiyat ile 3.900.000₺ lik X3 müşterisine gel gel yapıyorlarsa kaybedeceklerdir.Umarım böyle bir politika benimsemediler....1,5 t motorlu bu model 2 çeker ve 23hp'lik 48v'luk elektrikli motor ile destekleniyor ...Şanzıman 9G-Tronic olması avantajı bence...< Resime gitmek için tıklayın > ",geçen ay
Hiçbir sorun olmaz...Araziye zaten böyle bir aracı vurmazsınız :) Zira bu araçların 4 çekerleri bile arazide öyle başarılı değiller....                ,4 hafta
değilmiş. bayiide sordum ben de                ,2 hafta
