review,date
Clio ile rekabet etmesi zor görünüyor                ,6 gün
Önü ve arkası bambaşka tellerden çalıyor. Makyajsız hali bir bütündü bana göre                ,6 gün
Bu elektrikli araçlara Menzil tarikatının birşeyler yapması lazım..                ,6 gün
Ön farları mahvetmişler. Önceki hali çok daha iyiydi.                ,6 gün
208 ne zaman gelecek acaba.  100 kw kötü olmuş 115 kw varken.                ,6 gün
Konuyla alakasız ama dediğinizle alakalı olarak sizin cümlenizi  şu sıralar kanımca en hakeden araç 3.nesil tiguandır. Arkası tcross önü 10-15 yıl önceki soft geçişler.                ,6 gün
100kw'ın neresi kötü zaten minicik araba 10bin  km'dir corsa e kullanıyorum 136 beygir versiyonu tork olarak 1.6cdti motordan zayıf ama serilik ve kıvraklık olarak şaka makinesidir trafikte gaza çöktüğünüz an gösterge 20kmh atıyor saniyesinde daha ne olsun.                ,5 gün
Motor kötü demiyorum.115 kw 156 hp 420 km menzil varken güncel olmayan motoru koymaları kötü olmuş diyorum.Evet bu motor varken 100 kw yi koymaları kötü olmuş.                ,5 gün
Bence her türlü Clio dan iki gömlek üstün bir araç..Bagaj hariç                ,4 gün
Ben yeni Clio alpina hibrit Alacağım benim için menzil önemli ve 900 km mükemmel                ,4 gün
review,date
İndi hocam ve türkçe. Sağ olun.                ,geçen ay
Şimdi iki yere gösterdim. İkisi de taş izi dedi. Ton farkı için inip baktım ama bana garip gelen bir şey olmadı. Bakan ustalar da ton farkından bahsetmediler. Gerçi ben de sormayı unuttum. Yani hocam sıfır araç gerçekten dert.Keşke ikinci el alacak kadar zengin olsam😃Boyatır boyatır binerdim                ,4 hafta
Hocam moralini bozmak gibi olmasın ama sıfır araç 3-5 km olur benim kini hatırlamıyorum ama şehir dışına çıkınca fark etmiştim 10 km falan. Benim aldığımda poşetleri vardı ilk ben söktüm. Yüksek ihtimalle senin araç test aracı hocam fan konusunu bilemeyeceğim hiç dikkat etmedim. Car play için my Opel indirmek gerekiyor sanırım                ,2 hafta
"Aracınız hayırlı olsun, güle güle, iyi günlerde, kazasız belasız kullanmanız nasip olsun. Aracın gittiği yol için bir şey diyemem, hiç bir bilgimin olmadığı konu. Fark ettiğinizde geri dönüp bayiye sorsaydınız sizi ikna edecek cevap alıncaya kadar beklerdiniz.Bende alırken üzerinde jelatinleri vs yoktu, fakat aracı servis alanında görmüştüm. Servisteki bir eleman aracı teslime hazırlıyordu, güneşlik etrafında falan naylon parçaları kalmıştı. Belki şuradan anlaşılır, aracın kapı eşiklerinde (plastik parçalar üzerinde) şeffaf streç naylon vardı, orta ekran ve gösterge paneli üzerinde şeffaf, açık mavi koruyucu vardı. Belki oraları kontrol edebilirsiniz.Havalar sıcak, araç benzinli olunca çabuk ısınıyor. Bu sıcaklıklarda yaklaşık 3-3.5 km gittiğimde hararet orta seviyeye geliyor. Siz araçtan indikten sonra da fan çalışmaya devam ediyor (şaşırdım ama çalışmaya devam ediyor).Telefonun bluetooth'unu da açın, araçla bağlanmaya izin verin ve araç durur haldeyken bağlanmaya çalışın. Bazen bağlanamama sorunu olabiliyor. Bakabilme fırsatınız varsa, sanırım ilk sayfada kullanım kılavuzu var, nasıl yapıldığını oradan incelemenizi tavsiye ederim. Bunu yapma imkânı yoksa, bana haberdar ederseniz, kılavuzdan ilgili konuyla alakalı ekran resimleri atarım. Bunun yanında motor çalıştırma düğmesine basılı tutmazsanız (çok kısa süre basıp, çekerseniz), aracın elektrikli aygıtlarını kullanabiliyorsunuz. Telefona bağlamak işi için bu şekilde uğraşırsınız.                ",2 hafta
"Kablosuz bağlantı yok, kabloyla bağlantı sağlanıyor.                ",2 hafta
