review,date
"Agustos basi verdigim siparis bayiiye ulasti, carsamba gunu teslim alacagim.                ",4 hafta
"Selamlar, kislik lastik onerilerine acigiz, jant olarak 205 yerine 225/55 R19 uygun olur mu tecrube ve bilgi birikimine acigiz.                ",2 hafta
Paspasi bende henuz almadim ama ilgili satis temsilcisi iletecegini soylemisti. Alinca paylasirim hocam                ,geçen hafta
Aracın içine oturmadan mı sipariş verdiniz                ,geçen hafta
"SelamlarEylül sonu itibari ile tekno gri Allure paket ile aranızda yerimi almış bulunmaktayım.Almadan önce a3 sedan mı 408 mi diye ikilemde kaldım fakat yaşadığım yerin yol kondisyon şartlarında kısmen alçak bir araba ile sorun yaşama ihtimalim sebebi ile 408e yönelmiş oldum.İlk haftalık izlenim olarak Allure paketin bile yeterince dolu olduğunu düşünmekteyim, tek şu da olsa dediğimiz özellik bagaj boyutlarından dolayı otomatik bagaj oldu.Kısaca deneyimlerimi paylaşacak olursam.-Adaptif sürüş stabil çalışıyor sadece takip mesafesini biraz fazla bırakıyor gibi geldi ekstra ayarı varsa da henüz bilmiyorum, araya dorseli tır rahatlıkla girer.-Şerit takip tatlı müdahalelerde bulunuyor bazı araçlar gibi korkutucu şekilde içeri sokmuyor oldukça yumuşak şekilde düzeltiyor.-Malum allure olduğu için 360 görüş yok 180 derece var arkada kamera olduğu için orada da sorun yok fakat ön için sensörler çok yaklaşmadığım sürece bilgi vermiyor gibi hissettim o yüzden şimdilik alışana kadar tereddüt yaşamıyor değilim.-Carplay güzel çalışıyor bir donma ile henüz karşılaşmadım ekran netliği güzel, bazı geçişler kimine göre yavaş kalabilir, benlik bir sorun yok.-En çok 1.2 yeterli mi sorusuna gelecek olursam tamamen beklentinize bağlı ben 140bg'den 130bg'e düştüm bu sebeple çok bir fark hissetmedim 0-100 arasını biraz hantal bulsam da 100-150 performansı bence üzmeyecek durumda (normal mod ile- rodajda olduğundan sporu henüz tam anlamıyla denemedik) , zaten günümüz hız kuralları vs göz önüne alındığında şehirlerarası yollarda ortalama 140-150 ile seyahat ederken göze batmayacak bir performansı mevcut, tabi bu hantallığı - sayarsak diğer performanslı araçlara göre daha fazla yaşam alanı sunduğu için ben görmezden gelebiliyorum, hem bir sedana göre yüksek altı vurur mu düşüncem yok hem de sürücü ve tüm yolcular geniş ve rahat şekilde yolculuk yapabiliyor üstüne bagaj hacmi gayet hoş.Tüm 408 sahibi olmuş ve olacak olanlara hayırlı olsun, tekerimize taş değmesin uzun yıllar sorunsuz sürüşlere inş.< Resime gitmek için tıklayın > ",dün
"Oncelikle hayirli olsun kazasiz belasiz binersiniz insallah.- Adaptifin ayarini bende bulamadim biraz kurcalamak lazim kesin bir ayari vardir.- On park yaparken GT de on kamerayi kullanmakta fayda var, ben o sekilde kullaniyorum. Allureda on kamera varmi emin degilim.- Start&Stop genelde kapali kullaniyorum cok sevmedim.- Arac motoru icin benim sahsi gorusumde sizinle ayni yonde, 2 kez uzun yol yaptim, 140-150 lere rahat ulasan bir araba, en keyifliside bence 2100 devir 8.vites gayet sessiz sakin rahat 120 civari hizla gidebiliyorsunuz. - Genel tuketimim 7lt km 2100. (Yaz donemi malum klima da koklendi)                ",13 sa.
"Teşekkürler hocam hep birlikte kazasız belasız sürüşlere inşallah.-Allure'da ön park kamerası yok malesef, sensörlerinde hassas olmayışı yüzünden hala tereddütle giriyorum önden.-Start&Stop çok hızlı devreye giriyor hatta sanki araç tam durmadan giriyormuş gibi bile hissediyorum bazen ondan ben de kapatıyorum her fırsatta.-Motorun sessizliğine katılıyorum yüklenmediğim sürece çok motor sesi duymuyorum, yüklendiğimde gelen sesi de genel olarak beğendim motorun hoş bir sesi var. Sessizlik demişken rüzgar sesi 130dan sonra başlıyor ama müzik açıkken genel olarak farkedilmeyen seviyelerde, -Dün itibari ile 1000km'yi devirdik ortalama yakıt sürekli düşüyor şuan 7.8e kadar düştü (klima sürekli açık)5000km'ye geldiğimizde 6.8lere kadar düşebileceğini öngörüyorum. Fiyatına göre beni her anlamda tatmin etti peugeotlarda dilden dile konuşulan ilginç sıkıntılardan birine denk gelmezsek uzun süreli birlikteliğimiz olur gibi duruyor 408le.                ",12 sa.
Paspaslar bu şekilde. Taze serdim.   < Resime gitmek için tıklayın >   < Resime gitmek için tıklayın >   < Resime gitmek için tıklayın >   < Resime gitmek için tıklayın >   < Resime gitmek için tıklayın > ,11 sa.
review,date
