review,date
İyi güzel olmuş ama biraz minibüs gibi duruyor.                ,2 sa.
review,date
"
Son dönemde ipucu paylaşımlarıyla sık sık karşımıza çıkan yeni nesil 2024 Skoda Kodiaq sonunda resmi olarak tanıtıldı. Selefine göre daha uzun bir gövdeyle gelen yeni Kodiaq, motor gamında şarj edilebilir hibrit gücünü de arkasına almış durumda.2024 Skoda Kodiaq, özellikleriyle neler sunuyor❓İkinci nesil Kodiaq; 4758 mm uzunluğa, 1864 mm genişliğe, 1659 mm yüksekliğe sahip. Bu bağlamda selefine kıyasla 6 cm uzadığını söyleyebiliriz. 2791 mm'lik aks mesafesinde ise herhangi bir değişiklik yok. Ayrıca diğer ölçülere baktığımızda Kodiaq'ın gövdesinin eskisine göre 18 mm daralmış ve yüksekliğinin de 17 mm kadar azalmış olması dikkatleri çekiyor.Dış tasarımYeni Kodiaq, Çekyalı markanın yeni tasarım dilinin ilk tezahürü olarak karşımıza çıkıyor. Önde bölünmüş far tasarımı ve dikey çizgilere sahip geniş panjuruyla kimliğini hemen belli eden model, kaslı motor kaputu ve dikey hava girişlerine sahip tamponuyla güçlü ve sportif bir görünüm sunuyor. Jant seçenekleri 17 ila 20 inç arasında değişen 2024 Skoda Kodiaq'ta dokuz dış renk seçeneği mevcut. Fotoğraflarda gördüğünüz yeni Bronx Gold isimli metalik renk de bunlardan bir tanesi.Yan tarafta aydınlatmalar arasında uzanan güçlü omuz çizgisiyle dikkat çeken modelin arkasında son dönemde moda haline gelen, boydan boya uzanan stoplar karşımıza çıkıyor. Aydınlatma demişken, Kodiaq modelinde Skoda'nın yeni nesil matrix LED teknolojisinin bulunduğunu da belirtelim. Yüzde 15 oranında daha iyi aydınlatma sağlayan bu akıllı aydınlatmalar Sportline versiyonunda standart olarak geliyor ve panjur boyunca uzanan LED ışık şeridiyle kombine edilebiliyor.Yeni Skoda Kodiaq ailesinin en tepesindeki Sportline versiyonu, gövdesindeki siyah detaylarıyla alt versiyonlardan ayrılıyor. Tavan rayları, cam çıtaları, yan ayna kapakları, ön panjur çerçevesi, arka difüzör ve logoların siyah olarak tasarlandığı versiyonda ilk kez D sütunu da tamamen siyah olarak karşımıza çıkıyor. Bunlara ek olarak ön çamurluklardaki Sportline armalarıyla da dikkatleri üzerine çeken versiyonda 19 inçlik özel jantlar standart olarak sunulurken ekstra ücret ile 20 inçlik jantlara da geçiş yapılabiliyor.İç tasarım2024 Skoda Kodiaq'ın iç mekanındaki değişim ilk bakışta kendisini gösteriyor. Öncelikle vites seçicinin Kodiaq'da da direksiyon kolonuna taşındığını belirtelim. Bu durum orta konsol üzerinde daha fazla depolama alanı sunulmasını sağlamış. Selefine göre daha az fiziksel düğmeye sahip olan Kodiaq'da ""Smart Dials"" adı verilen döner düğmeler dikkat çekiyor. Üzerlerinde 1.25 inç ekrana sahip olan bu düğmeler, farklı fonksiyonları yerine getirebiliyor.Sol ve sağdaki düğmeler, sürücü veya ön yolcunun kabin sıcaklığını, koltuk ısıtma veya havalandırma fonksiyonlarını ayarlamasına imkan veriyor. Ortadaki düğme ise multimedya sisteminin ses düzeyinden klimanın fan hızına ve havanın yönüne kadar birçok fonksiyonu değiştirecek şekilde ayarlanabiliyor. Bu düğmenin fonksiyonları isteğe göre multimedya sistemi üzerinden ayarlanabiliyor. Bunun dışında yeni Kodiaq'da 10 inç multimedya ekranı standart, 13 inç ise opsiyon olarak sunuluyor. 10 inç dijital gösterge panelinin sunulduğu modelde head up display de opsiyon listesinde yer alıyor.Skoda Kodiaq, beş koltuklu versiyonda arka koltukları yatırmadan 910 litre gibi yüksek bir bagaj hacmi sunuyor. Bu da eskisine göre 75 litre artış anlamına geliyor. Arka koltuklar yatırıldığında bu alan 2105 litreye kadar çıkıyor. Yedi koltuklu versiyonda da 340 litre bagaj hacmi mevcut ki bu tarafta da eskisine göre 70 litre artış söz konusu. Üçüncü sıra koltuklar katlandığında 845 litre alan ortaya çıkıyor. Artan bagaj hacminin yanı sıra, Skoda, üçüncü sıradaki yolcular için baş mesafesinin 15 mm kadar iyileştirildiğini belirtiyor.Motor seçenekleri2024 Skoda Kodiaq'ın motor seçenekleri, aktif silindir teknolojisi ve hafif hibrit desteğine sahip olan 150 beygirlik 1.5 TSI motorla başlayıp 201 beygirlik 2.0 TSI motorla devam ediyor. Düşük hacimli motor önden çekişli olarak, büyük olanda dört tekerlekten çekiş düzenine sahip. Dizel tercih edenler için 150 (önden çekiş) ve 190 (AWD) beygirlik seçeneklere sahip olan 2.0 TDI motor da listede. Tüm motorlarda 7 ileri DSG şanzıman standart olarak sunuluyor.Ayrıca Bkz.Çinli minik elektrikli araba Kaiyi Shiyue tanıtıldı: 300 km'ye kadar menzil sunuyorKaputun altındaki seçenekler arasında asıl büyük haber ise şarj edilebilir hibrit sistemin gelmiş olması diyebiliriz. 150 beygirlik 1.5 TSI motoru temel alan bu sistem, elektrik motorunun da desteğiyle 201 hp güç üretiyor. 25.7 kWsa'lik lityum iyon batarya da SUV modelin tek şarjla 100 km'ye kadar saf elektrikli sürüş menzili sunmasını sağlıyor. Bataryanın 11 kW AC şarjın yanı sıra 50 kW DC şarj desteğinin bulunması da altı çizilmesi gereken noktalardan bir tanesi.Sadece önden çekişli olarak ve 6 vitesli DSG şanzımanla satılacak olan Kodiaq iV isimli şarj edilebilir hibrit versiyonda bagaj hacmi 745 litreye kadar düşüyor. Bu da SUV modelin beş koltuklu standart versiyonuna göre 165 litre düşüş demek ancak 100 km elektrikli sürüş menzili için bunun değeceğini düşünüyoruz. 2024 Skoda Kodiaq, önümüzdeki yılın ilk çeyreğinde Avrupa'da satışa sunulacak.Yeni Kodiaq, 2024'ün Haziran ayında dizel dahil olmak üzere üç farklı motor seçeneğiyle Türkiye'de de satışa sunulacak. ",dün
Tiguandan falan çok daha güzel duruyor                ,dün
"Nihayet VW dandikliğinden sıyrılıp, 7-8 milyon vermek zorunda kalmadan da, için girince ticari taksiye binmiş gibi hissettirmeyecek VAG SUV'u tasarlayabilmişler. Grubun diğer markaları VW'den ne kadar uzaklaşırlarsa o kadar başarılı oluyorlar.                ",dün
İç mekan gayet elit duruyor                ,dün
Ön taraf bmw andırıyor.                ,dün
"xc90'dan sonra en begendigim arac olabilir (alabilecegim modeller arasinda, diger turlu Lamborghini Urus en begendigim)                ",dün
Güzel... En full une 70.000eur verilir.                ,dün
