review,date
Ocak 2023--> 2016 Forester XT alınarak kenara çekildik. Darısı arayan herkesin başına inş.                ,8 ay
XT krallığına hoş geldiniz o zaman :) Kazasız belasız sürüşler dilerim...                ,8 ay
Eyw hocam. Tam bir krallık. ,8 ay
"Şaşmaz'da Arıcan Oto'yu tavsiye edebilirim. Sadece Subaru özelinde çalışırlar. Subaru'yu Subaru ustasından başkasına götürmeyiniz. Piyasada ""Japoncu"" diye tabir edilen ustalar olur ya hani, Subaru bu tabirin dışındadır.                ",7 ay
teşekkürler hocam                ,7 ay
Ben olsam bu kmde Dizel Forester almam. TD kendini tam olarak ispat etmiş bir motor değil. Subaru bu motoru artık kullanmıyor bile. Bir dönem kullanıldı ve üretimine son verildi.                ,7 ay
"Ustasına götürmenizi tavsiye ederim. Arıcan Subaru var, Raci usta. Tavsiye ederim.                ",7 ay
2015 forester fiyat nasılhttps://www.sahibinden.com/ilan/vasita-otomobil-subaru-ilk-sahibinden-yetkili-servis-bakimli-subaru-levorg-1114872611/detay ,2 ay
Levorg demek istediniz sanırım.                ,2 ay
Karma tüketimi yazıyorum: 6.8 ile 7.3 arasında değişiyor.                ,2 hafta
review,date
Subaru forester 2012 araç sahibiyim bi arkadaşım aynı aracını sattı onun çeki demirini aldım etiketleri her şeyi mevcut ama montaj klavuzuda dahil ama tip onay belgesi yada CE belgesini bulamıyorum. Subaru Türkiye yi aradım mail attım onlarda bulamadılar. Ruhsatına işleyen arkadaşlardan olan varsa yardımcı olursanız sevinirim parça montaj klavuzu https://cdn.rem.ru/instructions/0/804.pdfbirde CE belgesi olsa tamam                ,2 ay
review,date
2017 Forester imda 20.000 kmlerde surekli bir guzergahimda bulunan hafif-orta yukari egimli 2 km lik yolu cikarken silkeleme oldu. Burayi her 3-4 seferde bir gectigimde oluyordu. Sanzuman zannettim. Servis motora kimyasal bir temizlik yapti. Sorun gecti 10-15 bin km sonra gene ayni problem basladi. Gene temizlik yaptirdim ve gecti. O gune kadar hep Shell aliyordum. GTL teknolojisi ile uretilen dizel. Opet e gectim. Su an 120.000 km deyim cok sukur halen daha bu problemi yasamadim. Sanirim Shell artik GTL teknolojili dizeli birakti ama hem bundan emin degilim hem de su an Opet ten memnunum. Sanki OPET reklami gibi oldu:)                ,5 ay
review,date
2015 model outback aracımız var dizel araçları sevmiyorum o yüzden en baştan beri sesinden geç ısınmasından memnun deiğilim forester legacy levorg ve outbackimiz var uzun yolu en keyifli araç o uzun uzadıya anlatmak istemiyorum subarunun en konforlu aracı kronik sorunu yok 600 bin km civarında motor istiyor  belki bu kronik sorun olabilir                ,9 ay
review,date
2017de sıfır aldım. 135bin kmde. Halen kullanıyorum. Net olarak söylüyorum Premium bir araçtır. Forester piyasada daha iyi gibi görünüyor ama arada ciddi kalite ve özellik farkı var. Ben istanbuldayım Yedek parça sorunu yok denecek kadar az. Bazı spesifik parçalar japonyadan geliyor oda 15günü geçmedi hiç.                ,10 ay
"2016 hazirandan sonra üretileni almaya özen gösterin çünkü baya bi iyileştirme yapıldı, mesela camlar daha kalın, süspansiyon daha iyileştirilmiş, karartmalı aynalar vs vs. 2016 6.ay ve sonrası 2017-2018 birebir aynıdır hiçbir iyleştirme vs yapılmamıştır sonrasıda daha getirilmedi ülkemize.                ",10 ay
review,date
