review,date
"Hayırlı olsun yeni kasa tanıtıldı sonunda,   < Resime gitmek için tıklayın > ",3 gün
gene orjinali en güzeli duruyor  ,2 gün
"
3 yıldır o haliyle kullandık bi değişiklik olsun diyorum ...  ",2 gün
review,date
"Daha önce yorumumu yapmıştım şunu da eklemek istiyorum. Konuştuğum bir bayi müdürü ötv muafiyeti için bekleyen kişi sayısının çok olduğunu, model sayısının çok az kaldığını, bu tip araçlar için stok beklentisine girmememi tavsiye etti. Muafiyetle gelenden daha çok para kazandığını ekledi bir de. Sana satmam dedi kısacası :)                ",4 hafta
"Arabayı almış olduğum Doğan Trend deki satış elemanı arkadaşa sordum, o da servise sordu. Bunun güvenlikle alâkalı olduğunu kapatilamadigini söyledi. Artık öndeki araca yaklaşırken hafif fren yapıyorum, böylece freni algılıyor ve ani durmuyor sanırım.                ",3 hafta
çok yüksek evet tek karınız eğer garanti bitti ise 10 yıl garantı olayı devam edecek serviste bakım yaptırdıkça dışarıda yaptırsanız 3 te 1 fiyatına geliyor ama garanti olmuyor + yı - yi düşünüp ona göre karar verin ben dışarıda yaptırıyorum 3 yıldır ama garanti yok artık şans işi biraz.                ,3 hafta
Valla yok maalesef ben zaten kendi ustam var her markaya bakan ona güvendiğim için ona gidiyorum sadece ama Bosch servise götürebilirsin en azından sanayiden bir tık daha güvenli sonuçta arkasında Bosch firması var                ,2 hafta
"Bende adanadaki servisten randevu aldım 6.000 tl, geçen sene 2.800 civarıydı sanırım. Garantiyi bozmamak için ayrıca kafam daha rahat oluyor, o yüzden servise bırakıyorum. Aracın fiyatı 1.100.000 olmuş, parçalar çok pahalılaştı, ayrıca hibrit olmasından dolayı ek parçalar var araçta. Tanıdık ustalar var ama ben yinede güvenemiyorum. Bir sorun yaşadığında usta hayatta tazmin etmez, üzerine bile almıyor, direk sana patlıyor. Geçmişte usta hatası yüzünden trigeri patlatıp yolda kaldık, ustadan hiç bir şey alamadık. Götürdük serviste yaptırdık aracı. Araçların bu kadar pahalı olduğu bir dönemde ben ustalara emanet edemiyorum. Ayrıca garantinin sona ermesi de cabası.                ",2 hafta
"Benim satış fiyatı yazma sebebim araçların sıfır fiyatları çok yükseldi. 1 milyon luk bir şeyi ustaya teslim etmek istemiyorum, yazma sebebim buydu. 2. Eldeki fiyatını düşünmedim alırken. Araçtan genel olarak memnunum.                ",2 hafta
Aracın 2. elini düşünen zaten Suzuki almaz.                ,2 hafta
"Ben hiç bir zaman başkası için araba almadım, swifti aldığımda bazı cahil ve ön yargılı arkadaşlarım burun kıvırdı. Her zaman beğendiğim aracı bütçem dahilinde aldım. Piyasa arabaları bana göre değil, jeografik olarak burada doğsamda  burada yaşayan insanlar gibi düşünmüyorum.                ",geçen hafta
Katılıyorum aynen öyle.                ,geçen hafta
İmzamı atarım                ,geçen hafta
"Arkadaşlar merhaba. 2012 swift aracım var arka taraftan bozuk yollarda,dönüşlerde çıt çıt tık tık metal sesi geliyor dingil burçları değişecek dediler yurtdışından parça sipariş ettim geldi değiştirdim ses hala devam ediyor. Yabancı kaynaklarda araştırdım arka dingili komple değişmesi lazım diyorlar başına böyle birşey gelen varmı parçasında zor bulunuyor aracın pahalıda. YouTube’da swift rear axle noise yazınca çıkıyor sesin aynısı adam komple arka dingili değişiyor                ",6 gün
Kaliteli marka yanlız dikkat edin hibrit hava filtresi ile normal olan aracın hava filtresi farklı                ,5 gün
Facebook grubunda daha net bilgi alabilirsiniz   https://m.facebook.com/groups/628285277372838/ ,5 gün
Zenginsen para havadan geldiyse dediğin gibi swift keyif için alınır sıkılınca da düşükten satıp üstüne bir swift parası daha koyup yenilersin. Renkler ve zevkler tartışılmaz meselesi.Bu arada cahil olan arkadaşların değil bilesin.                ,4 gün
"Aylardır yazıp duruyorsun, bir sıkıntın var belliki. Zengin olsam swiftle ne işim var, senin hayata olan bakışın tam türk bakışı, Erol Mütercimin dediği gibi, Türkler parayı çok sever. Ben o kafada değilim. İnsanın odak noktası para olmayınca cahil olmaz. Arkadaşlarım bu arada otomobil cahili tam olarak. Piyasa araçlarına bir koyun edasıyla, para sevdasıyla kapılmak tam da bizim milletin işidir. Her fırsatı değerlendireyim aman bu fırsatta kaçmasın, çok para kazanayım vs. Benden uzak dursun. Zamanı geldiğinde paranın hiç bir halta yaramadığını birebir yaşamış bir insanım. O yüzden dünyadaki bütün paralar senin olsun. Ben mutlu olayım yeter. Elalem için bir şey almak benim tarzım değil, bunun için zengin olmana da gerek yok, sadece keyif alman gerekli. Ben kendimi onlardan ve senin düşünce tarzından farklı görüyorum, bu da suç değil sonuç olarak.                ",3 gün
review,date
Kesinlikle alınır.Şu an 200k ile kurtarabiliyorsun. Seneye bu zamanlar 300k olacak sonra olacak 400k. Değiştir kurtul derim.                ,geçen ay
Merhaba beyler Swift imi değiştirdim. 3d pas pasları boşa çıktı. Almak isteyen olursa mesajlardan konuşabiliriz. Herkese kazasız surusler..                ,geçen ay
Hayırlı olsun güle güle kullanın                ,geçen ay
"Teşekkürler, Sizlerede kazasız surusler dilerim...                ",geçen ay
"745 e veriyorum 2020 gl swifti, 930 a 2022 corsa edition için anlaştım 12bin kmde 185bin tl gibi farkla geçişi yapıyorum karşılıklı kaporalar verildi bakalım hayırlısı@Emekkk  hocam başta olmak üzere (az başını ağrıtmadım:D) konuya katkıda bulunan herkese teşekkür ederim                ",geçen ay
Hayırlı uğurlu olsun kazasız belasız kullanın yanlız 1.2 ise Corsa belalı motor garanti uzatın mutlaka 80 bine gelirseniz mutlaka kayışı değişin                ,geçen ay
"Sağolasın hocam, kafamı bulandırdı motor işi ama fazla seçenek yok mecburen seçtim. 80bin km leri göreceğimi sanmıyorum :)                ",geçen ay
"Km 29bindi hocam, kapı ve direkte çizik vardı. Far değişimi tramer 6bin tl civarı. Gl ve benzinli olduğu için bomboştu tabi, şimdiki gl techno idare eder yine de. Ben zaten 2. el aldığım için uyguna almıştım, geçen sene nisanda 315bin tl ye almıştım                ",geçen ay
"İmkan varsa yükseltmek iyi olur tabi. Ben Swift'i alırken bu kasa Corsa yeni çıkmıştı, gidip bakmıştık. Dizaynı beğeniyorum, ön konsol güzel ancak arka koltuk bana çok dar gelmişti. Hayırlı olsun, güzel günlerde kullanın.                ",4 hafta
Teşekkür ederim hocam. Swiftin hem koltuk boyutu hem de konforu daha iyi bence de. Hatta sınıfı içinde belki de tepelere yazılabilir. Genelde eşim kullanacağı için ve hemen hemen sadece şehir içinde kullanılacağı için çok önemsemedim. Kullanımı oldukça basit geldi konsol dizaynı sayesinde. 208 aynı platform olduğu halde yüksek konsoldan ötürü rahat hissettirmemişti                ,4 hafta
Selam ben bir çocuk ile tatil vs sıkıntısız kullanıyorum yanlız bebek arabanız sıkıntı olabilir onu test edin bu arada swiftin yeni kasası geliyor o yüzden aklınız kalacaksa eğer bu kasayı 0 olarak almayın.                ,4 hafta
"Benim şansıma çocuk 2 yaşına gelene kadar Citroen c4 vardı onun bagajı her halükarda alıyordu bebek arabasını jolie marka idi ama swift te sanırım ancak arka koltuk arkasına dikine sığar diye tahmin ediyorum yeni kasası seneye gelecek fazla süreceğini sanmıyorum çünkü clio makyaj yedi üstüne i20 makyaj yedi hatta corsa,208 bile bunuda çok bekletmezler  https://tr.motor1.com/news/618010/2024-suzuki-swift-render/ ",4 hafta
"Yeni kasası ne zaman gelir bilmem ama GL paketi yerine GLX almanızı tavsiye ederim, fiyat farkını karşılamanız mümkünse tabi. Bebek arabası bu sınıftaki her arabada sorun olabilir, Swift en genişlerinden biri ancak bebek arabasını bir deneyin bayide, sığıyor mu bakın, sonra sorun olmasın.                ",4 hafta
"Benim beğendiğim, denemek istediğim araba Honda Jazz, hele yenisi çok teknolojik, tam benlik ama fiyatı inanılmaz yüksek.                ",4 hafta
