review,date
19246 nci talihliyim asıl olan ama aralığa yetişmeyecek gibi geliyor 😰                ,3 hafta
review,date
Bana da mail gelmiş 19500 lerdeyim Aralıkta teslimat diye                ,6 ay
yeni gördüm mail gelmis 19824 siralamam. Aralık ta teslimat diye.                ,6 ay
"Haklısınız, T10X tanıtımında görevli arkadaş da 3 kademeli fren enerjisi geri kazanımı ayarının olduğunu ve %10 etkisi olacağını söyledi. %100 şarj edip bitene kadar kullanırsanız bir kayıp olacağını ben de düşünmüyorum.                ",6 ay
Bu araçlarda bu rejenerasyon olayı çok önemli. Aracta gazdan ayağınızı çektiğinizde ne kadar frenlemesini ve dolayısıyla bataryayı ne kadar doldurmasını ayarliyorsunuz. Önemli olan mümkün mertebe tek pedal ile kullanım.                ,6 ay
"Ayarı önceden Kapalı veya hafif-orta-sert seçeneklerinden birini yapıyorsunuz, ayağı gazdan çekince motor dinamo gibi çalışıp hem bataryayı şarj ediyor hem kendiliğinden fren yapmış oluyor. Böylece frene basmaya da gerek kalmıyor. Kazan-kazan :)                ",6 ay
+ 0 balata ve disk aşınması:)                ,6 ay
"çok iyi anladım, sağ olunuz. Bu sistemin aynısı olmasada kısmen benzeri Octavia a da var mid hybrid de var bildiğim. Aslında tüm araçlarda olsa güzel olurmuş.                ",6 ay
"Son 5-6 yilda uretilmis cogu aracta var zaten, 12V akuyu sarj ediyor ancak tabi frenlemeye faydasi olmuyor sadece yakit tuketimine azicik faydasi oluyor.                ",6 ay
TOGG Standart menzil V1 Cam tavan kula 9*** asil sıraMail gelmiş Eylül-Ekim 2023 teslimat planlanmış.TOGG Uzun menzil V2 Cam tavan gemlik full 12*** asil sıraMail gelmiş Ekim-Kasım 2023 teslimat planlanmış.eşime ve bana çıkan sıralar ve teslimat bilgilendirmeleri ,6 ay
Cam tavan siparisleri bir hayli fazla olmasi ve robotlarin tam anlamiyla yaz aylarinda baslicak olmasi saniyorum sureci yavaslatiyor .                ,6 ay
"Kamu bankalarından Togg için araç bedelinin yüzde 50'si tutarında 36 ay, 0,99 oran ile kredi kullandıracak.                ",6 ay
Telegrama Togg sahipleri yazıp gruba kayıt yaptırın arkadaşlar. Link veremiyorum buradan. Cennet orası                ,6 ay
"
https://www.teknolojioku.com/otomobil/asgari-ucretliye-ozel-togg-firsati-tamami-krediyle-verilecek-64fcdb12a7ba7862ca600417 ",3 hafta
"""Sosyal medyada yer alan bilgilere göre asgari ücretliye hitap edecek TOGG modeli uygun fiyatının yanı sıra, uygun alım şartlarına sahip olacak.""""Asgari ücretliler düşünülerek geliştirilen bu TOGG modelinde kamu bankaları aracılığıyla özel kredi seçenekleri de olacak. Üstelik şartlar karşılandığında aracın tamamına kredi fırsatı da sunulacak.""Yani T10X için böyle bir durum yok , şu ana %50 sine kredi veriliyor ..                ",3 hafta
review,date
Tosuncuk vakası olmaz da 20 bin adetin sene sonuna kadar biteceğine olan inancım çok az :))                ,6 ay
4. Madde 🤩🤩   < Resime gitmek için tıklayın > ,6 ay
Bildiğim kadarıyla yok                ,6 ay
Beyler togg dan mesaj var bana. Teslimatı Aralık 2023 gibi planlıyorlarmış. Tarihi ileri veya geri çekilmesi onların elinde saklı tutuluyormuş. Çekiliş sıram 19*** lerde                ,6 ay
"Arkadaşlar merhaba, Full paket için asil 8427 yim. Az önce mail geldi;"" teslimat planlamanız Ağustos-Eylül ayına planlanmıştır. Tekrar bilgilendirme yapacağız"" diye.                ",6 ay
"
< Resime gitmek için tıklayın > ",6 ay
Herhalde uzun menzil araçları erken teslim edilecek iddiası boş çıktı. Yada herkes uzun menzil full paket istekte bulundu                ,6 ay
"Benim de teslim Aralık diye mail geldi, sıram 16***                ",6 ay
Benim v1 boş paket standart menzil. Temmuz ağustos diyor. Demekki ilk fuller teslim edilecek olayı değişti                ,6 ay
"Benim araç uzun menzil dolu paket, 1.1xx sıra, mayıs-haziran yazıyor.                ",6 ay
