review,date
Ön tasarım ferrari gibi                ,7 sa.
Tasarımı çok beğendim.                ,7 sa.
Japon tasarımlarını pek beğenmem ama bu olmuş gibi                ,7 sa.
Heykelini diksin toyota bunu çizen adamın 100 yıllık toyotanın en iyi tasarımı olabilir                ,7 sa.
"Yeni chr'ye haksızlık ediyorsunuz :)< Resime gitmek için tıklayın >Bu arada çoğu kişi gözden kaçırmış kokpit tasarımı en iyi Toyota kokpiti olabilir. Normalde toyota araçlarının içi biraz demode ve kalitesiz görünür ama bu araçta sonunda güzel bir şey ortaya koymuşlar. Kadran ile multimedya sonunda birleştirilmiş , vites daha modern olmuş sadece direksiyon kaba duruyor biraz.< Resime gitmek için tıklayın > ",6 sa.
Belli ki birşeyler değişmiş tasarıma farklı bir el dokunmuş                ,6 sa.
Vay canına belki de Toyota'nın tek eksik yanı olan tasarım işini çözmüşler!Koyu Bakır rengine benzeyen rengi de çok hoşuma gitti.                ,5 sa.
"Büyük chr yapmışlar, güzel gözüküyor                ",5 sa.
Ferrari Purosangue'ye benziyor                ,3 sa.
Yeni Corolla da bu iç tasarım ile gelirse şahane olur                ,1 sa.
ön tasarım harika tek kapı bir spor araba efsane giderdi bu tasarım modeline                ,45 dk.
review,date
"
Toyota, hidrojen yakıt hücreli Hilux prototipini tanıtarak bu konuda önemli bir kilometre taşını daha geride bıraktı. Karbonsuz mobiliteye ulaşmada çok yönlü stratejisiyle farklı güç üniteleri çözümlerini geliştirmeye devam eden Toyota, bu kapsamda dünyadaki farklı kullanıcıların ve bölgelerin ihtiyaçlarına göre tam hibrit, plug-in hibrit, tam elektrikli ve hidrojen yakıt hücreli araçlar sunuyor.Karbon emisyonlarını mümkün olan en kısa zamanda düşürmeyi amaçlayacak yenilikçi çözümler üreten Toyota, bu amaçla Hilux’ın yakıt hücreli prototipini geliştirdi. Yeni bir çığır açmaya hazırlanan hidrojen yakıt hücreli Hilux, İngiltere Hükümeti finansmanıyla da desteklenen Toyota’nın öncülük ettiği, Ricardo, ETL, D2H ile Thatcham Research gibi mühendislik şirketlerinin olduğu konsorsiyum partnerleriyle birlikte Toyota İngiltere tesisinde gösterildi. Sıra dışı dayanıklılığı ve güvenilirliğiyle global bir Toyota ikonu olan Hilux, yakıt hücreli sıfır emisyonlu güç ünitesiyle bu niteliklerini de korumayı amaçlıyor.Hilux’ın güç ünitesi, yaklaşık 10 yıldır ticari olarak üretilen ve kendisini kanıtlamış olan Toyota Mirai’nin yakıt hücresini temel alıyor. Sıfır emisyonlu aracın sürüş sırasında egzozundan sadece saf su çıkıyor. Hidrojen üç yüksek basınçlı yakıt tankında depolanıyor. Böylece, prototip Hilux’a bataryalı tam elektrikli sistemlerin sağlayabildiğinden daha yüksek olacak şekilde 600 kilometreden fazla menzil sağlıyor. Yakıt hücresi tarafından üretilen elektrik ise hibrit bataryada depolanıyor ve batarya kabin alanını etkilememesi adına arka yükleme alanında konumlandırılıyor.2022 yılında başlanan projede ilk araç beş hafta önce tamamlandı ve ilk 10 Hilux’ın bu yılın sonuna kadar üretilmesi planlanıyor. Bu prototip araçlar, bir üretim modelinin yüksek standartlarını karşılayabilecek şekilde kapsamlı güvenlik, dinamik performans, fonksiyonellik ve sağlamlık testinden geçirilecek. Bu testlerle birlikte Toyota’nın içerisinde bulunduğu konsorsiyum yakıt hücreli araçların ve hidrojen sistemlerinin daha farklı alanlarda kullanılması için araştırmalarını sürdürecek.Ayrıca Bkz.Avrupa'da elektrikli otomobillerin satışlardaki payı ilk kez %20'yi geçtiProjede kilit rol oynayan global stratejik mühendislik ve çevre danışmanlığı şirketi Ricardo ise, 2025’in ardından tanıtılacak potansiyel bir üretim modeline ilişkin karar öncesinde, önümüzdeki aylarda aracın kapsamlı testlerini gerçekleştirecek. ",2 hafta
"Bana göre gelecek burada. Elektrik güzel, kendin üretebilmen ayrı güzel ama herkes günde 20 40 km aralığında araç sürmüyor. Ticari araçlar her durumu değiştirecek kadar yer kaplıyor dünyada.Elinizde bir mal varsa o malı bir değil 5 kamyon taşımıştır, belki 50 kamyondur bilemezsin.                ",2 hafta
Elektrikli araçların sıkıntısı şu pillerin bir ömrü var ve piller ömrünü tamamladıktan sonra çöp oluyor . Bir 10-20 yıl sonra ne kadar çok atık pil çıkacağını tahmin etmek zor değil . Bu pillerin üretiminde kullanilan kaynakların miktarı ve bu kaynaklar çıkarılırken çevreye verdiği zararda ayrı bir konu . Ayrıca şarj etme süreleri hala çok uzun .                ,2 hafta
Hidrojen yakıtı kullanmak elektrikli araç kullanmaktan daha az zararlı çevreye bu nedenle zamanlar elektrikli araçlar tarih olacak.                ,2 hafta
Daha -18 ile et ve tavuk veya süt ürünlerinin taşıma derdi çözülemedi son 25-30 yılda...Hidrojen'in gerek lojistiği gerek depolanması ve yaygınlaşması ... biz göremeyiz... torunlara şayet dünya yerinde kalırsa güle güle kullansınlar derim...                ,2 hafta
"Elektrikli ve hibrit araçlara çok iyi bir alternatif olacak hidrojenli araçlar. Dünyada 2-3 tane marka var zaten hidrojenli araç üreten Toyota, Honda ve Hyundai. Bildiğim kadarıyla Honda'nın hidrojenli aracının üretimi durdu Hyundai ve Toyota ise hidrojenli araç üretimine devam ediyorlar. Ancak bu modelleri ülkemizde satılmıyor daha ülkemizde elektrikli araç için doğru dürüst altyapı ve şarj istasyonları yok iken hidrojenli araçların ülkemizde satılması çok zordur                ",2 hafta
hidrojen yakıtlı araçlardan bahsedildikçe aklıma hep hindenburg geliyor. sonra sanki saatli bomba ile dolaşıyormuş hissi geliyor vazgeçiyorum                ,2 hafta
Yolcu ve mürettebatın yüzde 64 ü ilginç bir şekilde o kazadan sağ çıkmış ilk duyduğum da şaşırmıştım.                ,2 hafta
"2023 Mart adam yeni BMW iX (full elektrikli) almış İstanbul 'dan Antalya'ya 2 kişi giderken 200km'de bir şarj istasyonuna uğramışlar. 781km'lik yol 13 saat sürmüş.  İstanbul'a döndüğünde aracı satış listesine koyup benzinli Mercedes'e geçmiş.    Sarı sitede 2.el Tesla ilan sayısı son 3 ayda 100% arttı. Önceden 100-105 arası ilan vardı şimdi 200 üstü. En iyi, en uzun menzilli, otomobilin Apple'ı denilen Tesla'lara bu kadar çok 2. el ilan açılması biraz ilginç                ",2 hafta
"Toyota Mirai'de (normal binek otomobil) hidrojen 3 ayrı tank içinde depolanıyor, amacı herhangi bir kazada tankların maksimum dayanımı. O tanklar o kadar güçlü ki, normal herhangi bir kazada yakıt sızdırmaz, sadece örneğin bir tır aracı duvarla arasında sıkıştıracak şekilde çarptığında tanklar sızdırabilir, belki. Tankların dayanıklılık ve güvenliği en üst öncelik.                ",2 hafta
şuan tesla şehir dışı 300 km de bir şarja takman lazım. şarj 30-40 dk gibi bişey. istasyon heryerde yok. anca bodruma alanyaya falan gidersin. alayım da sivasa yozgata rizeye memlekete gideyim yok yani.                ,geçen hafta
"Hidrojenin lojistik, depolama ve ekonomik işletmesi aslında kolay.   Kaliforniyada bir hidrojen istasyonundan görüntü.   < Resime gitmek için tıklayın >   Soldaki konteyner hidrojen üretiyor. Videoda gösteriyor, konteynere şebeke suyu ve şebeke elektriği geliyor, hidorjen olarak çıkıyor.    Yani bu konteyner'ı koyduğunuz her yer hidrojen istasyonuna dönüşüyor.    Adam Toyota Mirai ile gelip %10 depo ile hidrojen doldururken kronometre tutuyor, 100% dolu depo tam 4,5 dk sürüyor yani benzin deposu doldurur gibi kısa ve pratik.    Otobanda gazı kökleyerek ve klima açmayayım kaygısı olmadan istediği gibi kullanıyor yine de 400-500km gidiyor araç.   Geleceğin değil, bugünün teknolojisi bu.                ",geçen hafta
review,date
"
Elektrikli araç satışları rekor bir hızla artmaya devam ediyor. CounterPoint Research'ün verilerine göre, 2023 yılı sonuna kadar küresel elektrikli araç satışlarının 14,5 milyon adedi aşması bekleniyor. Kaybettiği zamanı telafi etmeye çalışan Toyota ise, kendinden tahrikli montaj hatları ve bitmiş araçları taşımak için robotların yer aldığı Tesla’nın Giga Casting’i gibi yeni nesil elektrikli araç üretim hattını tanıttı.Japon üreticiler yetişmeye çalışıyorElektrikli otomobil piyasası oldukça hızlı bir şekilde büyüyor. Sadece ikinci çeyrekte 2,15 milyondan fazla elektrikli araç satılırken hem eski otomobil üreticileri hem de yeni girişimciler elektrik çağında yer almak için mücadele ediyor. Tesla ikinci çeyrekte 466.000 elektrikli araç teslim ederek liderliğini sürdürürken, Çin'in önde gelen otomobil üreticisi BYD 352.000 binek elektrikli araç satışıyla aradaki farkı kapattı. Bu arada, Toyota'nın yılın ilk yarısında dünya çapında sattığı 4,15 milyon aracın sadece bir kısmı (yaklaşık %0,19) tamamen elektrikliydi. Bu da altı ayda 800 bin aracın altında kalıyor.Birçok otomobil üreticisi bu hızlı geçişe hazırlıksız yakalandı. Aralarında Toyota, Honda ve Nissan'ın da bulunduğu bu üreticilerin birçoğu son zamanlarda işleri tersine çevirmek için elektrifikasyon stratejilerini hızlandırma planlarını açıkladı. Toyota, Haziran ayındaki bir etkinlikte, aralarında Tesla'nın oyun kitabından alınmış olanların da bulunduğu birkaç yeni teknolojiyi tanıt. Otomobil üreticisi, bir fabrika turu sırasında yeni nesil elektrikli araç üretim hattını ilk kez göstererek nelerin beklenebileceğiniz gözler önüne serdi.Toyota’nın yeni üretim hattıTesla, Giga Casting olarak adlandırdığı yöntem ile kritik kaynaklardan tasarruf ederken karmaşıklığı azaltmak için önemli ölçüde daha büyük alüminyum parçalar üretiyor. Tesla'nın bu yöntemi kullanarak maliyetleri yaklaşık yüzde 30 oranında düşürdüğü söyleniyor.Şimdi Japon üretici de aynı yola giriyor. Toyota, kalıplar hakkındaki ""zengin bilgi birikiminin"" hızlı kalıp değişimleri geliştirmesini sağladığını iddia ediyor. Toyota bu sayede kalıp değiştirme süresini 24 saatten yaklaşık 20 dakikaya indirdiğini söylüyor. Ayrıca, otomobil üreticisi döküm kalitesini iyileştirmek için tescilli analiz teknolojisini kullanarak kusurlu parça sayısını azaltacak. Toyota ayrıca kendinden tahrikli elektrikli otomobil üretim hatlarına da vurgu yaptı. Toyota, buna ek olarak üretimle ilgili önemli bir maliyet olan konveyör ekipmanına olan ihtiyacı da azaltacak.Toyota ayrıca iş verimliliğini artırmak ve karmaşıklığı daha da azaltmak için aracın ön, orta ve arka kısımlarından oluşan üç parçalı modüler yapıyı tanıttı. İşgücü sıkıntısıyla karşı karşıya olan otomobil üreticisi, bitmiş araç sahasında araç taşımacılığını iyileştirmek için tasarlanan Araç Lojistik Robotunu (VLR) da sergiledi.Toyota ayrıca geçen hafta, 2026 yılında yaklaşık 800 km menzile sahip yeni elektrikli otomobillerin piyasaya sürülmesini içeren elektrikli araç bataryası yol haritasını açıkladı. Toyota, elektrikli otomobil yarışında en baştan geride kalsa da şimdi arayı kapatmaya çalışıyor ancak Tesla'yı yakalamak için önünde uzun bir yol bulunuyor.Yeni nesil elektrikli araç üretim hatları ve gelişmiş bataryalar gibi yeni teknolojiler Toyota'nın gelecekte rekabet gücünü artırmasına yardımcı olacak. Ancak bu teknolojilerin birçoğunun kullanılmaya başlandığı 2026 veya 2027 yılına kadar Tesla muhtemelen bir sonraki yeniliğe çoktan geçmiş olacak. Tesla bu yıl 1,8 milyon elektrikli araç teslim etme yolunda ilerliyor. Toyota ise üç yıl içinde 1,6 milyona ulaşmayı hedefliyor.Kaynak:https://electrek.co/2023/09/19/toyota-reveals-next-gen-ev-production-line-catch-up-tesla/ ",2 hafta
"Toyota'yı Apple gibi görüyorum .  Rakipleri genelde pek çok donanımı ve yeniliği hemen modellerine uyguluyor , Toyota ise onları geriden takip ediyor ama bir donanımı ve özelliği araçlarına ekleyecekse genelde kusursuz çalıştığından emin olduktan sonra o donanımı ve özelligi araçlarına ekliyor. Genelde bu yüzden Toyota sık sık eski kafalı bir firma olarak eleştiriler alır ama sezarin hakkı sezara Toyota modelleri çok az arıza çıkarır.   O yüzden Toyota da bu işe giriştiyse elektrikli otomobil çağı net olarak başlamıştır .                ",2 hafta
Toyotanin rakiplerini geçmesinin tek yolu daha fazla menzil sunan otomobiller üretmesidir. 3-4 yıl sonra 800 km menzil sunacaksın da muhtemelen diğer şirketler 1000 km çoktan geçmiş olacaktır. Özelikle bu atılımı çinli şirketlerden bekliyorum.                ,2 hafta
hangi ülkede kurulmuş göremedim.                ,2 hafta
Toyota her teknolojiyi hemen araçlarına eklemez. bakar sıkıntılar sorunlar nedir ona göre test eder ve üretir. o yüzden toyota araçları nispeten sorunsuzdur. Geç olsun güç olmasın mantığı                ,2 hafta
3 Parçalı modüler gövde kazalarda Şahinler gibi ayrılmasın. Kimse buna dikkat etmiyor. Tek parça gövde daha sağlam.                ,2 hafta
Tek parça gövde üreten marka yok şu anda zaten. Ön şase grubu bile çoğu araçta 20-30 arası parçadan üretiliyor şu anda. Toyota ve Tesla bunu 3 ana parçaya indirgeyebiliyor bu yöntem ile. Daha sağlam oluyor.Elon Musk'un sonraki hedefi ise HotWheels arabaları gibi sizin dediğiniz şekilde tek parça baskı şase üretmek ama şu anki teknoloji ile bu zor ve pahalı.                ,2 hafta
Toyota elektrikli otomobile geçişte çok geç kaldı. Ancak elektrikli otomobilde Toyota sağlam adımlar atacak gibi görünüyor. Tesla'nın elektrikli araçta devrimi ile Toyota geçte olsa cevap vermeye başladı. Toyota'nın herşey planladığı gibi giderse Tesla'nın pabucunu dama atabilir bunu bekleyip göreceğiz                ,2 hafta
Genelde herkes Japon üreticileri Nissan hariç yerin dibine sokuyor fakat herkesin atladığı bir şey var elektrikli araçların batarya problemleri henüz çözülmedi lityum iyon bataryaların şarjda şarj döngüleri çok fazla olmadığından dolayı ayrıca hızlı şarjlarda batarya ömürleri çok kısaldığı için kullanışlı değiller Toyota bunu çözmeye çalışıyor. İlk nesil RAV4 ve 2 nesil rav4'te elektrikli olarak denemeler yapıldı 2 nesli Tesla ile beraber yaptılar ama sonuç olumsuz olduğu için ilerlemediler. Batarya problemi çözülmezse şu anda satılan elektrikli arabalar ileride çöp olacak katı hal pilleri kullanılabilir hale geldiğinde şarj ve şarj döngüsü çok fazla hızlı şarj çok hızlı olacak Toyota da buna çalışıyor                ,2 hafta
Tesla ve Çinli üreticiler bu konuda çok iyi ve çok hızlılar 2024 itibari ile bazı çinli firmalar katı hal bataryalar ile üretime başlıyorlar batarya maliyeti de ayrıca %30 a kadar düşebiliyor.   En son CATL duyurdu 10 dk. Şarj ile 400 km menzil sağlıyor ve bunlar 3000 den fazla çevrime rahat dayanıyor katı hal oldukları için yıl olarak ömürleri çok fazla enerji yoğunlukları artıyor buda daha küçük ve hafif bataryalar demek teknoloji çok hızlı gelişiyor elektrikli ler geleceğimiz.                ,2 hafta
ilk elektrikli bataryalı otomobil 1870'lerde üretilmiş.150 yılda gelinen nokta bu ise  toyota veya başkası bunu daha çok arttıramaz fizik kanunlarının da bir sınırı var.                ,2 hafta
Toyota yanlış yolda ısrar etti ve bunun bedelini ödüyor. Teslaya yetişmesi imkansiz                ,2 hafta
"toyotanın birikimi çok fazla ve direkt tam elektrikli ürün çıkarmasa da her tür elektrik işiyle haşır neşir idi ve yakından takip ediyordu. Tecrübesi yüzünden rahat davrandı ve piyasanın uygun olmadığını düşünerek. Elektrikli araba olayı fos şu anda, toyota haklı ama tesla gibiler oluşturulan gazdan faydalandılar. Büyük üreticiler işe girdikçe tesla geri kalacak bence.                ",2 hafta
"Herkes diyor ki ""Toyota teknolojinin olgunlaşmasını bekliyor.o yüzden geç kalmış gibi gözüküyor""..İşin aslı öyle değil.toyotanın geç kalma sebebi ısrarla ""hidrojen""li araç üreteceğim idi. Yakın zaman kadar bu inadıda sürdü.Elektrik işine dönüp bakmadılar bile. Ar-ge hidrojenli araç üzerine yoğunlaştı, şirket başkanı elektirkli araçlarda gelecek olmadığına dair bir iki açıklama bile yaptı. Sonra baktılar kazın ayağı öyle değil Şimdi aksiyon  almaya çalışıyorlar ama Jaopnlar aksiyon alıncaya kadar piyasaya başka hakim firmalar çıkacak. Tek şansları var eskisi gibi devam edebilmek için.Katı hal bataryası ile araç sürmek piyasaya.Menzil döngü ve güvenlik açsından exterm bir fark koyarlarsa işte o zaman geri kazanır piyasayı.Yoksa geçmiş olsun Japon otomotiv endüstrisine.                ",2 hafta
