review,date
Aynı sorunu ben de 2022 EKim ayı sonunda yaşadım. Yurtdışı Volvo sitelerinden tüm Avrupa'yı indirdiğim halde yükleyemedim. Size verilen cevabın aynısın verdi müşteri temsilcisi. Ki bu bana çok saçma geldi... Diğer markalar yapıyor diyorsunuz. Volvo Türkiye'ye bu konuda baskı yapmak lazım demek ki...                ,8 ay
Herkese merhaba. 27 Nisanda çıkacağı söylenen güncelleme 13 Nisanda çıktı. Ben yükledim. Versiyon 14.20 oldu. Hiç bir değişiklik yok. 1.5 yıl önce açılan koskoca otoyol hala yok ve benim evin oralar hala dutluk görünüyor. Enteresan olanı 1-2 km doğumuzda daha yeni yapılan bir site 3 boyutlu olarak yeralıyor ama bizimki yokİşe yaramayan bir günelleme daha... Boşuna zahmet edip yüklemeyin internet kotanızı bitirmeyin.                ,6 ay
Geçen hafta başı 1430 versiyon yayınlandı. Yurt dışında idim bu hafta yükleyebildim. Bizim site gene yok ama site bahçesindeki tenis ve basket sahası artık güncellemeye girmiş. BU güncellemeyi yapanın hangi kafada olduğunu gerçekten çok merak ediyorum. Koca site yok tenis kortu var                ,3 ay
"Merhaba,Sitenizin hala daha haritalarda gözükmüyor olması ilginç. Haritalamayı yapan şirket/çalışan sizi siteyi görmezden geliyor olabilir. :D Ama tenisi sevdiği aşikar.  Ben aracıma SIM kart taktığımdan beri araç kendi kendine bireyler yüklüyor, güncelleme yapıyor. Türkiye'de umarım SIM kart meselesi çözülür ve araçlar internete erişebilir duruma gelir.Saygılarımla.                ",3 ay
"Merhaba, Yurtdışında araç içindeki SIM kart aracılığıyla kendi kendine ne kadar güzel güncellemelerini yapıyordu. Ankara'da iş manuele döndü. Balkondan kablosuz erişim noktası cihazını sarkıtıp otoparka geçici kablosuz yayın yaptım. Aracımın harita sürümünü 1430'a yükselttim. Yaklaşık 2 hafta sonra (19/10/2023 tarihinde) yeni bir sürüm daha geliyormuş. Onu da aynı şekilde camdan vereceğim kablosuz erişim ile yaparım. USB ile program indirmekten çok daha kolay. :)Bu arada bazı binalarlar 3 boyutlu çizilmiş. Hoşuma gittti. :) Eskiden benim yurtdışında yaşadığım yerde tüm binalar 2 boyutlu idi.  Saygılarımla. < Resime gitmek için tıklayın >< Resime gitmek için tıklayın >< Resime gitmek için tıklayın > ",12 sa.
"Merhaba Arkadaşlar,    Bugün telefonumun internetini araç ile paylaştığımda haritada güncelleme geldiğimi gördüm. Normalde 2 hafta sonra gelmesi gerekiyordu. Bu sefer erken paylaşmışlar. ;-)    Sürüm numarası: 1400   Saygılarımla.    < Resime gitmek için tıklayın > ",6 sa.
review,date
Normalde Şubat yazıyordu ben de kontrol etmiyordum. Bugün tesadüfen farkettim ki websitesinde 18 Ocakta yani geçen hafta harita güncellemesi gelmiş. 1410 versiyonu . Arabada çıkmıyor ama. Akşam evde indirip USB ile yükleyeceğim.                ,9 ay
review,date
"Konu ölmüş gibi :)  Canlandırayım biraz, 2023 V60 CC önümüzdeki hafta teslim alacağım inşallah.                ",5 ay
V60 CC’nin T8 phev olanı gelse muhteşem olurdu. Hiç tereddütsüz alırdım.                ,5 ay
"Gelse süper olur, bize düzü zor geliyor T8 zor gelir.                ",2 ay
"Merhaba,  Lütfen kusura bakmayın buraya girmemişim uzun zamandır.    Arabayı Mayıs başında teslim aldım. Şu an 13.000 km’yü geçmiş durumdayım. 2020 model BMW 3.20i G20’den geçtim. Bu araçla kıyaslayabilirim. Elimde de Skoda Karoq var, bu aracı da 1 yıl kullandım. Bu 2 araba ile kıyas yapabilirim ancak.    Yazabileceğim çok fazla şey var ama hepsi aklıma gelmez şimdi. Gelenleri yazayım, diğerleri aklıma geldikçe eklerim.    + Konforu cidden iyi. 3.20’ye göre oldukça iyi diyebilirim. Arka koltukta oturanlar hiç rahatsız olmuyor, kasis geçişleri vs çok yumuşak.   + Polestar yazılım var, 260 bg araba. 2.0 motor olunca da performans ciddi manada iyi. 3.20’de de yazılım vardı ve 245bg idi ama ilk 1-2 sn gaza bassan da hızlı hareket etmiyordu. V60CC’de ise çok başarılı.   + Yerden yüksekliği, yola tutunması çok iyi. Viraj performansı dehşet diyebilirim.   + koltuk soğutma başarılı.   + Direksiyon inanılmaz yumuşak ve rahat.  + Otonom sürüş başarılı.   + Orta ekrandaki navigasyon ( google maps yani) öndeki hayalet ekranın ortasına geliyor. Güzel bir şey.   + Arkadan bir araç çok hızlı geliyorsa araba otomatik seni yan şeride atıyor. 2-3 defa yaptı baba. Çok güzel bir özellik.   + Offroad sürüş yaptım, başarılı diyebilirim. Trabzonun yaylalarında sıkıntı yaşamadan kullandım. Taş toprak çimen vs. + Harman Kardon ses sistemi çok iyi.    - Camlardan ciddi ses geliyor. 130’u geçince rüzgar sesi Skoda Karoq’tan bile çok diyebilirim. BMW’de ise çift cam vs var. BMW ile 180-190 giderkenki sesi V60CC’de 120-130 bandında almaya başlıyorum.  - Orta ekran güzel ama içinde Android var. Bu sebeple de kablosuz Carplay yok. İphone carplay için kablo takılması lazım, bence saçma.   - Orta ekrandaki haritalarda canlı trafik görmek için telefonun interneti paylaşılmalı. Bunu bazen otomatik yapıyor, bazen yapmıyor. Yani her arabaya bindiğinizde ayarlara girip bağlantıyı tekrar kurmanız gerekebiliyor. Can sıkıcı bir durum.   - Koltuklar BMW kadar rahat değil bence. Kişiye göre değişir.   - Cam suyu haznesi küçük. Çok kullanana biri için sık uğraşması gereken bir durum, ama problem oluşturmuyor.  - Yakıtı şehir dışında 9-10 lt, şehir içinde 10-11 lt civarında. 120’yı geçinde +2-3 lt daha eklemek lazım. BMW’de bu değerler hem daha düşüktü hem de yüksek hızlarda daha düşüktü. 160-170 hızlarda 9-10 tl ile uzun süre gittiğimi bilirim BMW’de.   - Hayalet ekranda hiçbir şey değiştirilemiyor. Yani örneğin dinlediğin radyo gözükmüyor. Bu konuda en iyi Skoda. İstediğin görüntüyü yapabiliyorsun. Değişiklik yapamayınca da neden hayalet ekran diyor insan.- Kolçak sabit, hareket edebilir değil. Buda biraz konforsuzluğa sebebiyet veriyor, kolçak ucuna dirsek denk geliyor çok konforlu bir hal almıyor açıkçası. Hareket edebilir ileriye geriye şeklinde olsaydı çok daha başarılı olurdu.   Şimdi yazmaya başlayınca birden aklıma gelmiyor ama ekleyeceğim zamanla.   Sizlerin özel olarak sormak istedikleri varsa cevaplayabilirim.                ",geçen ay
"Aracınızı güzel günlerde kullanınız.Volvo önceden Saint Gobain Sekurit marka (ki mobil araç camında dünyanın bir numarasıdır) lamine cam kullanırdı. Ön camda değil sadece, sedanların arka camı hariç heryerde. Önceden standart olan bu camlar şimdi piyasada akustik cam diye anılıyor. Bir süredir  ise ön cam hariç çoğu modelde temperli cam kullanıyor. Lamine cam opsiyon paketine girdi. Çoğu aracındaki cam da Çinli üretici Fuyao’ya ait. Sonuç gürültü alan bir kabin oluyor. Ülkemizde test sürüşlerinde kabine giren ses işi hep konuşulur ama her nedense kimsenin aklına dönüp camlara bakmak, kıyas yapmak gelmez.                ",geçen ay
Bendeki hangi cam bilmiyorum ama ses konforu aracın kötü...                ,2 hafta
"Şimdiden hayırlı olsun kazasız belasız kullanın.Bence konseptinde en yakışıklı arabayı satın almışsınız, S60 kullanıyorum Kapadokyaya gittim uzun yol konforundan çok memnun kaldım. Kapodakya da bazı arazi bölgelere gittim epey of road diyebiliriz :) tam o sıra da V60 CC olsaydı harika olmazmıydı dedim içimden. Uuzn yol da ve karizmatik duruşu ile ve gerekltiğinde hafif of road sürüşlerinde harika bir aile arabası.                ",2 gün
Online bağlantıyı bluetoth internet ile bağlanırsan araca girdiğin gibi internete bağlanıyor o sebeple carplay hiç aramıyorum istersen bunu dene.Ekrana katılıyorum orta ekran ve büyük ekran biraz araç hakkında bilgiler vermeli.                ,2 gün
review,date
"
Volvo'nun piyasaya süreceği ilk premium elektrikli MPV modeli artık resmiyet kazandı. Volvo EM90 adını taşıyacak model, marka tarafından ""Hareket halindeki İskandinav oturma odası"" olarak nitelendiriliyor. Yeni EM90, 12 Kasım'da resmi olarak tanıtılacak ve aynı tarihte Çin'de ön siparişe açılacak.Önümüzdeki haftalarda yeni Volvo EM90 ile ilgili daha fazla bilgi paylaşılacak. Ancak şimdilik ilk ipucu olarak paylaşılan bu kuşbakışı görüntü ile yetinmek zorundayız. Premium modelin tavanında sürücü ve ön yolcu için sunulan küçük sunroof detayı mevcut ancak Volvo, arka yolcular için de daha büyük bir cam entegre etmeyi ihmal etmemiş. Buna ek olarak, pratik kullanımı artıran kayar arka kapılar da dikkat çeken özellikler arasında.Yeni Volvo EM90'ın arkasında T şekilli LED stoplar ve ortada aydınlatılmış Volvo yazısı dikkat çekiyor. İç mekan şimdilik belli değil ancak üstteki panoramik sunroof vasıtasıyla ikinci sıradaki konforlu kaptan koltukları görebiliyoruz. Volvo'nun ilk MPV modeli, silüet olarak üç sıra koltuk düzenine sahip olabilecek kadar uzun görünüyor. Yeni EM90, yüksek ihtimalle kardeş markaya ait Zeekr 009 modelini temel alacak. Zaten detaylara baktığımızda tavandaki sunroof, kapı kolları, yüzgeç anten ve yan aynalar gibi detayların aynı olduğu hemen dikkat çekiyor.Ayrıca Bkz.Çin Devlet Başkanının kullandığı lüks SUV Hongqi, Türkiye'de satışa sunuluyorTeknik detaylar henüz belli değil ancak bu konuda da Zeekr 009'u baz alabiliriz. Çinli model; 5209 mm uzunluğa, 2024 mm genişliğe, 1867 mm yüksekliğe ve 3205 mm gibi etkileyici bir aks mesafesine sahip. Geely'nin SEA platformunu kullanan 009, dört veya altı kişilik oturma kapasitesiyle tercih edilebiliyor. İki elektrik motorundan toplam 534 hp güç alan elektrikli MPV, 140 kWsa'lik büyük bataryası sayesinde Çin'deki CLTC ölçümlerine göre 822 kilometreye kadar sürüş menzili vadediyor.Kaynak:https://www.media.volvocars.com/global/en-gb/media/pressreleases/317208/coming-soon-the-volvo-em90-our-first-ever-fully-electric-premium-mpv ",geçen ay
Şerefsizim benim aklıma gelmişti. Bagajdaki VOLVO amblemini niye ışıklı yapmıyorlar diyordum ki EM90da yapmışlar galiba.                ,geçen ay
"
< Resime gitmek için tıklayın > ",geçen ay
bu gerçekse mükemmel                ,geçen ay
Elektrikli cenaze arabası                ,geçen ay
review,date
Değerli arkadaşlar ürün elimizde bulunmaktadır.VOLVO S40 V40 S60 S80 AYDINLATMAYAN FARLARIN MERCEK DEĞİŞİMİ yapılabilmektedir.İster halojen(Sarı yanan) olsun ister xenon olsun kararmış mercekleri olan eski farlarınızı yenisine 6000 - 8000 Tl vermeden yenileyebilirsiniz. Halojen mercekli araçlarınızı orijinal xenonlu hale getirebilirsiniz.Montajı kendiniz yapabilir veya ulaştırmanız durumunda tarafımızdan yapılabilmektedir.Daha onlarca aracın merceği değiştirilmiş ve memnuniyetleri ifade edilmiştir. Mercekler orijinal bosch marka olup memnuniyet garantilidir. Aşagıdaki linkten ürünleri inceleyebilir veya 0505 713 1423 den whatsaptan irtibata geçebilirsiniz.https://www.sahibinden.com/ilan/yedek-parca-aksesuar-donanim-tuning-otomotiv-ekipmanlari-yedek-parca-volvo-s40-h7-far-mercegi-orjinal-1082576637/detay ,3 ay
Arkadaşlar 3 Takım S40 orjinal merceğimiz daha müşterilerimize gönderildi. Elimizde son 3 çift daha kaldı. Almak isteyen arkadaşlar 0505 713 1423 nolu telefondan irtibata geçebilir. Yukarıdaki linkten ürünü inceleyebilir. Herkese kazasız belasız sürüşler dilerim...                ,2 ay
2 çift mercek takımı daha müşterilerimize gönderdik. Aydınlatma sorunları ekonomik olarak çözüldü. Sizde aynı sorunu yaşıyorsanız irtibata geçmeyi unutmayın. İyi sürüşler...:)                ,2 ay
review,date
Değerli arkadaşlar mercekli farlarınız iyi aydınlatmıyorsa merceklerinizın içi kararmış yani yanmış demektir.VOLVO S40 V40 S60 S80 AYDINLATMAYAN FARLARIN MERCEK DEĞİŞİMİ yapılabilmektedir. İster halojen(Sarı yanan) olsun ister xenon olsun kararmış mercekleri olan eski farlarınızı yenisine 6000 - 8000 Tl vermeden yenileyebilirsiniz. Halojen mercekli araçlarınızı orijinal xenonlu hale getirebilirsiniz. Montajı kendiniz yapabilir veya ulaştırmanız durumunda tarafımızdan yapılabilmektedir. Daha onlarca aracın merceği değiştirilmiş ve memnuniyetleri ifade edilmiştir. Mercekler orijinal bosch marka olup memnuniyet garantilidir. Aşagıdaki linkten ürünleri inceleyebilir veya 0505 713 1423 den irtibata geçebilirsiniz.https://www.sahibinden.com/ilan/yedek-parca-aksesuar-donanim-tuning-otomotiv-ekipmanlari-yedek-parca-volvo-s40-h7-far-mercegi-orjinal-1082576637/detay ,2 ay
review,date
Değerli arkadaşlar mercekli farlarınız iyi aydınlatmıyorsa merceklerinizın içi kararmış yani yanmış demektir.VOLVO S40 V40 S60 S80 AYDINLATMAYAN FARLARIN MERCEK DEĞİŞİMİ yapılabilmektedir. İster halojen(Sarı yanan) olsun ister xenon olsun kararmış mercekleri olan eski farlarınızı yenisine 6000 - 8000 Tl vermeden yenileyebilirsiniz. Halojen mercekli araçlarınızı orijinal xenonlu hale getirebilirsiniz. Montajı kendiniz yapabilir veya ulaştırmanız durumunda tarafımızdan yapılabilmektedir. Daha onlarca aracın merceği değiştirilmiş ve memnuniyetleri ifade edilmiştir. Mercekler orijinal bosch marka olup memnuniyet garantilidir. Aşagıdaki linkten ürünleri inceleyebilir veya 0505 713 1423 den irtibata geçebilirsiniz.https://www.sahibinden.com/ilan/yedek-parca-aksesuar-donanim-tuning-otomotiv-ekipmanlari-yedek-parca-volvo-s40-h7-far-mercegi-orjinal-1082576637/detay ,2 ay
review,date
Geçen gün Bursa'dan dönüşte yolda şanzıman arızası verdi. Araç ford B max powershift şanzıman. Afyondaki servise götürdüm 39 bin masraf çıktı. Sadece kavrama ücreti bu kadar. Arabanın 35 binde değişen kavraması 130 binde tekrar değişti. Powershift ne yazık ki pişmanlık. diğer araçların 10-12 bin civarı kavrama fiyatı varken bunun 22 binden başlıyor.                ,3 ay
review,date
Bir anda aracımız otomatik marş start stop arzıası yaşıyor yolda giderken motor duruyor.                ,3 ay
review,date
Arkadaşlar bende Volvo-kona64 ve zor var bana sorarsanız en iyisi kona çünkü gerçekten Şuan ki hava şartlarına göre menzili çok iyi rejen i kulakçıklardan rahat ayarlamanız buna büyük etken ama yol tutuşu o kadar iyi değil.Volvo yüksek hızlarda bile yol tutuşu çok iyi oto pilot daha iyi daha güvenli bir araç tartışmasız ama menzil malesef biraz düşük 16-17 kw larda.Zoe ise bence tam bir şehir içi arabası yüksek hızlar yapmıyorsanız süper bir araç en büyük artısı 22 kw olan şarj desteği ile 2 saat de batarya yi dolduruyorsunuz ve verimli de bir araç.Bu arada elimde fazladan electolise 22kw destekli şarj istasyonu var 5 metre kablo üzerinde yazlığı sattığımız için boşa çıktı fiyat 13 bin tl almak isteyen olursa özelden yazabilir yer İstanbul                ,6 ay
"2022 model XC40 P8 kullanıyorum bir yıldır. Yıllık bakımı yapıldı dün, 20 bin km olsa da yıl doldu.. İlk parti araçlardan olduğu için, 3 yıl kasko-yol yardım-servis bakımı hediye edilmişti. Listede toplam 1700 TL civarı yazsa da herhangi bir ücret ödemedim. Yapılan işlemler; polen filtresi değişimi, yazılım güncellenmesi ve lastik basınç kontrolleriydi sadece :)    Servise verirken ikame araç talep etmiştim S60 verdiler. S60 kullanıp P8’e geçince gerçekten teknolojik olarak çağ atlamış hissettiriyor.. Sessizliği, konforu, ivmelenmesi vs. herşeyiyle elektrikli araç çok farklı.                ",6 ay
"Yazılım 2.7 olarak gözüküyor. Bu şekilde güncellemişler serviste, otomatik indirme açık daha düşmemiş öyleyse 2.8 sisteme.                ",6 ay
Benimki serviste 2023 olarak geçiyor. Pixel mevcut.                ,5 ay
ACİL! %18 KDVli FATURA KESİLECEK. İLK GÜNKÜ GİBİ HATASIZ 2022 P8 İlan No: 1100017799https://www.sahibinden.com/ilan/vasita-arazi-suv-pickup-volvo-acil-18-kdvli-fatura-kesilecek-ilk-gunku-gibi-hatasiz-2022-p8-1100017799/detay ,3 ay
review,date
"Merhaba,XC40 p6 aracımı bu ay içerisinde teslim alacağım. Bende ısı pompası mevcut değil, umarım eksikliğini fazla hissetmem.Şehiriçinde kafamda hiçbir soru işareti yok, ancak şehirlerarası için iyi bir şarj planlaması yapmak gerekecek muhtemelen. Yukarıdaki bir paylaşımda şehirlerarası seyahatte tüketimin 30kw seviyesine vardığı söylenmiş. Bu durumda menzil 250 km dolayında bir rakama inmiş oluyor, sakin bir kullanımla bu rakamların daha düşük olacağımı umuyorum. Deneyimlerimi sizlerle paylaşıyor olacağım.Şarj konusunu kapalı otoparkımda şimdilik araç ile gelen 220v 10A şarj cihazı ile yapacağım. Hesabıma göre her saat şarj ortalama 10km menzil sağlayacak, kısa mesafeler kullandığım için yeterli gözüküyor. İhtiyaca göre daha yüksek kapasiteli bir şarj araştırabilirim.                ",8 ay
Şehirler arası 100-110 geçmeden trafikte one pedal ile maksimum 340km menzil oluyor. Hızlandıkça ve hava soğudukça menzil düşüyor. Günlük kullanımda 10a yetsede uzun vade de wallbox rahat ettirir. Birden çok yerde şarj gerekliyse (yazlık git gel vs) Go-e yada İsmail Çınarın yerli üretim muadili düşünülebilir. İstanbul ve çevresi hava aşırı soğumadığı için ısı pompası çok da şart değil. Yola çıkmadan 100% şarj ve ön iklimlendirme menzili uzatabilir.                ,8 ay
"Dediğiniz gibi İstanbul’da olduğum için çok yoğun bir ısıtma ihtiyacı duymayacağım, dolayısıyla ısı pompası konusunda rahatladım.Wallbox konusunda biraz araştırma yaptım, maliyetleri tesisat ile birlikte 1300 dolar seviyelerine geliyor. Dolayısıyla şimdilik erteleyeceğim. 220v ile şarj ve gerektiğinde dışarıdaki istasyonlar ihtiyacımı karşılar umarım.Arac hakkında kafamdaki diğer bir soru işareti menzil konusu. Suv olması nedeniyle tüketimi fazla maalesef. Sanırım bu eksikliği ön görerek 2024 my olanlarda 82kw batarya seçeneğini getirmişler. Bu modeli bekleyeyim desem kimbilir ne zaman sıra gelir..                ",8 ay
"Isı pompasina fazla takilmayin sehirici hiç önemli değil yılda birkaç kez cikacaginiz şehir dışı seyahatlerinde de maksimum 2 dklik şarj ile arayı kapatirsiniz, bence ısı pompası olacak diye eski kasa araba almanın mantığı yok yeni yenidir, buarada menzilde kullanımla çok alakali bizim arkadaş 16 kW ortalama ile dolasiyor                ",8 ay
Evde şarj Kw başı yaklaşık 2.5 TL dışarda 7.5-9.5 TL bilginiz olsun                ,8 ay
"Arabayı oldukça yormadan ve tasarruflu kullanırım. Birçok araçta fabrika tüketim verilerine yaklaşık sonuçlar elde ettim. 16 kwh ortalama 400 km yapıyor yaklaşık, wltp verisinin de 430 km olduğunu düşünürsek sakin kullanımda oldukça gerçekçi.                ",8 ay
"Bu arada, 2023 makyajlı p6 ile 2022 p8 karşılaştırmasını yaptım. sıfır km p6 ile 2.el p8 arasında çok fazla bir fiyat farkı yok.2023 yalında p6 nın MTV tutarı 7200 tl, p8 in 25000 tlp6 nın batarya dolum hızı %10 iyileştirilmişp8 in bataryası 9 kW daha büyük, ancak çift motorlu olması sebebiyle fazla kapasitenin menzile bir etkisi olmuyor. Hatta p6 düşük batarya olmasına rağmen bir miktar daha avantajlı.pixel far p8 de var mı emin değilim, ancak p6 da opsiyon olarak geliyor ve çok ciddi fark var.                ",8 ay
