review,date
Hocam daha onceki mesajlarima bakin donanim eklenip kodlaninca geliyor o ekrandakiler                ,dün
6 aydır kullanıyorum aracı hiç o özelliği denemedim. en sağdaki tuş o özelliği açıyor.                ,dün
Doğru söylüyosunuz hocam sanki diğer aracımda da öyle olmuştu cevap için teşekkürler                ,dün
beyler arka silecekler calısınca rahatsız edici bir ses geliyor orijinal silecekler sizdede böyle bir sorun var mı bir arkadasım vw lerde kronik o demisti bazen ön silecekte yapıyor yağmur yağması önemli değil her türlü yapıyor arkadaki sesi                ,13 sa.
"Selamlar,Kadran renginden sonra direk şeklini değiştirme ile ilgili de bir kaç deneme yaptım:)https://imgur.com/a/nxbYGeFCanım sıkıldıkça değiştiririm artık  Bir de 260 max hız göstergesini 200-240-300 falan gibi değiştirebiliyormuşuz. Standardı 260mıydı bilmiyorum. Ben öyle bıraktım.                ",10 sa.
Bende en son bu şekilde bıraktım :)      < Resime gitmek için tıklayın > ,7 sa.
Bu arabanın silecekleri iprenç leş ötesi hatta b.k gibi. Yetkili serviste aldıktan birkaç ay sonrasında değiştirttim yine aynı yine aynı. Öyle kullanıyom artık. Kredisi bitsin kurtulurum bu kıytırık araçtan.                ,13 dk.
review,date
Tamam müsait olunca eklerim                ,5 gün
"Serbest surus modunda genellikle asagi yukari 1.2-1.6 civarinda arac benzin tuketimine devam eder. Bunu gormek icin tiguanda ayagimi cok hizli gaza dokundurup kaldiriyordum. Tuketim kismina bakarsaniz vitesteyken bir sure 0 yakar dogru. Ama mevzu kinetik enerji ile daha uzun yol katetmek. Trafigi iyi takip edip kimin nerede fren yapacagi, sadece ondeki degil onun onundeki trafigin akisinin kontrolu, tanidik yol ise yol ne kadar egimli, egime gelmeden 100 mt kadar once ayagi gazdan cekersem serbest surus devreye girip egimle birlikte epey yol goturur gibi parametreler bir sure sonra alisinca otomatiklesiyor dusunmeden yapiliyor ve bahsettigim degerlere geliyor lt/km hesabi.                ",4 gün
Calisiyor hocam ve en sagdaki dugme varsa PLA vardir.                ,4 gün
128km deki T-Roc Style araca ACC ve Şerit Takip montajımız.Araçta IQ Light far donanımı olduğu için matrix far özelliğini ekledik.   < Resime gitmek için tıklayın >  < Resime gitmek için tıklayın >  < Resime gitmek için tıklayın > ,4 gün
Yalnızca orta ekrana aldığınız tüketim verileri ekranında görünüyor.                ,4 gün
